instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,result_match,PS-PS16:matches_reference,PS-PS64:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS-PS64:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS-PS64:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS-PS64:branches,relative_change:branches,PS-PS16:nodes_expanded,PS-PS64:nodes_expanded,PS-PS16:pruned_by_bound,PS-PS64:pruned_by_bound,PS-PS16:pruned_infeasible,PS-PS64:pruned_infeasible,PS-PS16:root_potential_iterations,PS-PS64:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS-PS64:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS-PS64:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS-PS64:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4595030069197057,-0.41773946854541055,0.04842023923993111,0.05216161161661148,0.0772687709811013,48.0,48.0,0.0,18.0,18.0,31.0,31.0,2.0,2.0,100.0,100.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.28554720894383734,-0.2776226091195334,0.017040619626641273,0.017229631543159485,0.011091845288460744,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.1293087522709011,-0.29111826278382813,0.04605835862457752,0.028911428526043892,-0.37228704214795305,10.0,10.0,0.0,3.0,3.0,6.0,6.0,2.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.23425151063626604,-0.1372372003092569,0.043611831963062286,0.04913710802793503,0.1266921341335181,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.44971967014793957,-0.3740360574135003,0.04995691403746605,0.056827811524271965,0.1375364675578834,86.0,86.0,0.0,28.0,28.0,59.0,59.0,0.0,0.0,100.0,100.0,82.0,82.0,82.0,82.0,0.0,0.0,0.0,734.0,734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.20691682786877974,-0.1840448389394953,0.018829427659511566,0.019372455775737762,0.02883933203099187,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,3976.026216457541,3995.643389165524,735.7168207895011,739.3458348196,0.0049326234327558005,842923.0,842923.0,0.0,266389.0,266389.0,582268.0,582268.0,1.0,1.0,400.0,400.0,794139.0,794139.0,793794.0,793794.0,345.0,345.0,0.0,7183071.0,7183071.0,0.0,0.0,0.0,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1657.8528251160444,1679.6457379109356,552.2094518914819,559.4640149530023,0.013137339530628234,421296.0,421296.0,0.0,133187.0,133187.0,290578.0,290578.0,0.0,0.0,400.0,400.0,402315.0,402315.0,402195.0,402195.0,120.0,120.0,0.0,3690548.0,3690548.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4005573772142058,-0.10906304109058784,0.025954512879252434,0.038575559854507446,0.4862756251281468,5.0,5.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5462923565214293,-0.24042936652820068,0.017072906717658043,0.028582455590367317,0.6741411443902088,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
