instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PS-PS16:matches_reference,PS32:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,PS32:branches,relative_change:branches,PS-PS16:nodes_expanded,PS32:nodes_expanded,PS-PS16:pruned_by_bound,PS32:pruned_by_bound,PS-PS16:pruned_infeasible,PS32:pruned_infeasible,PS-PS16:root_potential_iterations,PS32:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,PS32:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4595030069197057,-0.5671647004563721,0.04842023923993111,0.038775403052568436,-0.19919018036178526,48.0,30.0,-0.375,18.0,10.0,31.0,20.0,2.0,1.0,100.0,100.0,42.0,24.0,42.0,24.0,0.0,0.0,0.0,376.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.28554720894383734,-0.07441517468520065,0.017040619626641273,0.02207639068365097,0.2955157246240496,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.1293087522709011,-0.6516754191613525,0.04605835862457752,0.014206264168024063,-0.6915594781868029,10.0,10.0,0.0,3.0,3.0,6.0,6.0,2.0,4.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,47.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.23425151063626604,-0.5430422428713274,0.043611831963062286,0.026025209575891495,-0.4032534657582385,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.44971967014793957,-0.3813525390377551,0.04995691403746605,0.05616358853876591,0.1242405505000781,86.0,34.0,-0.6046511627906976,28.0,11.0,59.0,23.0,0.0,0.0,100.0,100.0,82.0,32.0,82.0,32.0,0.0,0.0,0.0,734.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.20691682786877974,-0.66547684247994,0.018829427659511566,0.007942268624901772,-0.5781991482417796,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,3976.026216457541,602.0163391720986,735.7168207895011,111.5530146881938,-0.8483750656013468,842923.0,78223.0,-0.9072003018069266,266389.0,25173.0,582268.0,53327.0,1.0,0.0,400.0,400.0,794139.0,74728.0,793794.0,74381.0,345.0,347.0,0.005797101449275255,7183071.0,1201200.0,0.0,0.0,0.0,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1657.8528251160444,1731.6524461873366,552.2094518914819,576.7763379253447,0.04448834758208853,421296.0,298084.0,-0.2924594584330257,133187.0,90098.0,290578.0,208971.0,0.0,0.0,400.0,400.0,402315.0,286093.0,402195.0,285972.0,120.0,121.0,0.008333333333333304,3690548.0,4484804.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4005573772142058,-0.342549003133924,0.025954512879252434,0.02846614457666874,0.09677051960486072,5.0,5.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5462923565214293,-0.4803565135093395,0.017072906717658043,0.019554056227207184,0.145326718559468,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
