instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS16:status,PS-PS16:successful_repeats,PS-PS16:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PS-PS16:matches_reference,hybrid-reverse:matches_reference,PS-PS16:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PS-PS16:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PS-PS16:branches,hybrid-reverse:branches,relative_change:branches,PS-PS16:nodes_expanded,hybrid-reverse:nodes_expanded,PS-PS16:pruned_by_bound,hybrid-reverse:pruned_by_bound,PS-PS16:pruned_infeasible,hybrid-reverse:pruned_infeasible,PS-PS16:root_potential_iterations,hybrid-reverse:root_potential_iterations,PS-PS16:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PS-PS16:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PS-PS16:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS16:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PS-PS16:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PS-PS16:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PS-PS16:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PS-PS16:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PS-PS16:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PS-PS16:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PS-PS16:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PS-PS16:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PS-PS16:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS16:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4595030069197057,-0.5467292109735737,0.04842023923993111,0.04060610942542553,-0.1613814788436947,48.0,32.0,-0.33333333333333337,18.0,11.0,31.0,21.0,2.0,0.0,100.0,210.0,42.0,19.0,42.0,19.0,0.0,0.0,0.0,376.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.28554720894383734,-0.27863283452803,0.017040619626641273,0.017205536365509033,0.009677860458191967,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,127.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,0.1293087522709011,-0.2982100464453783,0.04605835862457752,0.02862219326198101,-0.37856679836810936,10.0,11.0,0.10000000000000009,3.0,3.0,6.0,6.0,2.0,3.0,100.0,125.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,47.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.23425151063626604,-0.47719920383352976,0.043611831963062286,0.029775181785225868,-0.3172682631070298,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.44971967014793957,-0.25515462833497404,0.04995691403746605,0.067620400339365,0.35357440791182415,86.0,36.0,-0.5813953488372092,28.0,11.0,59.0,25.0,0.0,1.0,100.0,190.0,82.0,30.0,82.0,30.0,0.0,0.0,0.0,734.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.20691682786877974,-0.6537369980169335,0.018829427659511566,0.008220996707677841,-0.5633963572161442,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,3976.026216457541,9378.945144450085,735.7168207895011,1735.2119511552155,1.3585323892597043,842923.0,1149734.0,0.3639846106939779,266389.0,368633.0,582268.0,785204.0,1.0,3.0,400.0,586.0,794139.0,1090625.0,793794.0,1090594.0,345.0,31.0,-0.9101449275362319,7183071.0,17677823.0,0.0,0.0,0.0,0.0,343.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1657.8528251160444,1156.2084709906856,552.2094518914819,385.2188969478011,-0.302404376404077,421296.0,185347.0,-0.5600551631157191,133187.0,57361.0,290578.0,128620.0,0.0,0.0,400.0,616.0,402315.0,178853.0,402195.0,178817.0,120.0,36.0,-0.7,3690548.0,2871263.0,0.0,0.0,0.0,0.0,119.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.4005573772142058,-0.08107596292910668,0.025954512879252434,0.03978733718395233,0.5329641272426888,5.0,6.0,0.19999999999999996,1.0,1.0,4.0,5.0,0.0,0.0,100.0,201.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,20.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.5462923565214293,-0.3227350126124129,0.017072906717658043,0.025485314428806305,0.49273435685368905,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,88.34324252639271,8.578591819073024,7.041585674509406,0.7549365013837814,-0.8927888495177078,11690.0,1014.0,-0.9132591958939265,3795.0,220.0,7993.0,804.0,0.0,6.0,400.0,551.0,10699.0,680.0,10635.0,639.0,64.0,41.0,-0.359375,103185.0,8715.0,0.0,0.0,0.0,0.0,64.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.2425559158676096,1.1075257495452537,0.12913019955158234,0.12135493196547031,-0.0602126196127043,791.0,440.0,-0.4437420986093552,263.0,153.0,533.0,291.0,32.0,34.0,400.0,463.0,730.0,415.0,730.0,415.0,0.0,0.0,0.0,6467.0,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.230598507559268,37.29010938661277,0.8645164743065834,1.489048095420003,0.7224056911284977,2612.0,3192.0,0.2220520673813171,869.0,1042.0,1772.0,2174.0,0.0,0.0,400.0,433.0,2382.0,2960.0,2371.0,2949.0,11.0,11.0,0.0,22675.0,47624.0,0.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.16080133693049348,-0.4021325810466725,0.02474011667072773,0.017625516280531883,-0.2875734372996621,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,1475.6390307790784,2795.1123801405074,236.10615685023367,447.0824178662151,0.8935652667025005,314985.0,393662.0,0.24978014826102823,100794.0,118496.0,216976.0,276680.0,0.0,0.0,800.0,1074.0,293371.0,372490.0,293324.0,372451.0,47.0,39.0,-0.17021276595744683,2685178.0,5770837.0,0.0,0.0,0.0,0.0,46.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,316.89184039505034,196.0931948970312,106.82767909951508,66.23324634879827,-0.37999920145135,126184.0,52994.0,-0.5800259937868509,44575.0,17789.0,82645.0,35382.0,2.0,0.0,400.0,604.0,116138.0,48916.0,116131.0,48910.0,7.0,6.0,-0.1428571428571429,1086697.0,797177.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.46271544379916807,0.33742704214027297,0.0265518706291914,0.02427757903933525,-0.0856546652255743,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.9832131633919783,1.0518258155778994,0.016893159598112106,0.01747760735452175,0.03459671075829762,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
