instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,PS-PS32:matches_reference,PSD-PSD32:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PSD-PSD32:branches,relative_change:branches,PS-PS32:nodes_expanded,PSD-PSD32:nodes_expanded,PS-PS32:pruned_by_bound,PSD-PSD32:pruned_by_bound,PS-PS32:pruned_infeasible,PSD-PSD32:pruned_infeasible,PS-PS32:root_potential_iterations,PSD-PSD32:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5210508706051253,-0.4932716847462204,0.042906494811177254,0.04539508372545242,0.05800028469412255,36.0,36.0,0.0,14.0,13.0,22.0,23.0,12.0,0.0,100.0,100.0,29.0,33.0,29.0,33.0,0.0,0.0,0.0,481.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.37395255298626806,0.07361611575046534,0.014932038262486458,0.02560712769627571,0.7149117385138319,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07292797150608443,-0.5385454805692518,0.037810223177075386,0.01882021874189377,-0.5022452352700049,10.0,12.0,0.19999999999999996,3.0,3.0,6.0,8.0,2.0,3.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,81.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.453618103041157,-0.2657716443859537,0.031118201091885567,0.04181665927171707,0.3438006634201376,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5046554495059217,-0.4701168437203571,0.044969597831368446,0.04810516722500324,0.0697264272941216,39.0,17.0,-0.5641025641025641,11.0,5.0,28.0,12.0,0.0,0.0,100.0,100.0,36.0,16.0,36.0,16.0,0.0,0.0,0.0,484.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.12415618470471046,-0.7731789182233978,0.0207943357527256,0.005385199561715126,-0.7410256511314979,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,877.3153951411576,4900.016349865168,162.4810536801815,906.6473217196763,4.580018723316932,113490.0,578298.0,4.095585514142215,36203.0,186453.0,77705.0,393788.0,0.0,0.0,400.0,400.0,108208.0,550509.0,107863.0,550488.0,345.0,21.0,-0.9391304347826087,1751614.0,9007739.0,0.0,0.0,0.0,0.0,343.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1220.1626618386238,254.8578137686346,406.5083737112582,85.17157216370106,-0.7904801532472288,205249.0,43137.0,-0.7898308883356313,62794.0,13504.0,143090.0,29782.0,0.0,0.0,400.0,400.0,196919.0,41237.0,196798.0,41217.0,121.0,20.0,-0.8347107438016529,3116069.0,665531.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.16440210125926968,-0.2912168176455807,0.03617950342595577,0.030688712373375893,-0.1517652408861061,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.1348287721410214,-0.48191737384617217,0.03255617991089821,0.019495321437716484,-0.4011790851668562,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,60.63379310734367,1872.8457568203637,4.8576660342514515,147.68711168691516,29.40289526813327,5915.0,207045.0,34.00338123415047,1737.0,54916.0,4218.0,152859.0,0.0,0.0,400.0,400.0,5210.0,195490.0,5145.0,189108.0,65.0,6382.0,97.18461538461538,79837.0,2553069.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.541978014840164,0.5893396843832026,0.14637143537402153,0.0915168933570385,-0.37476261592170457,576.0,287.0,-0.5017361111111112,190.0,93.0,391.0,197.0,31.0,32.0,400.0,400.0,532.0,260.0,532.0,260.0,0.0,0.0,0.0,8052.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,21.197272804212673,6.737952344338572,0.8632204849272966,0.30091800168156624,-0.651400763842032,1815.0,512.0,-0.7179063360881544,578.0,135.0,1248.0,380.0,0.0,0.0,400.0,400.0,1651.0,393.0,1642.0,383.0,9.0,10.0,0.11111111111111116,25896.0,5927.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.22615417664415283,0.03828391450215762,0.022813472896814346,0.03060927800834179,0.34171934921035385,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,2246.6780630562475,112.94983067613659,359.39089936204255,18.21992784552276,-0.9493033132506552,328046.0,15246.0,-0.9535248105448626,100726.0,4754.0,228647.0,10532.0,0.0,0.0,800.0,400.0,308352.0,13725.0,308286.0,13679.0,66.0,46.0,-0.303030303030303,4915569.0,212689.0,0.0,0.0,0.0,0.0,65.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,184.1186538811041,149.60807488116208,62.20919708907604,50.6119033228606,-0.1864241030085877,50032.0,39401.0,-0.21248401023345054,17063.0,13675.0,33171.0,25900.0,4.0,1.0,400.0,400.0,46105.0,36625.0,46098.0,36617.0,7.0,8.0,0.1428571428571428,753302.0,600098.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.29531231930805557,0.7640857242859105,0.02351309359073639,0.03202247992157936,0.361899904749049,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
