instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS-PS64:matches_reference,PSD32:matches_reference,PS-PS64:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS-PS64:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS-PS64:branches,PSD32:branches,relative_change:branches,PS-PS64:nodes_expanded,PSD32:nodes_expanded,PS-PS64:pruned_by_bound,PSD32:pruned_by_bound,PS-PS64:pruned_infeasible,PSD32:pruned_infeasible,PS-PS64:root_potential_iterations,PSD32:root_potential_iterations,PS-PS64:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS-PS64:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.41773946854541055,-0.5975507053710212,0.05216161161661148,0.036053283140063286,-0.30881577423152906,48.0,27.0,-0.4375,18.0,9.0,31.0,18.0,2.0,1.0,100.0,100.0,42.0,22.0,42.0,22.0,0.0,0.0,0.0,376.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.2776226091195334,-0.34578041513735625,0.017229631543159485,0.015603980049490929,-0.09435207535322909,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.29111826278382813,-0.4259831787871443,0.028911428526043892,0.023411022499203682,-0.19025023346339853,10.0,15.0,0.5,3.0,5.0,6.0,7.0,2.0,6.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,47.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.1372372003092569,-0.5636107379126205,0.04913710802793503,0.024853767827153206,-0.49419555149595806,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3740360574135003,-0.411648081177283,0.056827811524271965,0.05341322347521782,-0.060086566022267585,86.0,16.0,-0.813953488372093,28.0,4.0,59.0,12.0,0.0,0.0,100.0,100.0,82.0,15.0,82.0,15.0,0.0,0.0,0.0,734.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.1840448389394953,-0.7153255804119447,0.019372455775737762,0.006758756935596466,-0.651115118607668,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,3995.643389165524,6555.453503299446,739.3458348196,1212.88944667764,0.640489997449684,842923.0,753303.0,-0.10632050614350308,266389.0,241404.0,582268.0,514568.0,1.0,1.0,400.0,400.0,794139.0,715541.0,793794.0,715522.0,345.0,19.0,-0.9449275362318841,7183071.0,11648367.0,0.0,0.0,0.0,0.0,343.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1679.6457379109356,365.65462809510643,559.4640149530023,122.05431859195232,-0.7818370523755572,421296.0,63161.0,-0.8500792791766358,133187.0,19479.0,290578.0,43885.0,0.0,0.0,400.0,400.0,402315.0,60283.0,402195.0,60264.0,120.0,19.0,-0.8416666666666667,3690548.0,966772.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.10906304109058784,-0.2905497150197982,0.038575559854507446,0.030717596411705017,-0.2037031600432948,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.24042936652820068,-0.29049044862174245,0.028582455590367317,0.02669866941869259,-0.06590707945714747,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
