instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS32:matches_reference,PSD32:matches_reference,PS32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS32:branches,PSD32:branches,relative_change:branches,PS32:nodes_expanded,PSD32:nodes_expanded,PS32:pruned_by_bound,PSD32:pruned_by_bound,PS32:pruned_infeasible,PSD32:pruned_infeasible,PS32:root_potential_iterations,PSD32:root_potential_iterations,PS32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5671647004563721,-0.5975507053710212,0.038775403052568436,0.036053283140063286,-0.07020223384434532,30.0,27.0,-0.09999999999999998,10.0,9.0,20.0,18.0,1.0,1.0,100.0,100.0,24.0,22.0,24.0,22.0,0.0,0.0,0.0,383.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.07441517468520065,-0.34578041513735625,0.02207639068365097,0.015603980049490929,-0.29318246478367005,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,100.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.6516754191613525,-0.4259831787871443,0.014206264168024063,0.023411022499203682,0.6479365878538286,10.0,15.0,0.5,3.0,5.0,6.0,7.0,4.0,6.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,82.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5430422428713274,-0.5636107379126205,0.026025209575891495,0.024853767827153206,-0.04501180846679742,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3813525390377551,-0.411648081177283,0.05616358853876591,0.05341322347521782,-0.04897060773902828,34.0,16.0,-0.5294117647058824,11.0,4.0,23.0,12.0,0.0,0.0,100.0,100.0,32.0,15.0,32.0,15.0,0.0,0.0,0.0,434.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.66547684247994,-0.7153255804119447,0.007942268624901772,0.006758756935596466,-0.1490143113007517,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,602.0163391720986,6555.453503299446,111.5530146881938,1212.88944667764,9.872762605903883,78223.0,753303.0,8.630198279278472,25173.0,241404.0,53327.0,514568.0,0.0,1.0,400.0,400.0,74728.0,715541.0,74381.0,715522.0,347.0,19.0,-0.9452449567723343,1201200.0,11648367.0,0.0,0.0,0.0,0.0,343.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1731.6524461873366,365.65462809510643,576.7763379253447,122.05431859195232,-0.7883853574316524,298084.0,63161.0,-0.78811006293528,90098.0,19479.0,208971.0,43885.0,0.0,0.0,400.0,400.0,286093.0,60283.0,285972.0,60264.0,121.0,19.0,-0.8429752066115702,4484804.0,966772.0,0.0,0.0,0.0,0.0,119.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.342549003133924,-0.2905497150197982,0.02846614457666874,0.030717596411705017,0.0790922644607659,5.0,4.0,-0.19999999999999996,1.0,1.0,4.0,3.0,0.0,0.0,100.0,100.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,23.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4803565135093395,-0.29049044862174245,0.019554056227207184,0.02669866941869259,0.3653775517707938,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
