instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PS32:matches_reference,hybrid-reverse:matches_reference,PS32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PS32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PS32:branches,hybrid-reverse:branches,relative_change:branches,PS32:nodes_expanded,hybrid-reverse:nodes_expanded,PS32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PS32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PS32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PS32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5671647004563721,-0.5467292109735737,0.038775403052568436,0.04060610942542553,0.04721308429406079,30.0,32.0,0.06666666666666665,10.0,11.0,20.0,21.0,1.0,0.0,100.0,210.0,24.0,19.0,24.0,19.0,0.0,0.0,0.0,383.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.07441517468520065,-0.27863283452803,0.02207639068365097,0.017205536365509033,-0.2206363525605265,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,127.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.6516754191613525,-0.2982100464453783,0.014206264168024063,0.02862219326198101,1.0147586250299923,10.0,11.0,0.10000000000000009,3.0,3.0,6.0,6.0,4.0,3.0,100.0,125.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,82.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5430422428713274,-0.47719920383352976,0.026025209575891495,0.029775181785225868,0.14408999083750573,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3813525390377551,-0.25515462833497404,0.05616358853876591,0.067620400339365,0.20399002447450876,34.0,36.0,0.05882352941176472,11.0,11.0,23.0,25.0,0.0,1.0,100.0,190.0,32.0,30.0,32.0,30.0,0.0,0.0,0.0,434.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.66547684247994,-0.6537369980169335,0.007942268624901772,0.008220996707677841,0.03509426537175542,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,602.0163391720986,9378.945144450085,111.5530146881938,1735.2119511552155,14.555043097717927,78223.0,1149734.0,13.698157830817022,25173.0,368633.0,53327.0,785204.0,0.0,3.0,400.0,586.0,74728.0,1090625.0,74381.0,1090594.0,347.0,31.0,-0.9106628242074928,1201200.0,17677823.0,0.0,0.0,0.0,0.0,343.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1731.6524461873366,1156.2084709906856,576.7763379253447,385.2188969478011,-0.3321173709493227,298084.0,185347.0,-0.3782054722829806,90098.0,57361.0,208971.0,128620.0,0.0,0.0,400.0,616.0,286093.0,178853.0,285972.0,178817.0,121.0,36.0,-0.7024793388429752,4484804.0,2871263.0,0.0,0.0,0.0,0.0,119.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.342549003133924,-0.08107596292910668,0.02846614457666874,0.03978733718395233,0.3977072686043548,5.0,6.0,0.19999999999999996,1.0,1.0,4.0,5.0,0.0,0.0,100.0,201.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,23.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.4803565135093395,-0.3227350126124129,0.019554056227207184,0.025485314428806305,0.30332623230092115,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
