repeat,configuration,instance,upper_bound,lower_bound,wall_seconds,heuristic_seconds,root_ascent_seconds,root_potential_iterations
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/att48.tsp,10648.0,10599.68823369806,0.010629,0.004192041,0.006150541,214.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,1610.0,1607.9853691203934,0.002623,0.001481458,0.000909625,137.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bays29.tsp,2020.0,2013.3953357260446,0.002821875,0.001620083,0.000943333,125.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/berlin52.tsp,7542.0,7541.9999999735055,0.005329709,0.002591708,0.002480583,57.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/bier127.tsp,120414.0,117430.97806154632,0.15603075,0.033925875,0.121375542,422.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,25395.0,25316.887550529744,0.018081041,0.006822917,0.010275125,220.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/brg180.tsp,1960.0,1949.2773311365436,0.195843625,0.023545417,0.168562708,334.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/burma14.tsp,3323.0,3322.999999998799,0.000779792,0.000469208,5.0834e-05,28.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6235.0,6074.859641716426,0.2166375,0.03988425,0.175849459,578.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6636.0,6488.697696628935,0.319044417,0.051439375,0.266010708,600.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/d198.tsp,15989.0,14536.148992869335,0.732083833,0.162444166,0.567877625,694.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,699.0,696.9533830654316,0.006710584,0.002297583,0.004026292,225.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/national/dj38.tsp,6656.0,6655.999999980996,0.0027395,0.0015655,0.000921333,43.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil101.tsp,646.0,627.3444474025675,0.096835916,0.016517084,0.079780709,540.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil51.tsp,427.0,422.49983691886655,0.03125575,0.0022,0.028252209,521.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/eil76.tsp,548.0,536.9999543717072,0.037813916,0.008279417,0.029055542,423.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/fri26.tsp,937.0,936.999999998938,0.001742958,0.001164166,0.000345041,52.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr120.tsp,7108.0,6911.243700900038,0.181788041,0.042991291,0.13732175,516.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr137.tsp,70620.0,69118.35224426475,0.246764875,0.058635542,0.186597,592.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr17.tsp,2085.0,2084.999999998924,0.002054583,0.00116325,0.000225292,121.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr21.tsp,2707.0,2706.999999997682,0.001180125,0.000819875,0.000147875,29.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr24.tsp,1272.0,1271.9995357693901,0.001754333,0.000969916,0.000485167,122.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr48.tsp,5093.0,4958.999443382592,0.011007167,0.003791375,0.006851625,318.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/gr96.tsp,55595.0,54569.49352066382,0.058008958,0.013726125,0.043663084,370.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/hk48.tsp,11470.0,11443.03742578926,0.008002334,0.002542084,0.004591875,162.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,21689.0,20936.495650387562,0.081701708,0.018906291,0.062191708,391.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA150.tsp,26816.0,26296.059282328926,0.375629625,0.0984375,0.276109125,602.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB100.tsp,22344.0,21833.996439724335,0.080086917,0.018188625,0.060912708,400.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroB150.tsp,26482.0,25732.496018037127,0.292503625,0.096593459,0.194393958,429.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroC100.tsp,20965.0,20472.49694980305,0.070861583,0.017066041,0.053197458,354.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroD100.tsp,21811.0,21141.49753159475,0.077930083,0.017728875,0.059564625,388.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroE100.tsp,22597.0,21798.395755460664,0.113675458,0.018799791,0.09428,591.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/lin105.tsp,14523.0,14370.499389782033,0.079985666,0.022718083,0.05666225,345.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr107.tsp,44303.0,39439.60351348245,0.123062625,0.017343542,0.104682292,524.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr124.tsp,59159.0,58067.492748859826,0.112035042,0.024978083,0.085846833,370.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr136.tsp,100656.0,95327.53319041648,0.255480834,0.045174875,0.209399791,592.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr144.tsp,58537.0,58050.96688109716,0.138213459,0.030156875,0.107148125,288.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr152.tsp,74442.0,68056.8919239027,0.326035541,0.053785083,0.271244958,621.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/pr76.tsp,109067.0,105119.98570260686,0.032973083,0.008282125,0.024239916,342.0
1,single-knn8,/Users/a/Ayanami/code/TSP/data/classic/national/qa194.tsp,9695.0,9265.247785856105,0.680747083,0.223146375,0.4560605,617.0
