instance,configuration,baseline_ub,candidate_ub,ub_gain,baseline_wall_seconds,candidate_wall_seconds,wall_delta,root_guided_lk_improved,root_guided_lk_seconds,root_ascent_seconds,root_potential_iterations
data/classic/national/dj38.tsp,root-alpha5,6656.0,6656.0,0.0,0.002272292,0.003658292,0.001386,0.0,0.001271833,0.000775375,43.0
data/classic/national/qa194.tsp,root-alpha5,9695.0,9684.0,11.0,0.598124458,0.613819291,0.015694832999999964,1.0,0.017622292,0.40941275,617.0
data/classic/national/wi29.tsp,root-alpha5,27603.0,27603.0,0.0,0.0019035,0.002983208,0.0010797080000000002,0.0,0.001054541,0.000664458,71.0
data/classic/tsplib/att48.tsp,root-alpha5,10648.0,10648.0,0.0,0.009596917,0.011812708,0.002215791,0.0,0.001636083,0.005693791,214.0
data/classic/tsplib/bayg29.tsp,root-alpha5,1610.0,1610.0,0.0,0.002360083,0.00331225,0.0009521670000000003,0.0,0.0010045,0.000836333,137.0
data/classic/tsplib/bays29.tsp,root-alpha5,2020.0,2020.0,0.0,0.002626458,0.003699167,0.0010727090000000002,0.0,0.001106375,0.00086725,125.0
data/classic/tsplib/berlin52.tsp,root-alpha5,7542.0,7542.0,0.0,0.004966833,0.006545125,0.0015782919999999994,0.0,0.001767917,0.002198,57.0
data/classic/tsplib/bier127.tsp,root-alpha5,120414.0,120414.0,0.0,0.142593708,0.148420833,0.0058271249999999886,0.0,0.007022541,0.108270959,422.0
data/classic/tsplib/brazil58.tsp,root-alpha5,25395.0,25395.0,0.0,0.015824125,0.017511292,0.0016871669999999998,0.0,0.001503834,0.009346625,220.0
data/classic/tsplib/brg180.tsp,root-alpha5,1960.0,1960.0,0.0,0.175002208,0.180071,0.005068792000000016,0.0,0.00549125,0.149716292,334.0
data/classic/tsplib/burma14.tsp,root-alpha5,3323.0,3323.0,0.0,0.000570333,0.001149708,0.0005793749999999999,0.0,0.000602916,4.9417e-05,28.0
data/classic/tsplib/ch130.tsp,root-alpha5,6235.0,6226.0,9.0,0.190898959,0.200688792,0.009789832999999998,1.0,0.007592875,0.156313167,578.0
data/classic/tsplib/ch150.tsp,root-alpha5,6636.0,6636.0,0.0,0.281948125,0.29096975,0.009021625000000033,0.0,0.007060417,0.235874959,600.0
data/classic/tsplib/d198.tsp,root-alpha5,15989.0,15954.0,35.0,0.643623583,0.665326375,0.021702792000000026,1.0,0.015591542,0.504286583,694.0
data/classic/tsplib/dantzig42.tsp,root-alpha5,699.0,699.0,0.0,0.006252209,0.008046167,0.001793958,0.0,0.00177825,0.003779167,225.0
data/classic/tsplib/eil101.tsp,root-alpha5,646.0,646.0,0.0,0.0855845,0.089653834,0.004069334000000008,0.0,0.00424275,0.069486625,540.0
data/classic/tsplib/eil51.tsp,root-alpha5,427.0,427.0,0.0,0.014351167,0.015238667,0.0008874999999999994,0.0,0.001086791,0.012148417,521.0
