config,repeat,instance,final_upper_bound,final_lower_bound,final_relative_gap,initial_tour_seconds,initial_clk_starts,root_guided_lk_calls,root_guided_lk_improvements,root_guided_lk_reascents,root_guided_lk_seconds,root_guided_lk_total_gain,root_potential_iterations,root_ascent_seconds,instance_wall_seconds
single-knn8,1,data/classic/tsplib/att48.tsp,10648,10599.68823369806,0.0045371681350432217,0.0036771249999999998,1,0,0,0,0,0,214,0.0054671249999999998,0.0093519999999999992
single-knn8,1,data/classic/tsplib/bayg29.tsp,1610,1607.9853691203934,0.001251323527705936,0.0013147499999999999,1,0,0,0,0,0,137,0.00079845899999999995,0.002198125
single-knn8,1,data/classic/tsplib/bays29.tsp,2020,2013.3953357260446,0.0032696357791858663,0.00144725,1,0,0,0,0,0,125,0.00082833400000000001,0.0025257499999999998
single-knn8,1,data/classic/tsplib/berlin52.tsp,7542,7541.9999999735055,3.5129263003642498e-12,0.002362416,1,0,0,0,0,0,57,0.002368541,0.0049668330000000004
single-knn8,1,data/classic/tsplib/bier127.tsp,120414,117430.97806154632,0.024773049134267408,0.030400707999999999,1,0,0,0,0,0,422,0.11133591700000001,0.14243841700000001
single-knn8,1,data/classic/tsplib/brazil58.tsp,25395,25316.887550529744,0.003075898778116017,0.0058809170000000003,1,0,0,0,0,0,220,0.0090309580000000004,0.015824125000000001
single-knn8,1,data/classic/tsplib/brg180.tsp,1960,1949.2773311365436,0.0054707494201308264,0.020912457999999998,1,0,0,0,0,0,334,0.15033095899999999,0.174760375
single-knn8,1,data/classic/tsplib/burma14.tsp,3323,3322.999999998799,3.6141671793293762e-13,0.00042862500000000002,1,0,0,0,0,0,28,4.6666999999999999e-05,0.00057033300000000002
single-knn8,1,data/classic/tsplib/ch130.tsp,6235,6074.8596417164263,0.025684099163363869,0.034729625,1,0,0,0,0,0,578,0.15539054099999999,0.19089895900000001
single-knn8,1,data/classic/tsplib/ch150.tsp,6636,6488.6976966289349,0.022197453793108068,0.045778125000000003,1,0,0,0,0,0,600,0.23323787500000001,0.28064529199999999
single-knn8,1,data/classic/tsplib/d198.tsp,15989,14536.148992869335,0.09086565808560039,0.13640512499999999,1,0,0,0,0,0,694,0.496540708,0.63450741700000002
single-knn8,1,data/classic/tsplib/dantzig42.tsp,699,696.95338306543158,0.0029279212225585397,0.0021184590000000001,1,0,0,0,0,0,225,0.0037525000000000002,0.0062543750000000004
single-knn8,1,data/classic/national/dj38.tsp,6656,6655.9999999809961,2.8551520122514027e-12,0.0013051250000000001,1,0,0,0,0,0,43,0.00072166600000000004,0.002272292
single-knn8,1,data/classic/tsplib/eil101.tsp,646,627.34444740256754,0.028878564392310312,0.014868792,1,0,0,0,0,0,540,0.069677249999999996,0.085028833999999998
single-knn8,1,data/classic/tsplib/eil51.tsp,427,422.49983691886655,0.010539023609211828,0.0018425,1,0,0,0,0,0,521,0.011639791999999999,0.014351167
single-knn8,1,data/classic/tsplib/eil76.tsp,548,536.99995437170719,0.020073075964037974,0.0050929169999999998,1,0,0,0,0,0,423,0.024928417000000001,0.030447042000000001
single-knn8,1,data/classic/tsplib/fri26.tsp,937,936.99999999893805,1.1333497877882768e-12,0.0010213749999999999,1,0,0,0,0,0,52,0.00030795799999999999,0.0015525420000000001
single-knn8,1,data/classic/tsplib/gr120.tsp,7108,6911.2437009000378,0.027680964983112302,0.034987667,1,0,0,0,0,0,516,0.11136104199999999,0.14771275
single-knn8,1,data/classic/tsplib/gr137.tsp,70620,69118.352244264752,0.021263774507720875,0.046791083999999997,1,0,0,0,0,0,592,0.17572316700000001,0.22410470900000001
single-knn8,1,data/classic/tsplib/gr17.tsp,2085,2084.9999999989241,5.1603464373974782e-13,0.00091187500000000003,1,0,0,0,0,0,121,0.000200125,0.0018545
single-knn8,1,data/classic/tsplib/gr21.tsp,2707,2706.9999999976822,8.5624205669313169e-13,0.00051012500000000005,1,0,0,0,0,0,29,0.000121625,0.00087224999999999998
single-knn8,1,data/classic/tsplib/gr24.tsp,1272,1271.9995357693901,3.6496117126599589e-07,0.00086595800000000001,1,0,0,0,0,0,122,0.00045208299999999999,0.001604584
single-knn8,1,data/classic/tsplib/gr48.tsp,5093,4958.9994433825923,0.026310731713608426,0.0036459169999999998,1,0,0,0,0,0,318,0.0058590420000000001,0.0098472909999999993
single-knn8,1,data/classic/tsplib/gr96.tsp,55595,54569.493520663818,0.018446019953884011,0.01265325,1,0,0,0,0,0,370,0.037503124999999998,0.050675458
single-knn8,1,data/classic/tsplib/hk48.tsp,11470,11443.03742578926,0.0023507039416512691,0.002378542,1,0,0,0,0,0,162,0.003934959,0.0066755829999999997
single-knn8,1,data/classic/tsplib/kroA100.tsp,21689,20936.495650387562,0.034695207230044635,0.016779458000000001,1,0,0,0,0,0,391,0.05425075,0.071457333999999997
single-knn8,1,data/classic/tsplib/kroA150.tsp,26816,26296.059282328926,0.019389197407185033,0.063010041000000003,1,0,0,0,0,0,602,0.241693042,0.30619837500000002
single-knn8,1,data/classic/tsplib/kroB100.tsp,22344,21833.996439724335,0.022825078780686771,0.016171958,1,0,0,0,0,0,400,0.058426375000000003,0.075695542000000005
single-knn8,1,data/classic/tsplib/kroB150.tsp,26482,25732.496018037127,0.028302393397888103,0.077982416999999998,1,0,0,0,0,0,429,0.16866883299999999,0.24758395799999999
single-knn8,1,data/classic/tsplib/kroC100.tsp,20965,20472.496949803051,0.023491678998185005,0.015294,1,0,0,0,0,0,354,0.044790875000000001,0.061221999999999999
single-knn8,1,data/classic/tsplib/kroD100.tsp,21811,21141.497531594749,0.03069563378136039,0.015401333999999999,1,0,0,0,0,0,388,0.051400833999999999,0.067358666999999997
single-knn8,1,data/classic/tsplib/kroE100.tsp,22597,21798.395755460664,0.035341162302046106,0.015178832999999999,1,0,0,0,0,0,591,0.082202334000000002,0.097927208000000002
single-knn8,1,data/classic/tsplib/lin105.tsp,14523,14370.499389782033,0.010500627295873224,0.019248874999999999,1,0,0,0,0,0,345,0.049163249999999999,0.068974124999999997
single-knn8,1,data/classic/tsplib/pr107.tsp,44303,39439.603513482449,0.10977578237405032,0.013832875,1,0,0,0,0,0,524,0.092019749999999997,0.106933458
single-knn8,1,data/classic/tsplib/pr124.tsp,59159,58067.492748859826,0.018450400634564039,0.020174250000000001,1,0,0,0,0,0,370,0.078319417000000002,0.099838125
single-knn8,1,data/classic/tsplib/pr136.tsp,100656,95327.533190416478,0.05293739875996982,0.039343792000000002,1,0,0,0,0,0,592,0.18122075000000001,0.22139887499999999
single-knn8,1,data/classic/tsplib/pr144.tsp,58537,58050.966881097163,0.0083030069682907669,0.024285625000000002,1,0,0,0,0,0,288,0.094344583999999995,0.119487208
single-knn8,1,data/classic/tsplib/pr152.tsp,74442,68056.891923902702,0.085772924909289089,0.044175208000000001,1,0,0,0,0,0,621,0.23951420900000001,0.28460079199999999
single-knn8,1,data/classic/tsplib/pr76.tsp,109067,105119.98570260686,0.036188895792431591,0.0075161660000000003,1,0,0,0,0,0,342,0.021812166000000001,0.029740249999999999
single-knn8,1,data/classic/national/qa194.tsp,9695,9265.2477858561051,0.044327201046301688,0.18288058300000001,1,0,0,0,0,0,617,0.40192362500000001,0.58630837499999999
single-knn8,1,data/classic/tsplib/rat195.tsp,2356,2293.7609553055195,0.026417251568115672,0.092175875000000004,1,0,0,0,0,0,645,0.42016733299999998,0.51375199999999999
single-knn8,1,data/classic/tsplib/rat99.tsp,1224,1205.9998415063767,0.014706011841195509,0.0099632499999999999,1,0,0,0,0,0,495,0.052942000000000003,0.063284624999999997
single-knn8,1,data/classic/tsplib/rd100.tsp,8069,7899.1874798286681,0.021045051452637492,0.017846041,1,0,0,0,0,0,523,0.072706416999999995,0.091127749999999993
single-knn8,1,data/classic/tsplib/si175.tsp,21455,21367.295814485078,0.0040878203456034415,0.069690417000000004,1,0,0,0,0,0,329,0.168483042,0.24145900000000001
single-knn8,1,data/classic/tsplib/st70.tsp,685,670.99992999909693,0.020438058395478926,0.00521325,1,0,0,0,0,0,385,0.018799333000000001,0.02420425
single-knn8,1,data/classic/tsplib/swiss42.tsp,1274,1271.9897885923313,0.0015778739463647947,0.0014296249999999999,1,0,0,0,0,0,153,0.0022851659999999999,0.0046788749999999999
single-knn8,1,data/classic/tsplib/u159.tsp,43135,41924.991047971162,0.028051673861802212,0.054617458000000001,1,0,0,0,0,0,484,0.18765554200000001,0.243312584
single-knn8,1,data/classic/tsplib/ulysses16.tsp,6859,6858.9999999967931,4.6754312851018297e-13,0.001075625,1,0,0,0,0,0,134,0.00021541600000000001,0.0020630000000000002
single-knn8,1,data/classic/national/wi29.tsp,27603,27602.999999943651,2.04139599837132e-12,0.0010887920000000001,1,0,0,0,0,0,71,0.000605333,0.0019035
single-knn8,1,data/classic/vlsi/vlsi/xqf131.tsp,582,555.94834074195433,0.044762301130662673,0.026177958000000001,1,0,0,0,0,0,577,0.143394875,0.170242792
root-alpha5,1,data/classic/tsplib/att48.tsp,10648,10599.68823369806,0.0045371681350432217,0.0054071250000000005,2,1,0,0,0.001636083,0,214,0.0054798340000000003,0.011010208
