run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_fixing_calls,root_fixing_tested,root_fixing_fixed_zero,root_fixing_tree_tested,root_fixing_fixed_one,root_fixing_active_after,root_fixing_seconds,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.07728694938123226,10628.0,31,10,21,3,1,1080,982,48,5,141,0.000155762,100,27,27,0,0,0,0,0,0,0,0,0,0,392
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.027039460837841034,1610.0,2,1,1,3,1,377,367,29,24,10,7.628e-05,100,1,1,0,0,0,0,0,0,0,0,0,0,2
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.049487244337797165,2020.0,12,4,7,2,1,377,355,29,12,37,5.8053e-05,100,9,9,0,0,0,0,0,0,0,0,0,0,111
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.06568048149347305,7542.0,1,0,1,0,0,0,0,0,0,0,0.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.10561896674335003,25395.0,52,16,36,0,1,1595,1360,58,5,288,0.00022467,100,50,50,0,0,0,0,0,0,0,0,0,0,765
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.01689099334180355,3323.0,1,0,1,0,0,0,0,0,0,0,0.0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,273.5827567614615,6110.0,272015,88124,184806,0,1,8255,6709,130,1,1675,0.001053414,400,260745,260742,0,0,0,0,0,3,0,0,0,0,4180413
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,511.8552163820714,6528.0,376363,112611,264812,0,1,11025,8978,150,0,2197,0.001246742,400,360059,360058,0,0,0,0,0,1,0,0,0,0,5493682
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.03991357795894146,699.0,5,1,4,0,1,819,783,42,18,58,0.000122611,100,4,4,0,0,0,0,0,0,0,0,0,0,19
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.030053993687033653,6656.0,1,0,1,0,0,0,0,0,0,0,0.0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,0.3196670450270176,629.0,270,92,185,0,1,4949,4212,101,0,838,0.000559521,400,137,137,0,0,0,0,0,0,0,0,0,0,3261
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.1263759806752205,426.0,525,174,353,20,1,1224,1148,51,5,122,0.000178826,400,489,489,0,0,0,0,0,0,0,0,0,0,7230
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.5700608491897583,538.0,1728,510,1234,0,1,2774,2354,76,1,495,0.000371782,400,1536,1536,0,0,0,0,0,0,0,0,0,0,23023
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.041539086028933525,937.0,1,0,1,0,0,0,0,0,0,0,0.0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,10.841698722913861,6942.0,12109,3947,8208,0,1,7020,5628,120,0,1512,0.000708172,400,11379,11369,0,0,0,0,0,0,0,0,0,10,181537
PS-PS32-dc6d2a0b60f4,PS-PS32,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,34.67167790979147,69853.0,43795,14767,29186,2,1,9179,7663,137,1,1652,0.001042725,400,40575,40573,0,0,0,0,0,2,0,0,0,0,652968
