run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.052022602409124374,10628.0,35,12,23,2,100,28,28,0,0,0,0,0,0,0,0,0,0,257
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.01616215892136097,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,4
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.01688944734632969,2020.0,12,3,8,1,100,10,10,0,0,0,0,0,0,0,0,0,0,64
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.04968307167291641,7542.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.06192122958600521,25395.0,71,21,50,2,100,60,60,0,0,0,0,0,0,0,0,0,0,557
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.02570829540491104,3323.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PSD-PSD64-90fbced549b1,PSD-PSD64,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,106.53605238720775,6528.0,78972,25409,54042,0,400,75665,75645,0,0,0,0,0,1,0,0,0,19,703004
