run_id,strategy,repeat,instance,status,wall_seconds,result,branches,nodes_expanded,pruned_by_bound,pruned_infeasible,root_potential_iterations,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_strategy_none,search_node_potential_updates_skipped_update_depth_zero,search_node_potential_updates_skipped_budget_exhausted,search_node_potential_updates_skipped_numerically_unsafe,search_node_potential_updates_skipped_invalid_state,search_node_potential_updates_skipped_zero_violation,search_node_potential_updates_skipped_zero_iteration_limit,search_node_potential_updates_skipped_depth_interval,search_node_potential_updates_skipped_gap_below_minimum,search_node_potential_updates_skipped_gap_above_maximum,search_node_potential_iterations
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/att48.tsp,ok,0.036053283140063286,10628.0,27,9,18,1,100,22,22,0,0,0,0,0,0,0,0,0,0,314
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/bayg29.tsp,ok,0.015603980049490929,1610.0,3,1,2,1,100,2,2,0,0,0,0,0,0,0,0,0,0,4
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/bays29.tsp,ok,0.023411022499203682,2020.0,15,5,7,6,100,10,10,0,0,0,0,0,0,0,0,0,0,145
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/berlin52.tsp,ok,0.024853767827153206,7542.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/bier127.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/brazil58.tsp,ok,0.05341322347521782,25395.0,16,4,12,0,100,15,15,0,0,0,0,0,0,0,0,0,0,241
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/brg180.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/burma14.tsp,ok,0.006758756935596466,3323.0,1,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/ch130.tsp,ok,1212.88944667764,6110.0,753303,241404,514568,1,400,715541,715522,0,0,0,0,0,0,0,0,0,19,11648367
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/ch150.tsp,ok,122.05431859195232,6528.0,63161,19479,43885,0,400,60283,60264,0,0,0,0,0,0,0,0,0,19,966772
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/d198.tsp,timeout,1800.0,,,,,,,,,,,,,,,,,,,
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/dantzig42.tsp,ok,0.030717596411705017,699.0,4,1,3,0,100,2,2,0,0,0,0,0,0,0,0,0,0,15
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/national/dj38.tsp,ok,0.02669866941869259,6656.0,1,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/eil101.tsp,ok,163.8073330335319,629.0,217627,58410,159992,0,400,206266,199884,0,0,0,0,0,0,0,0,0,6382,2768550
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/eil51.tsp,ok,0.09963912516832352,426.0,338,114,225,39,400,301,301,0,0,0,0,0,0,0,0,0,0,4861
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/eil76.tsp,ok,0.3165017291903496,538.0,569,155,417,0,400,470,460,0,0,0,0,0,0,0,0,0,10,6892
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/fri26.tsp,ok,0.018022581934928894,937.0,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/gr120.tsp,ok,12.558965299278498,6942.0,10469,3313,7184,0,400,9361,9314,0,0,0,0,0,3,0,0,0,44,146917
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/gr137.tsp,ok,49.18672493100166,69853.0,38620,13350,25404,3,400,35911,35904,0,0,0,0,0,1,0,0,0,6,583154
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/gr17.tsp,ok,0.014126893132925034,2085.0,1,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/gr21.tsp,ok,0.009110426530241966,2707.0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/gr24.tsp,ok,0.011377399787306786,1272.0,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD32-ba6ddbda6df9,PSD32,1,/home/wj/code/TSP/data/classic/tsplib/gr48.tsp,ok,0.25880250334739685,5046.0,1387,454,936,0,323,1241,1226,0,0,0,0,0,0,0,0,0,15,19427
