instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,result_match,P32:matches_reference,PSD-PSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD-PSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PSD-PSD32:branches,relative_change:branches,P32:nodes_expanded,PSD-PSD32:nodes_expanded,P32:pruned_by_bound,PSD-PSD32:pruned_by_bound,P32:pruned_infeasible,PSD-PSD32:pruned_infeasible,P32:root_potential_iterations,PSD-PSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD-PSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD-PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.4932716847462204,0.03277943842113018,0.04539508372545242,0.3848645953675027,29.0,36.0,0.24137931034482762,9.0,13.0,20.0,23.0,1.0,0.0,100.0,100.0,26.0,33.0,26.0,33.0,0.0,0.0,0.0,332.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,0.07361611575046534,0.015848398208618164,0.02560712769627571,0.6157549399756292,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.5385454805692518,0.021672306582331657,0.01882021874189377,-0.13160056727709146,10.0,12.0,0.19999999999999996,3.0,3.0,5.0,8.0,3.0,3.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,82.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.2657716443859537,0.02518514357507229,0.04181665927171707,0.6603700966432566,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.4701168437203571,0.053270261734724045,0.04810516722500324,-0.09696018644402404,88.0,17.0,-0.8068181818181819,26.0,5.0,62.0,12.0,0.0,0.0,120.0,100.0,82.0,16.0,82.0,16.0,0.0,0.0,0.0,1173.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.7731789182233978,0.008114388212561607,0.005385199561715126,-0.3363394231769091,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,4900.016349865168,286.81496934965253,906.6473217196763,2.161087874093468,205952.0,578298.0,1.8079261187072717,62812.0,186453.0,143850.0,393788.0,0.0,0.0,400.0,400.0,195829.0,550509.0,194122.0,550488.0,1707.0,21.0,-0.9876977152899824,3035962.0,9007739.0,0.0,0.0,0.0,0.0,1704.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,254.8578137686346,120.09638583473861,85.17157216370106,-0.29080653367118514,60352.0,43137.0,-0.28524323966065745,18041.0,13504.0,42505.0,29782.0,0.0,0.0,400.0,400.0,58114.0,41237.0,57710.0,41217.0,404.0,20.0,-0.9504950495049505,895438.0,665531.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.2912168176455807,0.027104808017611504,0.030688712373375893,0.13222393434536506,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.48191737384617217,0.0198777224868536,0.019495321437716484,-0.019237669174123062,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,5.986287841349052,1872.8457568203637,0.5506241209805012,147.68711168691516,267.21765712683896,695.0,207045.0,296.9064748201439,154.0,54916.0,548.0,152859.0,0.0,0.0,400.0,400.0,379.0,195490.0,352.0,189108.0,27.0,6382.0,235.37037037037038,5416.0,2553069.0,0.0,0.0,0.0,0.0,26.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.0216468982411304,0.5893396843832026,0.11640988104045391,0.0915168933570385,-0.21383912998557897,429.0,287.0,-0.331002331002331,135.0,93.0,298.0,197.0,51.0,32.0,400.0,400.0,411.0,260.0,411.0,260.0,0.0,0.0,0.0,6174.0,4050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
