instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P32:status,P32:successful_repeats,P32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,P32:matches_reference,PSD32:matches_reference,P32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,P32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,P32:branches,PSD32:branches,relative_change:branches,P32:nodes_expanded,PSD32:nodes_expanded,P32:pruned_by_bound,PSD32:pruned_by_bound,P32:pruned_infeasible,PSD32:pruned_infeasible,P32:root_potential_iterations,PSD32:root_potential_iterations,P32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,P32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,P32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,P32:search_node_potential_iterations,PSD32:search_node_potential_iterations,P32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,P32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,P32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,P32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,P32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,P32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,P32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,P32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,P32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,P32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.6340954076313081,-0.5975507053710212,0.03277943842113018,0.036053283140063286,0.0998749483402599,29.0,27.0,-0.06896551724137934,9.0,9.0,20.0,18.0,1.0,1.0,100.0,100.0,26.0,22.0,26.0,22.0,0.0,0.0,0.0,332.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.33553282791345895,-0.34578041513735625,0.015848398208618164,0.015603980049490929,-0.015422262610383153,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4686148999616049,-0.4259831787871443,0.021672306582331657,0.023411022499203682,0.08022754339815008,10.0,15.0,0.5,3.0,5.0,5.0,7.0,3.0,6.0,100.0,100.0,7.0,10.0,7.0,10.0,0.0,0.0,0.0,82.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5577923517784235,-0.5636107379126205,0.02518514357507229,0.024853767827153206,-0.013157588200016113,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4132228188333388,-0.411648081177283,0.053270261734724045,0.05341322347521782,0.002683706365208094,88.0,16.0,-0.8181818181818181,26.0,4.0,62.0,12.0,0.0,0.0,120.0,100.0,82.0,15.0,82.0,15.0,0.0,0.0,0.0,1173.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.6582272780728018,-0.7153255804119447,0.008114388212561607,0.006758756935596466,-0.1670651244990392,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1549.4207871066144,6555.453503299446,286.81496934965253,1212.88944667764,3.2288219803444838,205952.0,753303.0,2.657662950590429,62812.0,241404.0,143850.0,514568.0,0.0,1.0,400.0,400.0,195829.0,715541.0,194122.0,715522.0,1707.0,19.0,-0.9888693614528412,3035962.0,11648367.0,0.0,0.0,0.0,0.0,1704.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,359.77294266837913,365.65462809510643,120.09638583473861,122.05431859195232,0.016303011482027285,60352.0,63161.0,0.0465436108165429,18041.0,19479.0,42505.0,43885.0,0.0,0.0,400.0,400.0,58114.0,60283.0,57710.0,60264.0,404.0,19.0,-0.9529702970297029,895438.0,966772.0,0.0,0.0,0.0,0.0,404.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.3739902850894712,-0.2905497150197982,0.027104808017611504,0.030717596411705017,0.1332895769542468,3.0,4.0,0.33333333333333326,1.0,1.0,2.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.47175517465320815,-0.29049044862174245,0.0198777224868536,0.02669866941869259,0.3431452942534092,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
