instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PPSD32:status,PPSD32:successful_repeats,PPSD32:result,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,result_match,PPSD32:matches_reference,PS-PS32:matches_reference,PPSD32:wall_vs_Concorde_relative_change,PS-PS32:wall_vs_Concorde_relative_change,PPSD32:wall_seconds,PS-PS32:wall_seconds,relative_change:wall_seconds,PPSD32:branches,PS-PS32:branches,relative_change:branches,PPSD32:nodes_expanded,PS-PS32:nodes_expanded,PPSD32:pruned_by_bound,PS-PS32:pruned_by_bound,PPSD32:pruned_infeasible,PS-PS32:pruned_infeasible,PPSD32:root_potential_iterations,PS-PS32:root_potential_iterations,PPSD32:search_node_potential_update_candidates,PS-PS32:search_node_potential_update_candidates,PPSD32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_triggered,PPSD32:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PPSD32:search_node_potential_iterations,PS-PS32:search_node_potential_iterations,PPSD32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PPSD32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_depth_interval,PPSD32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PPSD32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PPSD32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_invalid_state,PPSD32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PPSD32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_strategy_none,PPSD32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PPSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PPSD32:search_node_potential_updates_skipped_zero_violation,PS-PS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5634221594340482,-0.5210508706051253,0.03911067731678486,0.042906494811177254,0.09705322829485663,22.0,36.0,0.6363636363636365,7.0,14.0,15.0,22.0,0.0,12.0,100.0,100.0,18.0,29.0,18.0,29.0,0.0,0.0,0.0,239.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.05677113810373291,-0.37395255298626806,0.02249722369015217,0.014932038262486458,-0.33627195656934594,3.0,2.0,-0.33333333333333337,1.0,1.0,2.0,1.0,1.0,3.0,100.0,100.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.42514663494221305,-0.07292797150608443,0.023445140570402145,0.037810223177075386,0.6127104490389856,11.0,10.0,-0.09090909090909094,3.0,3.0,6.0,6.0,4.0,2.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,85.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.796202674470476,-0.453618103041157,0.011606911197304726,0.031118201091885567,1.68100621801187,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,ok,1,118282.0,ok,1,118282.0,True,True,True,5463.281272532711,5816.980894602173,1086.8457446284592,1157.1966123729944,0.06472939521751986,879992.0,666844.0,-0.24221583832580296,270348.0,222796.0,612004.0,446003.0,0.0,1.0,729.0,400.0,792292.0,616825.0,792253.0,616698.0,39.0,127.0,2.2564102564102564,12512801.0,10318188.0,0.0,0.0,0.0,0.0,38.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3095341858634837,-0.5046554495059217,0.06268358044326305,0.044969597831368446,-0.28259366307143396,47.0,39.0,-0.17021276595744683,14.0,11.0,33.0,28.0,0.0,0.0,120.0,100.0,44.0,36.0,44.0,36.0,0.0,0.0,0.0,622.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.4872933351252089,-0.12415618470471046,0.01217271201312542,0.0207943357527256,0.7082746827743709,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,1349.9951620100796,877.3153951411576,249.92288493923843,162.4810536801815,-0.34987524764015066,181331.0,113490.0,-0.37412797591145475,55789.0,36203.0,126175.0,77705.0,0.0,0.0,400.0,400.0,172406.0,108208.0,170699.0,107863.0,1707.0,345.0,-0.7978910369068541,2686763.0,1751614.0,0.0,0.0,0.0,0.0,1704.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,330.24310084220025,1220.1626618386238,110.2663047555834,406.5083737112582,2.6866055737727472,59460.0,205249.0,2.4518836192398252,17996.0,62794.0,41645.0,143090.0,0.0,0.0,400.0,400.0,56929.0,196919.0,56524.0,196798.0,405.0,121.0,-0.7012345679012346,889991.0,3116069.0,0.0,0.0,0.0,0.0,404.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.1409575759812769,-0.16440210125926968,0.03719459846615791,0.03617950342595577,-0.02729146387010306,3.0,5.0,0.6666666666666667,1.0,1.0,2.0,4.0,0.0,0.0,100.0,100.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
