instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS32:status,PS-PS32:successful_repeats,PS-PS32:result,PS32:status,PS32:successful_repeats,PS32:result,result_match,PS-PS32:matches_reference,PS32:matches_reference,PS-PS32:wall_vs_Concorde_relative_change,PS32:wall_vs_Concorde_relative_change,PS-PS32:wall_seconds,PS32:wall_seconds,relative_change:wall_seconds,PS-PS32:branches,PS32:branches,relative_change:branches,PS-PS32:nodes_expanded,PS32:nodes_expanded,PS-PS32:pruned_by_bound,PS32:pruned_by_bound,PS-PS32:pruned_infeasible,PS32:pruned_infeasible,PS-PS32:root_potential_iterations,PS32:root_potential_iterations,PS-PS32:search_node_potential_update_candidates,PS32:search_node_potential_update_candidates,PS-PS32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_triggered,PS-PS32:search_node_potential_updates_skipped_total,PS32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS32:search_node_potential_iterations,PS32:search_node_potential_iterations,PS-PS32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_budget_exhausted,PS-PS32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_depth_interval,PS-PS32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_above_maximum,PS-PS32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PS-PS32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_invalid_state,PS-PS32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_numerically_unsafe,PS-PS32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_strategy_none,PS-PS32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_update_depth_zero,PS-PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS32:search_node_potential_updates_skipped_zero_violation,PS32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5210508706051253,-0.5671647004563721,0.042906494811177254,0.038775403052568436,-0.09628126876336351,36.0,30.0,-0.16666666666666663,14.0,10.0,22.0,20.0,12.0,1.0,100.0,100.0,29.0,24.0,29.0,24.0,0.0,0.0,0.0,481.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.37395255298626806,-0.07441517468520065,0.014932038262486458,0.02207639068365097,0.47845795031969374,2.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.07292797150608443,-0.6516754191613525,0.037810223177075386,0.014206264168024063,-0.624274522223994,10.0,10.0,0.0,3.0,3.0,6.0,6.0,2.0,4.0,100.0,100.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,81.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.453618103041157,-0.5430422428713274,0.031118201091885567,0.026025209575891495,-0.1636660005170456,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.5046554495059217,-0.3813525390377551,0.044969597831368446,0.05616358853876591,0.2489235227180333,39.0,34.0,-0.1282051282051282,11.0,11.0,28.0,23.0,0.0,0.0,100.0,100.0,36.0,32.0,36.0,32.0,0.0,0.0,0.0,484.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.12415618470471046,-0.66547684247994,0.0207943357527256,0.007942268624901772,-0.6180561514757332,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,877.3153951411576,602.0163391720986,162.4810536801815,111.5530146881938,-0.3134398616852373,113490.0,78223.0,-0.3107498458013922,36203.0,25173.0,77705.0,53327.0,0.0,0.0,400.0,400.0,108208.0,74728.0,107863.0,74381.0,345.0,347.0,0.005797101449275255,1751614.0,1201200.0,0.0,0.0,0.0,0.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1220.1626618386238,1731.6524461873366,406.5083737112582,576.7763379253447,0.41885475238703807,205249.0,298084.0,0.4523042743204595,62794.0,90098.0,143090.0,208971.0,0.0,0.0,400.0,400.0,196919.0,286093.0,196798.0,285972.0,121.0,121.0,0.0,3116069.0,4484804.0,0.0,0.0,0.0,0.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.16440210125926968,-0.342549003133924,0.03617950342595577,0.02846614457666874,-0.2131969241941929,5.0,5.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,100.0,100.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,20.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.1348287721410214,-0.4803565135093395,0.03255617991089821,0.019554056227207184,-0.39937497947474343,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
