instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS-PS64:status,PS-PS64:successful_repeats,PS-PS64:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PS-PS64:matches_reference,hybrid-reverse:matches_reference,PS-PS64:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PS-PS64:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PS-PS64:branches,hybrid-reverse:branches,relative_change:branches,PS-PS64:nodes_expanded,hybrid-reverse:nodes_expanded,PS-PS64:pruned_by_bound,hybrid-reverse:pruned_by_bound,PS-PS64:pruned_infeasible,hybrid-reverse:pruned_infeasible,PS-PS64:root_potential_iterations,hybrid-reverse:root_potential_iterations,PS-PS64:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PS-PS64:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PS-PS64:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS-PS64:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PS-PS64:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PS-PS64:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PS-PS64:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PS-PS64:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PS-PS64:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PS-PS64:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PS-PS64:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PS-PS64:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PS-PS64:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PS-PS64:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.41773946854541055,-0.5467292109735737,0.05216161161661148,0.04060610942542553,-0.22153269105485163,48.0,32.0,-0.33333333333333337,18.0,11.0,31.0,21.0,2.0,0.0,100.0,210.0,42.0,19.0,42.0,19.0,0.0,0.0,0.0,376.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.2776226091195334,-0.27863283452803,0.017229631543159485,0.017205536365509033,-0.001398473182092963,2.0,3.0,0.5,1.0,1.0,1.0,2.0,3.0,1.0,100.0,127.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.29111826278382813,-0.2982100464453783,0.028911428526043892,0.02862219326198101,-0.01000418446298268,10.0,11.0,0.10000000000000009,3.0,3.0,6.0,6.0,2.0,3.0,100.0,125.0,7.0,8.0,7.0,8.0,0.0,0.0,0.0,47.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.1372372003092569,-0.47719920383352976,0.04913710802793503,0.029775181785225868,-0.3940387829031712,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.3740360574135003,-0.25515462833497404,0.056827811524271965,0.067620400339365,0.18991737541192077,86.0,36.0,-0.5813953488372092,28.0,11.0,59.0,25.0,0.0,1.0,100.0,190.0,82.0,30.0,82.0,30.0,0.0,0.0,0.0,734.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.1840448389394953,-0.6537369980169335,0.019372455775737762,0.008220996707677841,-0.5756347670709931,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,3995.643389165524,9378.945144450085,739.3458348196,1735.2119511552155,1.3469557403790695,842923.0,1149734.0,0.3639846106939779,266389.0,368633.0,582268.0,785204.0,1.0,3.0,400.0,586.0,794139.0,1090625.0,793794.0,1090594.0,345.0,31.0,-0.9101449275362319,7183071.0,17677823.0,0.0,0.0,0.0,0.0,343.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,1679.6457379109356,1156.2084709906856,559.4640149530023,385.2188969478011,-0.3114500903509203,421296.0,185347.0,-0.5600551631157191,133187.0,57361.0,290578.0,128620.0,0.0,0.0,400.0,616.0,402315.0,178853.0,402195.0,178817.0,120.0,36.0,-0.7,3690548.0,2871263.0,0.0,0.0,0.0,0.0,119.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.10906304109058784,-0.08107596292910668,0.038575559854507446,0.03978733718395233,0.031413084709988714,5.0,6.0,0.19999999999999996,1.0,1.0,4.0,5.0,0.0,0.0,100.0,201.0,4.0,5.0,4.0,5.0,0.0,0.0,0.0,20.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.24042936652820068,-0.3227350126124129,0.028582455590367317,0.025485314428806305,-0.10835812030806724,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
