instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD-PSD32:status,PSD-PSD32:successful_repeats,PSD-PSD32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PSD-PSD32:matches_reference,PSD32:matches_reference,PSD-PSD32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PSD-PSD32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PSD-PSD32:branches,PSD32:branches,relative_change:branches,PSD-PSD32:nodes_expanded,PSD32:nodes_expanded,PSD-PSD32:pruned_by_bound,PSD32:pruned_by_bound,PSD-PSD32:pruned_infeasible,PSD32:pruned_infeasible,PSD-PSD32:root_potential_iterations,PSD32:root_potential_iterations,PSD-PSD32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PSD-PSD32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PSD-PSD32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD-PSD32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PSD-PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PSD-PSD32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PSD-PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PSD-PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PSD-PSD32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PSD-PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PSD-PSD32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PSD-PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PSD-PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PSD-PSD32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.4932716847462204,-0.5975507053710212,0.04539508372545242,0.036053283140063286,-0.2057888171742993,36.0,27.0,-0.25,13.0,9.0,23.0,18.0,0.0,1.0,100.0,100.0,33.0,22.0,33.0,22.0,0.0,0.0,0.0,504.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,0.07361611575046534,-0.34578041513735625,0.02560712769627571,0.015603980049490929,-0.3906391909874233,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.5385454805692518,-0.4259831787871443,0.01882021874189377,0.023411022499203682,0.24392935173972208,12.0,15.0,0.25,3.0,5.0,8.0,7.0,3.0,6.0,100.0,100.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,93.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.2657716443859537,-0.5636107379126205,0.04181665927171707,0.024853767827153206,-0.4056491297963827,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.4701168437203571,-0.411648081177283,0.04810516722500324,0.05341322347521782,0.11034274603780303,17.0,16.0,-0.05882352941176472,5.0,4.0,12.0,12.0,0.0,0.0,100.0,100.0,16.0,15.0,16.0,15.0,0.0,0.0,0.0,281.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.7731789182233978,-0.7153255804119447,0.005385199561715126,0.006758756935596466,0.2550615549414992,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,4900.016349865168,6555.453503299446,906.6473217196763,1212.88944667764,0.33777425645189285,578298.0,753303.0,0.3026207941234451,186453.0,241404.0,393788.0,514568.0,0.0,1.0,400.0,400.0,550509.0,715541.0,550488.0,715522.0,21.0,19.0,-0.09523809523809523,9007739.0,11648367.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,254.8578137686346,365.65462809510643,85.17157216370106,122.05431859195232,0.4330405731781264,43137.0,63161.0,0.46419547024596053,13504.0,19479.0,29782.0,43885.0,0.0,0.0,400.0,400.0,41237.0,60283.0,41217.0,60264.0,20.0,19.0,-0.050000000000000044,665531.0,966772.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.2912168176455807,-0.2905497150197982,0.030688712373375893,0.030717596411705017,0.0009411942077499624,4.0,4.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,100.0,100.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.48191737384617217,-0.29049044862174245,0.019495321437716484,0.02669866941869259,0.36949111118733335,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
