instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PSD32:status,PSD32:successful_repeats,PSD32:result,hybrid-reverse:status,hybrid-reverse:successful_repeats,hybrid-reverse:result,result_match,PSD32:matches_reference,hybrid-reverse:matches_reference,PSD32:wall_vs_Concorde_relative_change,hybrid-reverse:wall_vs_Concorde_relative_change,PSD32:wall_seconds,hybrid-reverse:wall_seconds,relative_change:wall_seconds,PSD32:branches,hybrid-reverse:branches,relative_change:branches,PSD32:nodes_expanded,hybrid-reverse:nodes_expanded,PSD32:pruned_by_bound,hybrid-reverse:pruned_by_bound,PSD32:pruned_infeasible,hybrid-reverse:pruned_infeasible,PSD32:root_potential_iterations,hybrid-reverse:root_potential_iterations,PSD32:search_node_potential_update_candidates,hybrid-reverse:search_node_potential_update_candidates,PSD32:search_node_potential_updates_triggered,hybrid-reverse:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_skipped_total,hybrid-reverse:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PSD32:search_node_potential_iterations,hybrid-reverse:search_node_potential_iterations,PSD32:search_node_potential_updates_skipped_budget_exhausted,hybrid-reverse:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_depth_interval,hybrid-reverse:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_gap_above_maximum,hybrid-reverse:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,hybrid-reverse:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_invalid_state,hybrid-reverse:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_numerically_unsafe,hybrid-reverse:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_strategy_none,hybrid-reverse:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_update_depth_zero,hybrid-reverse:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,hybrid-reverse:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_violation,hybrid-reverse:search_node_potential_updates_skipped_zero_violation
att48.tsp,ok,0.08958465978503227,10628.0,1.0,ok,1,10628.0,ok,1,10628.0,True,True,True,-0.5975507053710212,-0.5467292109735737,0.036053283140063286,0.04060610942542553,0.12628049067473235,27.0,32.0,0.18518518518518512,9.0,11.0,18.0,21.0,1.0,0.0,100.0,210.0,22.0,19.0,22.0,19.0,0.0,0.0,0.0,314.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayg29.tsp,ok,0.023851288482546806,1610.0,1.0,ok,1,1610.0,ok,1,1610.0,True,True,True,-0.34578041513735625,-0.27863283452803,0.015603980049490929,0.017205536365509033,0.10263768031864107,3.0,3.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,127.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bays29.tsp,ok,0.04078455828130245,2020.0,1.0,ok,1,2020.0,ok,1,2020.0,True,True,True,-0.4259831787871443,-0.2982100464453783,0.023411022499203682,0.02862219326198101,0.2225947526621097,15.0,11.0,-0.2666666666666667,5.0,3.0,7.0,6.0,6.0,3.0,100.0,125.0,10.0,8.0,10.0,8.0,0.0,0.0,0.0,145.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
berlin52.tsp,ok,0.05695320665836334,7542.0,1.0,ok,1,7542.0,ok,1,7542.0,True,True,True,-0.5636107379126205,-0.47719920383352976,0.024853767827153206,0.029775181785225868,0.19801480372307667,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brazil58.tsp,ok,0.09078448079526424,25395.0,1.0,ok,1,25395.0,ok,1,25395.0,True,True,True,-0.411648081177283,-0.25515462833497404,0.05341322347521782,0.067620400339365,0.2659861348892172,16.0,36.0,1.25,4.0,11.0,12.0,25.0,0.0,1.0,100.0,190.0,15.0,30.0,15.0,30.0,0.0,0.0,0.0,241.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burma14.tsp,ok,0.023742059245705605,3323.0,1.0,ok,1,3323.0,ok,1,3323.0,True,True,True,-0.7153255804119447,-0.6537369980169335,0.006758756935596466,0.008220996707677841,0.2163474416989566,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ch130.tsp,ok,0.18499169498682022,6110.0,1.0,ok,1,6110.0,ok,1,6110.0,True,True,True,6555.453503299446,9378.945144450085,1212.88944667764,1735.2119511552155,0.430643127375151,753303.0,1149734.0,0.5262570307034486,241404.0,368633.0,514568.0,785204.0,1.0,3.0,400.0,586.0,715541.0,1090625.0,715522.0,1090594.0,19.0,31.0,0.631578947368421,11648367.0,17677823.0,0.0,0.0,0.0,0.0,19.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ch150.tsp,ok,0.3328863438218832,6528.0,1.0,ok,1,6528.0,ok,1,6528.0,True,True,True,365.65462809510643,1156.2084709906856,122.05431859195232,385.2188969478011,2.156126726131267,63161.0,185347.0,1.9345165529361474,19479.0,57361.0,43885.0,128620.0,0.0,0.0,400.0,616.0,60283.0,178853.0,60264.0,178817.0,19.0,36.0,0.894736842105263,966772.0,2871263.0,0.0,0.0,0.0,0.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dantzig42.tsp,ok,0.043297743424773216,699.0,1.0,ok,1,699.0,ok,1,699.0,True,True,True,-0.2905497150197982,-0.08107596292910668,0.030717596411705017,0.03978733718395233,0.2952620592668269,4.0,6.0,0.5,1.0,1.0,3.0,5.0,0.0,0.0,100.0,201.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dj38.tsp,ok,0.03762975335121155,6656.0,1.0,ok,1,6656.0,ok,1,6656.0,True,True,True,-0.29049044862174245,-0.3227350126124129,0.02669866941869259,0.025485314428806305,-0.04544627190435102,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,2077.3782175363594,8.578591819073024,163.8073330335319,0.7549365013837814,-0.9953913143727867,217627.0,1014.0,-0.9953406516654643,58410.0,220.0,159992.0,804.0,0.0,6.0,400.0,551.0,206266.0,680.0,199884.0,639.0,6382.0,41.0,-0.9935756816045127,2768550.0,8715.0,0.0,0.0,0.0,0.0,6382.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,0.7303954487334259,1.1075257495452537,0.09963912516832352,0.12135493196547031,0.217944575089972,338.0,440.0,0.30177514792899407,114.0,153.0,225.0,291.0,39.0,34.0,400.0,463.0,301.0,415.0,301.0,415.0,0.0,0.0,0.0,4861.0,6521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,7.138679918416139,37.29010938661277,0.3165017291903496,1.489048095420003,3.704707614802521,569.0,3192.0,4.609841827768014,155.0,1042.0,417.0,2174.0,0.0,0.0,400.0,433.0,470.0,2960.0,460.0,2949.0,10.0,11.0,0.10000000000000009,6892.0,47624.0,0.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.38866389087210074,-0.4021325810466725,0.018022581934928894,0.017625516280531883,-0.022031563281589173,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,77.54542462811818,2795.1123801405074,12.558965299278498,447.0824178662151,34.598666547147765,10469.0,393662.0,36.602636354952715,3313.0,118496.0,7184.0,276680.0,0.0,0.0,400.0,1074.0,9361.0,372490.0,9314.0,372451.0,47.0,39.0,-0.17021276595744683,146917.0,5770837.0,0.0,0.0,0.0,0.0,44.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,145.3671086287992,196.0931948970312,49.18672493100166,66.23324634879827,0.34656752287754866,38620.0,52994.0,0.3721905748316934,13350.0,17789.0,25404.0,35382.0,3.0,0.0,400.0,604.0,35911.0,48916.0,35904.0,48910.0,7.0,6.0,-0.1428571428571429,583154.0,797177.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.22176388070706932,0.33742704214027297,0.014126893132925034,0.02427757903933525,0.7185363271951413,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,47.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,0.06954046778262568,1.0518258155778994,0.009110426530241966,0.01747760735452175,0.9184181219732155,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.16120637413368277,-0.050506590183434286,0.011377399787306786,0.012878932058811188,0.13197499424952874,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,2.363536512494056,1.5695884776412097,0.25880250334739685,0.19771330803632736,-0.23604561208230657,1387.0,1070.0,-0.2285508291276136,454.0,319.0,936.0,754.0,0.0,0.0,323.0,311.0,1241.0,976.0,1226.0,938.0,15.0,38.0,1.5333333333333332,19427.0,13263.0,0.0,0.0,0.0,0.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,13.773706407790057,17.76393592113785,2.9762308169156313,3.7800808269530535,0.27008994244286444,4889.0,6120.0,0.2517897320515443,1679.0,2184.0,3239.0,3985.0,0.0,0.0,356.0,357.0,4521.0,5605.0,4521.0,5605.0,0.0,0.0,0.0,75446.0,96224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.3089309464269081,0.35081802064409806,0.04091017507016659,0.042219340801239014,0.03200098090088899,8.0,10.0,0.25,4.0,5.0,4.0,5.0,1.0,4.0,100.0,152.0,6.0,9.0,6.0,9.0,0.0,0.0,0.0,87.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1169.8880507432275,335.6753721552581,108.94320458360016,31.32536361925304,-0.7124615184674985,392606.0,45495.0,-0.8841204668293403,71396.0,11672.0,321356.0,33899.0,1.0,2.0,330.0,372.0,372430.0,42194.0,319738.0,40654.0,52692.0,1540.0,-0.9707735519623473,1885453.0,510939.0,0.0,0.0,0.0,0.0,52692.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,2026.9941548851546,263.3725958950781,954.6443466115743,124.44898002408445,-0.869638383691471,511863.0,66191.0,-0.8706861015545175,151929.0,19992.0,361602.0,46387.0,0.0,0.0,400.0,612.0,484698.0,62856.0,484684.0,62854.0,14.0,2.0,-0.8571428571428572,7704730.0,1013266.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,339.9390412663066,438.03093355030956,62.51512022316456,80.50140427052975,0.28771094069975867,75304.0,106369.0,0.4125278869648359,25184.0,34309.0,50375.0,72354.0,17.0,0.0,400.0,396.0,70329.0,99518.0,70066.0,99492.0,263.0,26.0,-0.9011406844106464,1175808.0,1604312.0,0.0,0.0,0.0,0.0,262.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,94.5044835641701,114.3104180624846,11.387536834925413,13.749109823256731,0.20738224802824856,14960.0,17141.0,0.1457887700534759,4446.0,5225.0,10544.0,11959.0,0.0,0.0,311.0,370.0,14130.0,16129.0,13973.0,16114.0,157.0,15.0,-0.9044585987261147,203477.0,240582.0,0.0,0.0,0.0,0.0,157.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,143.18777021071793,392.87386311765937,20.314322527498007,55.49208978563547,1.7316731685499187,23169.0,81423.0,2.514307911433381,7054.0,19531.0,16172.0,62069.0,0.0,0.0,400.0,458.0,21707.0,76711.0,21386.0,71953.0,321.0,4758.0,13.822429906542055,333498.0,905057.0,0.0,0.0,0.0,0.0,319.0,4758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,181.30149844853824,627.4517097258965,42.90877685137093,147.92031005769968,2.4473205929423654,46593.0,160029.0,2.434614641684373,14327.0,50347.0,32397.0,110202.0,0.0,1.0,394.0,445.0,44047.0,152471.0,44023.0,152415.0,24.0,56.0,1.3333333333333335,669192.0,2363092.0,0.0,0.0,0.0,0.0,23.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.5743840877969992,1.4424436611960503,0.20793677866458893,0.19727975688874722,-0.05125125936971431,51.0,54.0,0.05882352941176472,16.0,14.0,35.0,40.0,0.0,0.0,307.0,356.0,30.0,26.0,29.0,26.0,1.0,0.0,-1.0,480.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,13.157135737030645,7.729888952781737,6.204616958275437,3.8260293640196323,-0.3833576851320939,5845.0,3262.0,-0.4419161676646707,2050.0,1150.0,3814.0,2120.0,0.0,0.0,349.0,393.0,5349.0,3039.0,5349.0,3039.0,0.0,0.0,0.0,88411.0,49307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,58.631599103023966,11.870175566228834,14.898131392896175,3.2154355999082327,-0.7841718860499889,9064.0,1951.0,-0.7847528684907326,4104.0,825.0,5462.0,1190.0,1.0,0.0,400.0,288.0,8011.0,1786.0,8011.0,1786.0,0.0,0.0,0.0,167614.0,35177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,2205.8190562384134,1702.3521627474686,474.7771604247391,366.4608118850738,-0.22814144733239639,1391537.0,1061614.0,-0.23709250993685405,372985.0,297463.0,1021351.0,766558.0,119.0,116.0,400.0,340.0,1276343.0,983550.0,1201478.0,933941.0,74865.0,49609.0,-0.33735390369331464,15183662.0,12361647.0,0.0,0.0,0.0,0.0,74865.0,49608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,257.6851909355479,261.17197682335285,740.2267199717462,750.2041449323297,0.013478877067507389,210812.0,217376.0,0.031136747433732515,74578.0,76795.0,137590.0,141958.0,7.0,6.0,400.0,597.0,200374.0,206043.0,200363.0,206029.0,11.0,14.0,0.2727272727272727,3660495.0,3773436.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7008350017149919,-0.6960704087951579,0.3472406566143036,0.3527709171175957,0.01592630470525469,335.0,375.0,0.11940298507462677,104.0,110.0,235.0,266.0,0.0,0.0,400.0,486.0,282.0,311.0,281.0,308.0,1.0,3.0,2.0,4297.0,4710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,2.368626611014586,2.2637188969391104,0.2644091881811619,0.2561748046427965,-0.031142577135872873,214.0,152.0,-0.28971962616822433,42.0,32.0,172.0,120.0,0.0,0.0,400.0,497.0,98.0,60.0,82.0,40.0,16.0,20.0,0.25,1183.0,549.0,0.0,0.0,0.0,0.0,16.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,4.67895786487516,0.6465460196997368,0.4055217318236828,0.11757618375122547,-0.7100619411382211,850.0,146.0,-0.8282352941176471,290.0,48.0,566.0,100.0,0.0,0.0,400.0,358.0,734.0,98.0,724.0,88.0,10.0,10.0,0.0,13300.0,1718.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.21875291853127243,0.19408886107510637,0.026457078754901886,0.04043804295361042,0.5284394519980096,3.0,8.0,1.6666666666666665,2.0,3.0,2.0,4.0,0.0,4.0,100.0,139.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,37.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,287.3638670072337,215.38966871233373,34.87399231828749,26.169615918770432,-0.24959506557419842,18956.0,14593.0,-0.23016459168600967,6398.0,4646.0,12644.0,9997.0,0.0,0.0,400.0,456.0,17712.0,13291.0,17685.0,13249.0,27.0,42.0,0.5555555555555556,298613.0,213321.0,0.0,0.0,0.0,0.0,27.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
