mode,repeat,instance,status,cost,root_lower_bound,instance_wall_seconds,batch_wall_seconds,nodes_created,nodes_expanded,root_candidate_edges_after,search_node_potential_update_candidates,search_node_potential_updates_triggered,search_node_potential_updates_skipped_gap_change_below_minimum,potential_updates_improved,potential_updates_pruned,potential_updates_rebuilt,potential_updates_stopped_prunable,search_node_potential_iterations,potential_update_seconds,potential_update_rebuild_seconds,replacement_seconds,lkh_provider_seconds
baseline,1,dantzig42,ok,699,696.95999999765797,0.01046075,3.837451875,10,2,62,8,8,0,8,7,1,7,59,8.1582000000000006e-05,9.7920000000000004e-06,1.0793e-05,0.0081110000000000002
baseline,1,att48,ok,10628,10602.139999958954,0.0096035830000000006,3.837451875,53,23,90,43,24,19,23,21,2,21,168,0.00038737399999999995,1.9167000000000001e-05,2.7583999999999985e-05,0.0068539999999999998
baseline,1,bayg29,ok,1610,1607.9799999981672,0.0043227500000000002,3.837451875,3,1,34,1,1,0,1,1,0,1,3,5.2079999999999999e-06,0,1.2900000000000001e-06,0.0035620000000000001
baseline,1,bays29,ok,2020,2013.2999999969581,0.0041118750000000001,3.837451875,11,3,50,8,8,0,8,6,2,6,81,7.3668000000000014e-05,9.8320000000000001e-06,3.6280000000000011e-06,0.0032880000000000001
baseline,1,fri26,ok,937,936.99999999842294,0.003028167,3.837451875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026150000000000001
baseline,1,st70,ok,675,670.93999999520179,0.019338999999999999,3.837451875,23,6,177,22,22,0,22,17,5,17,348,0.0012554569999999998,7.7625000000000003e-05,4.3253000000000001e-05,0.013416000000000001
baseline,1,eil76,ok,538,536.96999999686898,0.016684874999999998,3.837451875,3,1,92,2,2,0,2,2,0,2,13,3.7249999999999997e-05,0,1.3372999999999999e-05,0.011753
baseline,1,rat99,ok,1211,1205.9499999855982,0.0310525,3.837451875,90,40,207,76,45,31,45,37,8,37,467,0.0021785469999999999,0.00018962499999999999,8.6796000000000231e-05,0.016428000000000002
baseline,1,eil101,ok,629,627.30999999344851,0.035015708,3.837451875,93,36,177,83,53,30,50,48,2,48,694,0.0037399940000000004,4.9416000000000003e-05,0.00010984100000000025,0.017083000000000001
baseline,1,gr96,ok,55209,54569.479999428448,0.18290020800000001,3.837451875,4482,1990,529,3820,2103,1717,2102,1831,271,1829,19460,0.13309261699999966,0.0069315370000000041,0.0037892419999999119,0.023845000000000002
baseline,1,pr124,ok,59030,58060.599998730104,0.39609091699999999,3.837451875,4449,2100,1196,3906,2229,1677,2228,1807,421,1807,23178,0.31048879199999957,0.022360667000000001,0.0041002449999999399,0.032915
baseline,1,kroC100,ok,20749,20472.489999725905,0.745583,3.837451875,18289,7912,625,16317,9220,7097,9215,8406,809,8397,68762,0.65678095200000086,0.025426837000000025,0.018362566000000545,0.018655999999999999
baseline,1,u159,ok,42080,41924.959998853687,0.35437416599999999,3.837451875,4336,1900,490,3876,2156,1720,2151,1977,174,1967,15225,0.24972733499999997,0.0071755829999999993,0.0082374410000000623,0.028715999999999998
baseline,1,rd100,ok,7910,7897.0899999083686,0.037509583999999999,3.837451875,27,10,184,23,17,6,17,14,3,14,150,0.00078133300000000005,5.9916e-05,5.6210000000000012e-05,0.021895000000000001
