strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,95331,95331
helsgaun,2,helsgaun,2,95392,95392
helsgaun,3,helsgaun,3,95521,95521
helsgaun,4,helsgaun,4,95759,95759
helsgaun,5,helsgaun,5,96206.600000000006,96206.600000000006
helsgaun,6,helsgaun,6,96862.600000000006,96862.600000000006
helsgaun,7,helsgaun,7,97892,97892
helsgaun,8,helsgaun,8,98786.199999999997,98786.199999999997
helsgaun,9,helsgaun,9,99527.400000000009,99527.400000000009
helsgaun,10,helsgaun,10,96648.799999999988,99527.400000000009
helsgaun,11,helsgaun,11,96144.39999999998,99527.400000000009
helsgaun,12,helsgaun,12,96481.999999999985,99527.400000000009
helsgaun,13,helsgaun,13,98260.39999999998,99527.400000000009
helsgaun,14,helsgaun,14,99203.199999999997,99527.400000000009
helsgaun,15,helsgaun,15,100035.20000000003,100035.20000000003
helsgaun,16,helsgaun,16,97921.599999999991,100035.20000000003
helsgaun,17,helsgaun,17,100879.79999999999,100879.79999999999
helsgaun,18,helsgaun,18,101240.99999999999,101240.99999999999
helsgaun,19,helsgaun,19,102665.99999999996,102665.99999999996
helsgaun,20,helsgaun,20,102189.40000000004,102665.99999999996
helsgaun,21,helsgaun,21,101840.79999999996,102665.99999999996
helsgaun,22,helsgaun,22,103546.99999999999,103546.99999999999
helsgaun,23,helsgaun,23,102140.40000000004,103546.99999999999
helsgaun,24,helsgaun,24,104985.19999999998,104985.19999999998
helsgaun,25,helsgaun,25,106488.79999999997,106488.79999999997
helsgaun,26,helsgaun,26,106147.2,106488.79999999997
helsgaun,27,helsgaun,27,106628.8,106628.8
helsgaun,28,helsgaun,28,105853.79999999999,106628.8
helsgaun,29,helsgaun,29,107108.39999999998,107108.39999999998
helsgaun,30,helsgaun,30,104750.19999999994,107108.39999999998
helsgaun,31,helsgaun,31,105031.79999999994,107108.39999999998
helsgaun,32,helsgaun,32,106573.39999999998,107108.39999999998
helsgaun,33,helsgaun,33,105222.59999999998,107108.39999999998
helsgaun,34,helsgaun,34,105272.59999999993,107108.39999999998
helsgaun,35,helsgaun,35,107271.2,107271.2
helsgaun,36,helsgaun,36,106663.39999999999,107271.2
helsgaun,37,helsgaun,37,108887.59999999995,108887.59999999995
helsgaun,38,helsgaun,38,107360.79999999999,108887.59999999995
helsgaun,39,helsgaun,39,107294.79999999994,108887.59999999995
helsgaun,40,helsgaun,40,108812.59999999998,108887.59999999995
helsgaun,41,helsgaun,41,109322.99999999997,109322.99999999997
helsgaun,42,helsgaun,42,106596.59999999998,109322.99999999997
helsgaun,43,helsgaun,43,105526.99999999996,109322.99999999997
helsgaun,44,helsgaun,44,104611.59999999996,109322.99999999997
helsgaun,45,helsgaun,45,105983.59999999998,109322.99999999997
helsgaun,46,helsgaun,46,107239.39999999997,109322.99999999997
helsgaun,47,helsgaun,47,106834.59999999992,109322.99999999997
helsgaun,48,helsgaun,48,105505.59999999998,109322.99999999997
helsgaun,49,helsgaun,49,105397.20000000003,109322.99999999997
helsgaun,50,helsgaun,50,106008.20000000004,109322.99999999997
helsgaun,51,helsgaun,51,106316.39999999997,109322.99999999997
helsgaun,52,helsgaun,52,106888.99999999997,109322.99999999997
helsgaun,53,helsgaun,53,106789.39999999999,109322.99999999997
helsgaun,54,helsgaun,54,106231.39999999998,109322.99999999997
helsgaun,55,helsgaun,55,105071.8,109322.99999999997
helsgaun,56,helsgaun,56,105905.2,109322.99999999997
helsgaun,57,helsgaun,57,106999.20000000003,109322.99999999997
helsgaun,58,helsgaun,58,107096.19999999994,109322.99999999997
helsgaun,59,helsgaun,59,106967.39999999998,109322.99999999997
helsgaun,60,helsgaun,60,106829.39999999995,109322.99999999997
helsgaun,61,helsgaun,61,107197.00000000001,109322.99999999997
helsgaun,62,helsgaun,62,106801.80000000005,109322.99999999997
helsgaun,63,helsgaun,63,105782.79999999996,109322.99999999997
helsgaun,64,helsgaun,64,105819.20000000001,109322.99999999997
helsgaun,65,helsgaun,65,110246.39999999994,110246.39999999994
helsgaun,66,helsgaun,66,112467.99999999997,112467.99999999997
helsgaun,67,helsgaun,67,113420.2,113420.2
helsgaun,68,helsgaun,68,113447.79999999997,113447.79999999997
helsgaun,69,helsgaun,69,113889.8,113889.8
helsgaun,70,helsgaun,70,114096.19999999998,114096.19999999998
helsgaun,71,helsgaun,71,114925.59999999999,114925.59999999999
helsgaun,72,helsgaun,72,114516.19999999998,114925.59999999999
helsgaun,73,helsgaun,73,114988.80000000002,114988.80000000002
helsgaun,74,helsgaun,74,114642.40000000001,114988.80000000002
helsgaun,75,helsgaun,75,114866.59999999998,114988.80000000002
helsgaun,76,helsgaun,76,114181.40000000001,114988.80000000002
helsgaun,77,helsgaun,77,114517.8,114988.80000000002
helsgaun,78,helsgaun,78,114260.60000000001,114988.80000000002
helsgaun,79,helsgaun,79,114484.39999999998,114988.80000000002
helsgaun,80,helsgaun,80,115255,115255
helsgaun,81,helsgaun,81,114817.00000000004,115255
helsgaun,82,helsgaun,82,115006.59999999998,115255
helsgaun,83,helsgaun,83,114817.19999999998,115255
helsgaun,84,helsgaun,84,114755.80000000003,115255
helsgaun,85,helsgaun,85,114696.00000000003,115255
helsgaun,86,helsgaun,86,115300.2,115300.2
helsgaun,87,helsgaun,87,114653.80000000003,115300.2
helsgaun,88,helsgaun,88,114507.20000000001,115300.2
helsgaun,89,helsgaun,89,114725.39999999999,115300.2
helsgaun,90,helsgaun,90,115087.99999999996,115300.2
helsgaun,91,helsgaun,91,114111.00000000004,115300.2
helsgaun,92,helsgaun,92,114891.39999999998,115300.2
helsgaun,93,helsgaun,93,115044.59999999998,115300.2
helsgaun,94,helsgaun,94,115462.20000000003,115462.20000000003
helsgaun,95,helsgaun,95,114841.59999999999,115462.20000000003
helsgaun,96,helsgaun,96,115676.39999999992,115676.39999999992
helsgaun,97,helsgaun,97,116323.99999999999,116323.99999999999
helsgaun,98,helsgaun,98,116266.99999999997,116323.99999999999
helsgaun,99,helsgaun,99,116674.40000000002,116674.40000000002
helsgaun,100,helsgaun,100,116494.8,116674.40000000002
helsgaun,101,helsgaun,101,116577.8,116674.40000000002
helsgaun,102,helsgaun,102,116525.59999999999,116674.40000000002
helsgaun,103,helsgaun,103,116536.60000000001,116674.40000000002
helsgaun,104,helsgaun,104,116650.60000000002,116674.40000000002
helsgaun,105,helsgaun,105,116629.59999999998,116674.40000000002
helsgaun,106,helsgaun,106,116604.79999999999,116674.40000000002
helsgaun,107,helsgaun,107,116682.59999999999,116682.59999999999
helsgaun,108,helsgaun,108,116735.2,116735.2
helsgaun,109,helsgaun,109,116725.80000000006,116735.2
helsgaun,110,helsgaun,110,116551.40000000002,116735.2
helsgaun,111,helsgaun,111,116672.39999999998,116735.2
helsgaun,112,helsgaun,112,116528.79999999997,116735.2
helsgaun,113,helsgaun,113,116737.00000000003,116737.00000000003
helsgaun,114,helsgaun,114,116664.59999999998,116737.00000000003
helsgaun,115,helsgaun,115,116478.19999999995,116737.00000000003
helsgaun,116,helsgaun,116,116714.99999999999,116737.00000000003
helsgaun,117,helsgaun,117,116527.20000000003,116737.00000000003
helsgaun,118,helsgaun,118,116651.79999999996,116737.00000000003
helsgaun,119,helsgaun,119,116423.79999999999,116737.00000000003
helsgaun,120,helsgaun,120,116522.99999999994,116737.00000000003
helsgaun,121,helsgaun,121,116627.59999999999,116737.00000000003
helsgaun,122,helsgaun,122,116647.60000000001,116737.00000000003
helsgaun,123,helsgaun,123,116680.39999999997,116737.00000000003
helsgaun,124,helsgaun,124,116458.59999999992,116737.00000000003
helsgaun,125,helsgaun,125,116658.00000000003,116737.00000000003
helsgaun,126,helsgaun,126,116886.39999999999,116886.39999999999
helsgaun,127,helsgaun,127,117161.19999999991,117161.19999999991
helsgaun,128,helsgaun,128,117041.19999999997,117161.19999999991
helsgaun,129,helsgaun,129,117072.79999999999,117161.19999999991
helsgaun,130,helsgaun,130,117206,117206
helsgaun,131,helsgaun,131,117178.39999999999,117206
helsgaun,132,helsgaun,132,117186.79999999999,117206
helsgaun,133,helsgaun,133,117169.79999999997,117206
helsgaun,134,helsgaun,134,117179.99999999997,117206
helsgaun,135,helsgaun,135,117230.19999999997,117230.19999999997
helsgaun,136,helsgaun,136,117151.99999999999,117230.19999999997
helsgaun,137,helsgaun,137,117249.40000000002,117249.40000000002
helsgaun,138,helsgaun,138,117093.20000000001,117249.40000000002
