instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,1,polyak,1,18170,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,2,polyak,2,1659.2142857142894,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,3,polyak,3,11141.526473526472,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,4,polyak,4,10734.578344732188,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,5,polyak,5,9108.1830240765157,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,6,polyak,6,11729.999150107225,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,7,polyak,7,12166.596369837942,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,8,polyak,8,11287.095891081679,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,9,polyak,9,14309.769797662673,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,10,polyak,10,12340.872243849501,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,11,polyak,11,15019.249517397731,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,12,polyak,12,15359.334968159274,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,13,polyak,13,16526.466337537538,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,14,polyak,14,14438.240672462589,18170,25395
/Users/a/Ayanami/code/TSP/data/classic/tsplib/brazil58.tsp,polyak,15,polyak,15,17632.699928889167,18170,25395
