strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,1940,1940
polyak,2,polyak,2,1929.2537313432847,1940
polyak,3,polyak,3,1903.6842105263181,1940
polyak,4,polyak,4,1880.9624901806776,1940
polyak,5,polyak,5,1858.9503918595533,1940
polyak,6,polyak,6,1838.4055980944299,1940
polyak,7,polyak,7,1818.7367123911149,1940
polyak,8,polyak,8,1820.8517042432115,1940
polyak,9,polyak,9,1794.7343100910791,1940
polyak,10,polyak,10,1770.2924024389915,1940
polyak,11,polyak,11,1774.5633577234353,1940
polyak,12,polyak,12,1777.7805592932773,1940
polyak,13,polyak,13,1755.642306919849,1940
polyak,14,polyak,14,1754.6027439104575,1940
polyak,15,polyak,15,1806.0647901213927,1940
polyak,16,polyak,16,1846.1048413020526,1940
polyak,17,polyak,17,1853.6777953328012,1940
polyak,18,polyak,18,1875.3348379343488,1940
polyak,19,polyak,19,1891.0765979519663,1940
polyak,20,polyak,20,1893.7277692304187,1940
polyak,21,polyak,21,1900.1818996729414,1940
polyak,22,polyak,22,1905.158690944136,1940
polyak,23,polyak,23,1910.9927357736192,1940
polyak,24,polyak,24,1910.4327212551302,1940
polyak,25,polyak,25,1915.4215929616296,1940
polyak,26,polyak,26,1916.9248108308061,1940
polyak,27,polyak,27,1924.2350118535226,1940
polyak,28,polyak,28,1928.8806978200762,1940
polyak,29,polyak,29,1930.6779065176488,1940
polyak,30,polyak,30,1931.4232472219244,1940
polyak,31,polyak,31,1932.9011100745249,1940
polyak,32,polyak,32,1934.784358255946,1940
polyak,33,polyak,33,1934.6480420939299,1940
polyak,34,polyak,34,1935.3688782358738,1940
polyak,35,polyak,35,1934.8372960797014,1940
polyak,36,polyak,36,1935.9147315437667,1940
polyak,37,polyak,37,1935.5626672448154,1940
polyak,38,polyak,38,1936.5447214408239,1940
polyak,39,polyak,39,1937.7530414739954,1940
polyak,40,polyak,40,1938.5893978907716,1940
polyak,41,polyak,41,1939.3303632106611,1940
polyak,42,polyak,42,1939.5655645351253,1940
polyak,43,polyak,43,1939.629866527476,1940
polyak,44,polyak,44,1939.8455439249203,1940
polyak,45,polyak,45,1940.4051048610252,1940.4051048610252
polyak,46,polyak,46,1940.372695932851,1940.4051048610252
polyak,47,polyak,47,1940.1640110961227,1940.4051048610252
polyak,48,polyak,48,1940.236863941419,1940.4051048610252
polyak,49,polyak,49,1940.2521210797111,1940.4051048610252
polyak,50,polyak,50,1940.5707270718367,1940.5707270718367
polyak,51,polyak,51,1940.3726823405505,1940.5707270718367
polyak,52,polyak,52,1940.3811355522532,1940.5707270718367
polyak,53,polyak,53,1940.5971104480343,1940.5971104480343
polyak,54,polyak,54,1940.6081228529815,1940.6081228529815
polyak,55,polyak,55,1940.7163604048926,1940.7163604048926
polyak,56,polyak,56,1940.6957531938135,1940.7163604048926
polyak,57,polyak,57,1940.8048642805186,1940.8048642805186
polyak,58,polyak,58,1940.6884782208754,1940.8048642805186
polyak,59,polyak,59,1940.9365805537236,1940.9365805537236
polyak,60,polyak,60,1940.9651633496687,1940.9651633496687
polyak,61,polyak,61,1940.8364644407745,1940.9651633496687
polyak,62,polyak,62,1940.7295972277934,1940.9651633496687
polyak,63,polyak,63,1941.2460924689901,1941.2460924689901
polyak,64,polyak,64,1940.9379337369542,1941.2460924689901
polyak,65,polyak,65,1941.1105892659884,1941.2460924689901
polyak,66,polyak,66,1941.1469391958581,1941.2460924689901
polyak,67,polyak,67,1941.1491834706694,1941.2460924689901
polyak,68,polyak,68,1941.0199534117598,1941.2460924689901
polyak,69,polyak,69,1940.8946235517769,1941.2460924689901
polyak,70,polyak,70,1941.3883534334116,1941.3883534334116
polyak,71,polyak,71,1941.4931421081383,1941.4931421081383
polyak,72,polyak,72,1941.0999709897787,1941.4931421081383
polyak,73,polyak,73,1941.4594652652156,1941.4931421081383
polyak,74,polyak,74,1941.1331588856224,1941.4931421081383
polyak,75,polyak,75,1940.9833484541823,1941.4931421081383
polyak,76,polyak,76,1941.2714700514273,1941.4931421081383
polyak,77,polyak,77,1941.3289503613769,1941.4931421081383
polyak,78,polyak,78,1941.2871123533498,1941.4931421081383
polyak,79,polyak,79,1941.5482826556993,1941.5482826556993
polyak,80,polyak,80,1941.4210835769597,1941.5482826556993
polyak,81,polyak,81,1941.5546913521866,1941.5546913521866
polyak,82,polyak,82,1941.4039380620061,1941.5546913521866
polyak,83,polyak,83,1941.3947148544869,1941.5546913521866
polyak,84,polyak,84,1941.4932845810758,1941.5546913521866
polyak,85,polyak,85,1941.4593029718681,1941.5546913521866
polyak,86,polyak,86,1941.3005965044101,1941.5546913521866
polyak,87,polyak,87,1941.4815844428165,1941.5546913521866
polyak,88,polyak,88,1941.5472162695903,1941.5546913521866
polyak,89,polyak,89,1941.507111541704,1941.5546913521866
polyak,90,polyak,90,1941.5869100391035,1941.5869100391035
polyak,91,polyak,91,1941.5602168015548,1941.5869100391035
polyak,92,polyak,92,1941.5309076245151,1941.5869100391035
polyak,93,polyak,93,1941.5305811582477,1941.5869100391035
polyak,94,polyak,94,1941.5917188902602,1941.5917188902602
polyak,95,polyak,95,1941.3744839979477,1941.5917188902602
polyak,96,polyak,96,1941.632754391168,1941.632754391168
polyak,97,polyak,97,1941.7125804092427,1941.7125804092427
polyak,98,polyak,98,1941.5604317420043,1941.7125804092427
polyak,99,polyak,99,1941.5342296358087,1941.7125804092427
polyak,100,polyak,100,1941.8892154913772,1941.8892154913772
