strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,2542,2542
hybrid,2,polyak,2,2540.3333333333335,2542
hybrid,3,polyak,3,2511.8333333333339,2542
hybrid,4,polyak,4,2927.2142857142867,2927.2142857142867
hybrid,5,polyak,5,3100.4234693877556,3100.4234693877556
hybrid,6,polyak,6,3165.6649659863947,3165.6649659863947
hybrid,7,polyak,7,3173.6621315192747,3173.6621315192747
hybrid,8,polyak,8,3260.6282312925177,3260.6282312925177
hybrid,9,polyak,9,3262.6683106575974,3262.6683106575974
hybrid,10,polyak,10,3293.5564625850343,3293.5564625850343
hybrid,11,polyak,11,3298.4615873015878,3298.4615873015878
hybrid,12,polyak,12,3299.0453401360546,3299.0453401360546
hybrid,13,polyak,13,3301.4615873015873,3301.4615873015873
hybrid,14,polyak,14,3303.87783446712,3303.87783446712
hybrid,15,polyak,15,3304.4615873015869,3304.4615873015869
hybrid,16,polyak,16,3305.0453401360537,3305.0453401360537
hybrid,17,polyak,17,3307.4615873015864,3307.4615873015864
hybrid,18,polyak,18,3309.8778344671191,3309.8778344671191
hybrid,19,polyak,19,3310.461587301586,3310.461587301586
hybrid,20,polyak,20,3310.6005895691601,3310.6005895691601
hybrid,21,polyak,21,3312.294943310656,3312.294943310656
hybrid,22,polyak,22,3312.4339455782301,3312.4339455782301
hybrid,23,polyak,23,3312.5729478458043,3312.5729478458043
hybrid,24,polyak,24,3313.6005895691596,3313.6005895691596
hybrid,25,polyak,25,3314.628231292515,3314.628231292515
hybrid,26,polyak,26,3315.4339455782297,3315.4339455782297
hybrid,27,polyak,27,3316.4615873015846,3316.4615873015846
hybrid,28,polyak,28,3318.2949433106542,3318.2949433106542
hybrid,29,polyak,29,3317.8501927437619,3318.2949433106542
hybrid,30,polyak,30,3319.0168367346914,3319.0168367346914
hybrid,31,polyak,31,3319.6005895691583,3319.6005895691583
hybrid,32,polyak,32,3320.1843424036251,3320.1843424036251
hybrid,33,polyak,33,3321.4339455782283,3321.4339455782283
hybrid,34,polyak,34,3322.4615873015832,3322.4615873015832
hybrid,35,polyak,35,3322.8225510204061,3322.8225510204061
hybrid,36,polyak,36,3323,3323
hybrid,37,helsgaun,1,3323,3323
