strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,600,600
helsgaun,2,helsgaun,2,618,618
helsgaun,3,helsgaun,3,636.19999999999993,636.19999999999993
helsgaun,4,helsgaun,4,629.39999999999986,636.19999999999993
helsgaun,5,helsgaun,5,632.99999999999977,636.19999999999993
helsgaun,6,helsgaun,6,638.19999999999993,638.19999999999993
helsgaun,7,helsgaun,7,629.19999999999993,638.19999999999993
helsgaun,8,helsgaun,8,637.39999999999998,638.19999999999993
helsgaun,9,helsgaun,9,636,638.19999999999993
helsgaun,10,helsgaun,10,646,646
helsgaun,11,helsgaun,11,637.59999999999991,646
helsgaun,12,helsgaun,12,646.60000000000002,646.60000000000002
helsgaun,13,helsgaun,13,639.79999999999995,646.60000000000002
helsgaun,14,helsgaun,14,653.59999999999991,653.59999999999991
helsgaun,15,helsgaun,15,648.80000000000007,653.59999999999991
helsgaun,16,helsgaun,16,650.20000000000005,653.59999999999991
helsgaun,17,helsgaun,17,661.20000000000005,661.20000000000005
helsgaun,18,helsgaun,18,652,661.20000000000005
helsgaun,19,helsgaun,19,655.60000000000002,661.20000000000005
helsgaun,20,helsgaun,20,655.39999999999998,661.20000000000005
helsgaun,21,helsgaun,21,665.80000000000007,665.80000000000007
helsgaun,22,helsgaun,22,656.00000000000011,665.80000000000007
helsgaun,23,helsgaun,23,663.60000000000014,665.80000000000007
helsgaun,24,helsgaun,24,677.40000000000009,677.40000000000009
helsgaun,25,helsgaun,25,677.00000000000011,677.40000000000009
helsgaun,26,helsgaun,26,677.20000000000016,677.40000000000009
helsgaun,27,helsgaun,27,677.79999999999995,677.79999999999995
helsgaun,28,helsgaun,28,681.40000000000009,681.40000000000009
helsgaun,29,helsgaun,29,673.19999999999993,681.40000000000009
helsgaun,30,helsgaun,30,679.79999999999995,681.40000000000009
helsgaun,31,helsgaun,31,680.00000000000011,681.40000000000009
helsgaun,32,helsgaun,32,683.60000000000002,683.60000000000002
helsgaun,33,helsgaun,33,679.59999999999991,683.60000000000002
helsgaun,34,helsgaun,34,681.40000000000009,683.60000000000002
helsgaun,35,helsgaun,35,682.00000000000023,683.60000000000002
helsgaun,36,helsgaun,36,684,684
helsgaun,37,helsgaun,37,683.60000000000002,684
helsgaun,38,helsgaun,38,680.20000000000016,684
helsgaun,39,helsgaun,39,680.60000000000002,684
helsgaun,40,helsgaun,40,683.00000000000011,684
helsgaun,41,helsgaun,41,681.80000000000007,684
helsgaun,42,helsgaun,42,683,684
helsgaun,43,helsgaun,43,685.60000000000014,685.60000000000014
helsgaun,44,helsgaun,44,687.70000000000005,687.70000000000005
helsgaun,45,helsgaun,45,689.20000000000005,689.20000000000005
helsgaun,46,helsgaun,46,689.19999999999993,689.20000000000005
helsgaun,47,helsgaun,47,689.79999999999995,689.79999999999995
helsgaun,48,helsgaun,48,689.29999999999995,689.79999999999995
helsgaun,49,helsgaun,49,689.70000000000016,689.79999999999995
helsgaun,50,helsgaun,50,690.19999999999993,690.19999999999993
helsgaun,51,helsgaun,51,689.00000000000011,690.19999999999993
helsgaun,52,helsgaun,52,689.70000000000005,690.19999999999993
helsgaun,53,helsgaun,53,691,691
helsgaun,54,helsgaun,54,691.54999999999995,691.54999999999995
helsgaun,55,helsgaun,55,692,692
helsgaun,56,helsgaun,56,692.15000000000009,692.15000000000009
helsgaun,57,helsgaun,57,692.20000000000005,692.20000000000005
helsgaun,58,helsgaun,58,692.69999999999993,692.69999999999993
helsgaun,59,helsgaun,59,692.72500000000002,692.72500000000002
helsgaun,60,helsgaun,60,692.85000000000014,692.85000000000014
helsgaun,61,helsgaun,61,692.77499999999998,692.85000000000014
helsgaun,62,helsgaun,62,692.96249999999998,692.96249999999998
helsgaun,63,helsgaun,63,693.07499999999993,693.07499999999993
helsgaun,64,helsgaun,64,693.06249999999989,693.07499999999993
helsgaun,65,helsgaun,65,693.05000000000007,693.07499999999993
helsgaun,66,helsgaun,66,693.18750000000011,693.18750000000011
helsgaun,67,helsgaun,67,693.28125,693.28125
helsgaun,68,helsgaun,68,693.31562499999995,693.31562499999995
helsgaun,69,helsgaun,69,693.29999999999995,693.31562499999995
helsgaun,70,helsgaun,70,693.32656249999991,693.32656249999991
helsgaun,71,helsgaun,71,693.33906249999984,693.33906249999984
helsgaun,72,helsgaun,72,693.34765625000011,693.34765625000011
helsgaun,73,helsgaun,73,693.35468750000007,693.35468750000007
helsgaun,74,helsgaun,74,693.35781250000002,693.35781250000002
helsgaun,75,helsgaun,75,693.36015625000005,693.36015625000005
helsgaun,76,helsgaun,76,693.36171875000014,693.36171875000014
helsgaun,77,helsgaun,77,693.36347656250007,693.36347656250007
helsgaun,78,helsgaun,78,693.36455078125005,693.36455078125005
helsgaun,79,helsgaun,79,693.36621093750011,693.36621093750011
helsgaun,80,helsgaun,80,693.36650390625016,693.36650390625016
helsgaun,81,helsgaun,81,693.36694335937511,693.36694335937511
helsgaun,82,helsgaun,82,693.36721191406252,693.36721191406252
helsgaun,83,helsgaun,83,693.36752929687509,693.36752929687509
helsgaun,84,helsgaun,84,693.3676635742188,693.3676635742188
helsgaun,85,helsgaun,85,693.3677856445313,693.3677856445313
helsgaun,86,helsgaun,86,693.36782226562502,693.36782226562502
helsgaun,87,helsgaun,87,693.3679077148438,693.3679077148438
helsgaun,88,helsgaun,88,693.36792602539072,693.36792602539072
helsgaun,89,helsgaun,89,693.36796875000005,693.36796875000005
helsgaun,90,helsgaun,90,693.36798706054697,693.36798706054697
helsgaun,91,helsgaun,91,693.36800537109377,693.36800537109377
