instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,1,polyak,1,600,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,2,polyak,2,539.14285714285711,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,3,polyak,3,541.92857142857133,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,4,polyak,4,574.65838509316757,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,5,polyak,5,544.21832298136621,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,6,polyak,6,559.29623278422878,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,7,polyak,7,560.26331168831155,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,8,polyak,8,567.22527704127401,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,9,polyak,9,585.93503462248725,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,10,polyak,10,588.54622389668282,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,11,polyak,11,592.42286220953224,600,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,12,polyak,12,616.48350302338963,616.48350302338963,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,13,polyak,13,646.86220948758319,646.86220948758319,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,14,polyak,14,639.0319651626852,646.86220948758319,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,15,polyak,15,654.55664590191645,654.55664590191645,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,16,polyak,16,657.0123991837246,657.0123991837246,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,17,polyak,17,657.66320022374646,657.66320022374646,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,18,polyak,18,658.37886709026191,658.37886709026191,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,19,polyak,19,659.72974566769358,659.72974566769358,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,20,polyak,20,656.95767677098399,659.72974566769358,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,21,polyak,21,664.52540970321002,664.52540970321002,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,22,polyak,22,667.85110215490567,667.85110215490567,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,23,polyak,23,671.52074602106279,671.52074602106279,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,24,polyak,24,658.97457083329914,671.52074602106279,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,25,polyak,25,674.61676779100628,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,26,polyak,26,671.59690768106702,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,27,polyak,27,657.07534522067397,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,28,polyak,28,672.62367248322062,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,29,polyak,29,672.59246362933527,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,30,polyak,30,674.2362025796383,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,31,polyak,31,666.98025960209122,674.61676779100628,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,32,polyak,32,674.82558486049709,674.82558486049709,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,33,polyak,33,683.8143477872909,683.8143477872909,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,34,polyak,34,672.75769186299306,683.8143477872909,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,35,polyak,35,683.88674016247842,683.88674016247842,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,36,polyak,36,679.84663457025408,683.88674016247842,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,37,polyak,37,683.16544987335124,683.88674016247842,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,38,polyak,38,681.56054910154376,683.88674016247842,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,39,polyak,39,680.16896487936037,683.88674016247842,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,40,polyak,40,682.62052355064088,683.88674016247842,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,41,polyak,41,686.17159684697913,686.17159684697913,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,42,polyak,42,685.55637033505957,686.17159684697913,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,43,polyak,43,684.891645856183,686.17159684697913,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,44,polyak,44,689.21675762323798,689.21675762323798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,45,polyak,45,686.0112039401422,689.21675762323798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,46,polyak,46,683.35281803140094,689.21675762323798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,47,polyak,47,688.61271763775494,689.21675762323798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,48,polyak,48,687.57068829418427,689.21675762323798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,49,polyak,49,687.46802412216641,689.21675762323798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,50,polyak,50,690.32629116261194,690.32629116261194,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,51,polyak,51,687.80793626761351,690.32629116261194,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,52,polyak,52,689.25176559183137,690.32629116261194,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,53,polyak,53,685.79889093798386,690.32629116261194,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,54,polyak,54,685.84510574085857,690.32629116261194,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,55,polyak,55,692.50246450293798,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,56,polyak,56,689.85936557895627,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,57,polyak,57,692.39780089421004,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,58,polyak,58,690.60217125676866,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,59,polyak,59,684.25226004616286,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,60,polyak,60,686.63997565426678,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,61,polyak,61,682.44822472630301,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,62,polyak,62,684.99868041533921,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,63,polyak,63,691.54848493208431,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,64,polyak,64,692.03989139763189,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,65,polyak,65,691.85608232493541,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,66,polyak,66,689.73784188855973,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,67,polyak,67,689.52557933348044,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,68,polyak,68,689.29707228337088,692.50246450293798,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,69,polyak,69,693.4568003300551,693.4568003300551,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,70,polyak,70,692.82654330235243,693.4568003300551,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,71,polyak,71,694.69597673825251,694.69597673825251,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,72,polyak,72,693.79838231879603,694.69597673825251,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,73,polyak,73,694.76112944581712,694.76112944581712,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,74,polyak,74,693.90067352685253,694.76112944581712,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,75,polyak,75,695.75991026360975,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,76,polyak,76,694.91848530998209,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,77,polyak,77,694.63591773688324,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,78,polyak,78,694.66462512250177,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,79,polyak,79,695.29972027344502,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,80,polyak,80,694.93243190423584,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,81,polyak,81,694.96732171497774,695.75991026360975,699
/Users/a/Ayanami/code/TSP/data/classic/tsplib/dantzig42.tsp,polyak,82,polyak,82,694.76122815281292,695.75991026360975,699
