strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,558,558
helsgaun,2,helsgaun,2,578,578
helsgaun,3,helsgaun,3,589.79999999999973,589.79999999999973
helsgaun,4,helsgaun,4,477.40000000000003,589.79999999999973
helsgaun,5,helsgaun,5,458.60000000000002,589.79999999999973
helsgaun,6,helsgaun,6,447.39999999999998,589.79999999999973
helsgaun,7,helsgaun,7,427.80000000000013,589.79999999999973
helsgaun,8,helsgaun,8,398.20000000000005,589.79999999999973
helsgaun,9,helsgaun,9,357.40000000000003,589.79999999999973
helsgaun,10,helsgaun,10,325.00000000000011,589.79999999999973
helsgaun,11,helsgaun,11,322.80000000000007,589.79999999999973
helsgaun,12,helsgaun,12,361.40000000000015,589.79999999999973
helsgaun,13,helsgaun,13,360.40000000000009,589.79999999999973
helsgaun,14,helsgaun,14,382.60000000000008,589.79999999999973
helsgaun,15,helsgaun,15,417.60000000000014,589.79999999999973
helsgaun,16,helsgaun,16,413.20000000000027,589.79999999999973
helsgaun,17,helsgaun,17,378.59999999999997,589.79999999999973
helsgaun,18,helsgaun,18,407.39999999999992,589.79999999999973
helsgaun,19,helsgaun,19,410.80000000000024,589.79999999999973
helsgaun,20,helsgaun,20,395.2000000000001,589.79999999999973
helsgaun,21,helsgaun,21,379.2000000000001,589.79999999999973
helsgaun,22,helsgaun,22,394.39999999999998,589.79999999999973
helsgaun,23,helsgaun,23,377.39999999999998,589.79999999999973
helsgaun,24,helsgaun,24,380.39999999999998,589.79999999999973
helsgaun,25,helsgaun,25,409.20000000000005,589.79999999999973
helsgaun,26,helsgaun,26,406.00000000000028,589.79999999999973
helsgaun,27,helsgaun,27,385,589.79999999999973
helsgaun,28,helsgaun,28,440.00000000000006,589.79999999999973
helsgaun,29,helsgaun,29,417.40000000000009,589.79999999999973
helsgaun,30,helsgaun,30,449.59999999999991,589.79999999999973
helsgaun,31,helsgaun,31,431.59999999999997,589.79999999999973
helsgaun,32,helsgaun,32,386.80000000000007,589.79999999999973
helsgaun,33,helsgaun,33,363.59999999999997,589.79999999999973
helsgaun,34,helsgaun,34,398.19999999999993,589.79999999999973
helsgaun,35,helsgaun,35,375.00000000000017,589.79999999999973
helsgaun,36,helsgaun,36,376.19999999999999,589.79999999999973
helsgaun,37,helsgaun,37,363.60000000000002,589.79999999999973
helsgaun,38,helsgaun,38,360.20000000000016,589.79999999999973
helsgaun,39,helsgaun,39,376.00000000000006,589.79999999999973
helsgaun,40,helsgaun,40,390.79999999999995,589.79999999999973
helsgaun,41,helsgaun,41,397.19999999999993,589.79999999999973
helsgaun,42,helsgaun,42,383.99999999999989,589.79999999999973
helsgaun,43,helsgaun,43,399.59999999999997,589.79999999999973
helsgaun,44,helsgaun,44,398.2000000000001,589.79999999999973
helsgaun,45,helsgaun,45,407.80000000000001,589.79999999999973
helsgaun,46,helsgaun,46,378.20000000000005,589.79999999999973
helsgaun,47,helsgaun,47,394.00000000000006,589.79999999999973
helsgaun,48,helsgaun,48,392.79999999999995,589.79999999999973
helsgaun,49,helsgaun,49,383.19999999999993,589.79999999999973
helsgaun,50,helsgaun,50,395.00000000000006,589.79999999999973
helsgaun,51,helsgaun,51,382.19999999999999,589.79999999999973
helsgaun,52,helsgaun,52,486.40000000000003,589.79999999999973
helsgaun,53,helsgaun,53,522.79999999999984,589.79999999999973
helsgaun,54,helsgaun,54,552.80000000000007,589.79999999999973
helsgaun,55,helsgaun,55,552.59999999999991,589.79999999999973
helsgaun,56,helsgaun,56,571.59999999999991,589.79999999999973
helsgaun,57,helsgaun,57,577.79999999999995,589.79999999999973
helsgaun,58,helsgaun,58,588.19999999999982,589.79999999999973
helsgaun,59,helsgaun,59,587.99999999999989,589.79999999999973
helsgaun,60,helsgaun,60,578,589.79999999999973
helsgaun,61,helsgaun,61,581.19999999999993,589.79999999999973
helsgaun,62,helsgaun,62,583.80000000000018,589.79999999999973
helsgaun,63,helsgaun,63,591.19999999999993,591.19999999999993
helsgaun,64,helsgaun,64,576.5999999999998,591.19999999999993
helsgaun,65,helsgaun,65,572.79999999999995,591.19999999999993
helsgaun,66,helsgaun,66,579.5999999999998,591.19999999999993
helsgaun,67,helsgaun,67,560.20000000000016,591.19999999999993
helsgaun,68,helsgaun,68,577.80000000000007,591.19999999999993
helsgaun,69,helsgaun,69,579.60000000000014,591.19999999999993
helsgaun,70,helsgaun,70,576.60000000000014,591.19999999999993
helsgaun,71,helsgaun,71,572.59999999999991,591.19999999999993
helsgaun,72,helsgaun,72,573.8000000000003,591.19999999999993
helsgaun,73,helsgaun,73,575.80000000000007,591.19999999999993
helsgaun,74,helsgaun,74,583.60000000000002,591.19999999999993
helsgaun,75,helsgaun,75,582.60000000000002,591.19999999999993
helsgaun,76,helsgaun,76,572.99999999999977,591.19999999999993
helsgaun,77,helsgaun,77,598.60000000000002,598.60000000000002
helsgaun,78,helsgaun,78,607.10000000000002,607.10000000000002
helsgaun,79,helsgaun,79,611.09999999999968,611.09999999999968
helsgaun,80,helsgaun,80,609.50000000000034,611.09999999999968
helsgaun,81,helsgaun,81,610.79999999999984,611.09999999999968
helsgaun,82,helsgaun,82,607.20000000000005,611.09999999999968
helsgaun,83,helsgaun,83,613.59999999999991,613.59999999999991
helsgaun,84,helsgaun,84,610.90000000000009,613.59999999999991
helsgaun,85,helsgaun,85,609.4000000000002,613.59999999999991
helsgaun,86,helsgaun,86,607.59999999999991,613.59999999999991
helsgaun,87,helsgaun,87,605.59999999999991,613.59999999999991
helsgaun,88,helsgaun,88,610.30000000000018,613.59999999999991
helsgaun,89,helsgaun,89,614.84999999999991,614.84999999999991
helsgaun,90,helsgaun,90,617.79999999999995,617.79999999999995
helsgaun,91,helsgaun,91,619.6500000000002,619.6500000000002
helsgaun,92,helsgaun,92,618.3499999999998,619.6500000000002
helsgaun,93,helsgaun,93,620.60000000000002,620.60000000000002
helsgaun,94,helsgaun,94,618.70000000000005,620.60000000000002
helsgaun,95,helsgaun,95,622.04999999999995,622.04999999999995
helsgaun,96,helsgaun,96,623.34999999999991,623.34999999999991
helsgaun,97,helsgaun,97,623.97500000000014,623.97500000000014
helsgaun,98,helsgaun,98,624.27499999999986,624.27499999999986
helsgaun,99,helsgaun,99,624.47500000000002,624.47500000000002
helsgaun,100,helsgaun,100,624.57500000000016,624.57500000000016
helsgaun,101,helsgaun,101,625.4250000000003,625.4250000000003
helsgaun,102,helsgaun,102,625.47500000000002,625.47500000000002
helsgaun,103,helsgaun,103,626.18750000000011,626.18750000000011
helsgaun,104,helsgaun,104,625.85000000000002,626.18750000000011
helsgaun,105,helsgaun,105,625.72500000000025,626.18750000000011
helsgaun,106,helsgaun,106,626.02499999999975,626.18750000000011
helsgaun,107,helsgaun,107,626.51249999999993,626.51249999999993
helsgaun,108,helsgaun,108,626.59999999999991,626.59999999999991
helsgaun,109,helsgaun,109,626.68749999999977,626.68749999999977
helsgaun,110,helsgaun,110,626.88437499999998,626.88437499999998
helsgaun,111,helsgaun,111,626.90937500000007,626.90937500000007
helsgaun,112,helsgaun,112,627.0218749999998,627.0218749999998
helsgaun,113,helsgaun,113,627.07187499999998,627.07187499999998
helsgaun,114,helsgaun,114,627.12734374999991,627.12734374999991
helsgaun,115,helsgaun,115,627.16093750000027,627.16093750000027
helsgaun,116,helsgaun,116,627.18007812499991,627.18007812499991
helsgaun,117,helsgaun,117,627.18007812500002,627.18007812499991
helsgaun,118,helsgaun,118,627.19257812500018,627.19257812500018
helsgaun,119,helsgaun,119,627.20351562500014,627.20351562500014
helsgaun,120,helsgaun,120,627.20810546875009,627.20810546875009
helsgaun,121,helsgaun,121,627.21279296875036,627.21279296875036
helsgaun,122,helsgaun,122,627.21416015625005,627.21416015625005
helsgaun,123,helsgaun,123,627.21596679687514,627.21596679687514
helsgaun,124,helsgaun,124,627.2168701171878,627.2168701171878
helsgaun,125,helsgaun,125,627.21782226562516,627.21782226562516
helsgaun,126,helsgaun,126,627.218103027344,627.218103027344
helsgaun,127,helsgaun,127,627.21856689453136,627.21856689453136
helsgaun,128,helsgaun,128,627.21864624023465,627.21864624023465
helsgaun,129,helsgaun,129,627.21893310546898,627.21893310546898
helsgaun,130,helsgaun,130,627.21897277832045,627.21897277832045
helsgaun,131,helsgaun,131,627.21914367675799,627.21914367675799
helsgaun,132,helsgaun,132,627.21920166015627,627.21920166015627
helsgaun,133,helsgaun,133,627.21920471191413,627.21920471191413
helsgaun,134,helsgaun,134,627.21923370361344,627.21923370361344
helsgaun,135,helsgaun,135,627.2192672729492,627.2192672729492
helsgaun,136,helsgaun,136,627.21927986145033,627.21927986145033
helsgaun,137,helsgaun,137,627.21930770874042,627.21930770874042
helsgaun,138,helsgaun,138,627.21931247711188,627.21931247711188
helsgaun,139,helsgaun,139,627.21931877136262,627.21931877136262
helsgaun,140,helsgaun,140,627.21932048797623,627.21932048797623
helsgaun,141,helsgaun,141,627.21932344436664,627.21932344436664
helsgaun,142,helsgaun,142,627.21932482719444,627.21932482719444
helsgaun,143,helsgaun,143,627.21932792663574,627.21932792663574
helsgaun,144,helsgaun,144,627.21932847499852,627.21932847499852
helsgaun,145,helsgaun,145,627.21932885646834,627.21932885646834
helsgaun,146,helsgaun,146,627.21932915449156,627.21932915449156
helsgaun,147,helsgaun,147,627.21932976245887,627.21932976245887
helsgaun,148,helsgaun,148,627.21932997107513,627.21932997107513
helsgaun,149,helsgaun,149,627.21933019757284,627.21933019757284
helsgaun,150,helsgaun,150,627.21933030784146,627.21933030784146
helsgaun,151,helsgaun,151,627.21933040916929,627.21933040916929
helsgaun,152,helsgaun,152,627.21933045238268,627.21933045238268
helsgaun,153,helsgaun,153,627.21933051347742,627.21933051347742
helsgaun,154,helsgaun,154,627.21933053731937,627.21933053731937
helsgaun,155,helsgaun,155,627.21933059468893,627.21933059468893
helsgaun,156,helsgaun,156,627.2193305984141,627.2193305984141
helsgaun,157,helsgaun,157,627.21933061331515,627.21933061331515
helsgaun,158,helsgaun,158,627.21933061741311,627.21933061741311
helsgaun,159,helsgaun,159,627.21933062504979,627.21933062504979
helsgaun,160,helsgaun,160,627.21933062691255,627.21933062691255
helsgaun,161,helsgaun,161,627.21933063166227,627.21933063166227
helsgaun,162,helsgaun,162,627.2193306325936,627.2193306325936
helsgaun,163,helsgaun,163,627.21933063473568,627.21933063473568
helsgaun,164,helsgaun,164,627.21933063534107,627.21933063534107
helsgaun,165,helsgaun,165,627.21933063615586,627.21933063615586
helsgaun,166,helsgaun,166,627.2193306363888,627.21933063615586
helsgaun,167,helsgaun,167,627.21933063721519,627.21933063721519
