instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,1,polyak,1,19094,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,2,polyak,2,17095.227272727279,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,3,polyak,3,17923.257305194809,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,4,polyak,4,18486.542837264788,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,5,polyak,5,17911.005056915306,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,6,polyak,6,18657.804224658259,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,7,polyak,7,18981.76032151459,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,8,polyak,8,18627.213867011127,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,9,polyak,9,17700.032303710559,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,10,polyak,10,19012.97194212785,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,11,polyak,11,18421.139247561379,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,12,polyak,12,18469.967020408883,19094,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,13,polyak,13,19307.432984006384,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,14,polyak,14,19262.562355926708,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,15,polyak,15,18592.317053556097,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,16,polyak,16,19030.657199495738,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,17,polyak,17,18553.850088354175,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,18,polyak,18,18554.164281476729,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,19,polyak,19,18992.182960408983,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,20,polyak,20,18759.583780523699,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,21,polyak,21,19259.852242855381,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,22,polyak,22,19260.877622736392,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,23,polyak,23,18721.619458597921,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,24,polyak,24,18877.601846696696,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,25,polyak,25,19061.190495395207,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,26,polyak,26,19285.279314532589,19307.432984006384,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,27,polyak,27,20122.280974913087,20122.280974913087,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,28,polyak,28,20226.70207914717,20226.70207914717,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,29,polyak,29,20498.904018930272,20498.904018930272,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,30,polyak,30,20387.246688719046,20498.904018930272,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,31,polyak,31,20484.708215652507,20498.904018930272,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,32,polyak,32,20462.572733628131,20498.904018930272,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,33,polyak,33,20416.024879472614,20498.904018930272,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,34,polyak,34,20502.150024517723,20502.150024517723,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,35,polyak,35,20345.668054307327,20502.150024517723,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,36,polyak,36,20548.231900657458,20548.231900657458,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,37,polyak,37,20556.756769508826,20556.756769508826,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,38,polyak,38,20434.455388426828,20556.756769508826,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,39,polyak,39,20590.682862791666,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,40,polyak,40,20243.862300858222,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,41,polyak,41,20541.345183862784,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,42,polyak,42,20310.965891378288,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,43,polyak,43,20481.619352399292,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,44,polyak,44,20456.114669878461,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,45,polyak,45,20521.252179405372,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,46,polyak,46,20407.860124064897,20590.682862791666,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,47,polyak,47,20599.152958068422,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,48,polyak,48,20430.755304590315,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,49,polyak,49,20460.029138314188,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,50,polyak,50,20517.268150433105,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,51,polyak,51,20373.692995314745,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,52,polyak,52,20598.141779562477,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,53,polyak,53,20525.967993466209,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,54,polyak,54,20540.547531397209,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,55,polyak,55,20414.106313733449,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,56,polyak,56,20505.905948901545,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,57,polyak,57,20487.881450485955,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,58,polyak,58,20409.545373837049,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,59,polyak,59,20378.66656508392,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,60,polyak,60,20509.45614781127,20599.152958068422,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,61,polyak,61,20761.016414913163,20761.016414913163,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,62,polyak,62,20508.131005482421,20761.016414913163,21282
/Users/a/Ayanami/code/TSP/data/classic/tsplib/kroA100.tsp,polyak,63,polyak,63,20760.904012446819,20761.016414913163,21282
