strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,23845,23845
polyak,2,polyak,2,22414.37837837838,23845
polyak,3,polyak,3,23431.644339992155,23845
polyak,4,polyak,4,23486.128796780955,23845
polyak,5,polyak,5,24240.136102948549,24240.136102948549
polyak,6,polyak,6,24285.407217585416,24285.407217585416
polyak,7,polyak,7,24566.493812682991,24566.493812682991
polyak,8,polyak,8,24001.622806818581,24566.493812682991
polyak,9,polyak,9,24543.375526536962,24566.493812682991
polyak,10,polyak,10,24390.502155002468,24566.493812682991
polyak,11,polyak,11,24173.551525852839,24566.493812682991
polyak,12,polyak,12,24757.209061882284,24757.209061882284
polyak,13,polyak,13,24363.09356287021,24757.209061882284
polyak,14,polyak,14,24314.671621358655,24757.209061882284
polyak,15,polyak,15,24210.268506358712,24757.209061882284
polyak,16,polyak,16,24570.599775218448,24757.209061882284
polyak,17,polyak,17,24460.94763783025,24757.209061882284
polyak,18,polyak,18,24726.652278850535,24757.209061882284
polyak,19,polyak,19,24713.406192133269,24757.209061882284
polyak,20,polyak,20,24461.401750188434,24757.209061882284
polyak,21,polyak,21,24807.25404408772,24807.25404408772
polyak,22,polyak,22,24749.179512917723,24807.25404408772
polyak,23,polyak,23,24578.91634131868,24807.25404408772
polyak,24,polyak,24,24872.39557099657,24872.39557099657
polyak,25,polyak,25,24519.366786779043,24872.39557099657
polyak,26,polyak,26,24413.886057693497,24872.39557099657
polyak,27,polyak,27,24710.367224629434,24872.39557099657
polyak,28,polyak,28,24853.298795379811,24872.39557099657
polyak,29,polyak,29,24418.419707248282,24872.39557099657
polyak,30,polyak,30,24896.284898839061,24896.284898839061
polyak,31,polyak,31,24159.768163822493,24896.284898839061
polyak,32,polyak,32,24402.118047262382,24896.284898839061
polyak,33,polyak,33,24731.727732611773,24896.284898839061
polyak,34,polyak,34,24287.528657568237,24896.284898839061
polyak,35,polyak,35,24321.141822125723,24896.284898839061
polyak,36,polyak,36,24832.99715556006,24896.284898839061
polyak,37,polyak,37,24439.738880812507,24896.284898839061
polyak,38,polyak,38,24263.62178919221,24896.284898839061
polyak,39,polyak,39,24565.887987339232,24896.284898839061
polyak,40,polyak,40,24729.080719251197,24896.284898839061
polyak,41,polyak,41,24793.624854639591,24896.284898839061
polyak,42,polyak,42,24646.059163704587,24896.284898839061
polyak,43,polyak,43,24852.214393029699,24896.284898839061
polyak,44,polyak,44,25496.160322151904,25496.160322151904
polyak,45,polyak,45,25628.164774161185,25628.164774161185
polyak,46,polyak,46,25763.592595436468,25763.592595436468
polyak,47,polyak,47,25694.663131788377,25763.592595436468
polyak,48,polyak,48,25784.022729453874,25784.022729453874
polyak,49,polyak,49,25794.883662752334,25794.883662752334
polyak,50,polyak,50,25892.422255150716,25892.422255150716
polyak,51,polyak,51,25815.775190259559,25892.422255150716
polyak,52,polyak,52,25809.378821524941,25892.422255150716
polyak,53,polyak,53,25801.765393484791,25892.422255150716
polyak,54,polyak,54,25965.189155045187,25965.189155045187
polyak,55,polyak,55,25723.183985649448,25965.189155045187
polyak,56,polyak,56,25911.327796102552,25965.189155045187
polyak,57,polyak,57,25614.737726261166,25965.189155045187
polyak,58,polyak,58,25831.113825950899,25965.189155045187
polyak,59,polyak,59,25777.371590172665,25965.189155045187
polyak,60,polyak,60,25883.952489337691,25965.189155045187
polyak,61,polyak,61,25787.367524716872,25965.189155045187
polyak,62,polyak,62,25853.340297416347,25965.189155045187
polyak,63,polyak,63,25918.330245444693,25965.189155045187
polyak,64,polyak,64,25773.266215447817,25965.189155045187
polyak,65,polyak,65,25941.967359733477,25965.189155045187
polyak,66,polyak,66,25711.430328140294,25965.189155045187
polyak,67,polyak,67,25842.337974063277,25965.189155045187
polyak,68,polyak,68,26050.852617675206,26050.852617675206
polyak,69,polyak,69,26019.300465640325,26050.852617675206
polyak,70,polyak,70,26082.13773188191,26082.13773188191
polyak,71,polyak,71,26037.224393192475,26082.13773188191
polyak,72,polyak,72,26105.832174234733,26105.832174234733
polyak,73,polyak,73,26069.874270483164,26105.832174234733
polyak,74,polyak,74,26086.390126038899,26105.832174234733
polyak,75,polyak,75,26073.377362146111,26105.832174234733
polyak,76,polyak,76,26062.410785978049,26105.832174234733
polyak,77,polyak,77,26062.557478378461,26105.832174234733
polyak,78,polyak,78,26113.876740499465,26113.876740499465
polyak,79,polyak,79,26087.75180359526,26113.876740499465
polyak,80,polyak,80,26049.055832206053,26113.876740499465
polyak,81,polyak,81,26129.796106662976,26129.796106662976
polyak,82,polyak,82,26054.034027979629,26129.796106662976
polyak,83,polyak,83,26075.050255655238,26129.796106662976
polyak,84,polyak,84,26092.171771040841,26129.796106662976
polyak,85,polyak,85,26089.759542148484,26129.796106662976
polyak,86,polyak,86,26081.978756794804,26129.796106662976
polyak,87,polyak,87,26085.130230358493,26129.796106662976
polyak,88,polyak,88,26094.638674156515,26129.796106662976
polyak,89,polyak,89,26076.189240105825,26129.796106662976
polyak,90,polyak,90,26100.99159617328,26129.796106662976
polyak,91,polyak,91,26085.070476481906,26129.796106662976
polyak,92,polyak,92,26101.427419498759,26129.796106662976
polyak,93,polyak,93,26110.671632715563,26129.796106662976
polyak,94,polyak,94,26066.829668088751,26129.796106662976
polyak,95,polyak,95,26158.124750325205,26158.124750325205
polyak,96,polyak,96,26170.53639483259,26170.53639483259
polyak,97,polyak,97,26156.973679363276,26170.53639483259
polyak,98,polyak,98,26187.801840637989,26187.801840637989
