strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,19499,19499
helsgaun,2,helsgaun,2,19537,19537
helsgaun,3,helsgaun,3,19609.200000000001,19609.200000000001
helsgaun,4,helsgaun,4,19747.599999999999,19747.599999999999
helsgaun,5,helsgaun,5,19976.599999999999,19976.599999999999
helsgaun,6,helsgaun,6,20326.800000000003,20326.800000000003
helsgaun,7,helsgaun,7,20533.599999999995,20533.599999999995
helsgaun,8,helsgaun,8,20477.199999999997,20533.599999999995
helsgaun,9,helsgaun,9,20439.799999999996,20533.599999999995
helsgaun,10,helsgaun,10,20521.599999999995,20533.599999999995
helsgaun,11,helsgaun,11,20523.399999999994,20533.599999999995
helsgaun,12,helsgaun,12,20359.399999999994,20533.599999999995
helsgaun,13,helsgaun,13,20882,20882
helsgaun,14,helsgaun,14,20465.199999999997,20882
helsgaun,15,helsgaun,15,20504.999999999996,20882
helsgaun,16,helsgaun,16,20472.200000000004,20882
helsgaun,17,helsgaun,17,20243.799999999999,20882
helsgaun,18,helsgaun,18,20639.200000000001,20882
helsgaun,19,helsgaun,19,20671.799999999999,20882
helsgaun,20,helsgaun,20,20532.799999999999,20882
helsgaun,21,helsgaun,21,20641.800000000007,20882
helsgaun,22,helsgaun,22,20751.799999999999,20882
helsgaun,23,helsgaun,23,20613.400000000001,20882
helsgaun,24,helsgaun,24,20725.600000000006,20882
helsgaun,25,helsgaun,25,20367.999999999993,20882
helsgaun,26,helsgaun,26,20299.999999999993,20882
helsgaun,27,helsgaun,27,20450.600000000002,20882
helsgaun,28,helsgaun,28,20771.200000000004,20882
helsgaun,29,helsgaun,29,20925.000000000007,20925.000000000007
helsgaun,30,helsgaun,30,20795.799999999999,20925.000000000007
helsgaun,31,helsgaun,31,20652.200000000001,20925.000000000007
helsgaun,32,helsgaun,32,20816.000000000004,20925.000000000007
helsgaun,33,helsgaun,33,20814.200000000001,20925.000000000007
helsgaun,34,helsgaun,34,20379.799999999996,20925.000000000007
helsgaun,35,helsgaun,35,20682.800000000007,20925.000000000007
helsgaun,36,helsgaun,36,20804.000000000007,20925.000000000007
helsgaun,37,helsgaun,37,20765.200000000004,20925.000000000007
helsgaun,38,helsgaun,38,20519.599999999995,20925.000000000007
helsgaun,39,helsgaun,39,20740.600000000006,20925.000000000007
helsgaun,40,helsgaun,40,20628.000000000007,20925.000000000007
helsgaun,41,helsgaun,41,20629.200000000008,20925.000000000007
helsgaun,42,helsgaun,42,20790.599999999999,20925.000000000007
helsgaun,43,helsgaun,43,20541.000000000004,20925.000000000007
helsgaun,44,helsgaun,44,20292.000000000004,20925.000000000007
helsgaun,45,helsgaun,45,20689.400000000001,20925.000000000007
helsgaun,46,helsgaun,46,20640.399999999998,20925.000000000007
helsgaun,47,helsgaun,47,21076.599999999999,21076.599999999999
helsgaun,48,helsgaun,48,20777.400000000001,21076.599999999999
helsgaun,49,helsgaun,49,20961.999999999996,21076.599999999999
helsgaun,50,helsgaun,50,20676.400000000001,21076.599999999999
helsgaun,51,helsgaun,51,20737.800000000007,21076.599999999999
helsgaun,52,helsgaun,52,21066.399999999998,21076.599999999999
helsgaun,53,helsgaun,53,21350.200000000004,21350.200000000004
helsgaun,54,helsgaun,54,21404.400000000005,21404.400000000005
helsgaun,55,helsgaun,55,21394,21404.400000000005
helsgaun,56,helsgaun,56,21406.200000000008,21406.200000000008
helsgaun,57,helsgaun,57,21546.800000000007,21546.800000000007
helsgaun,58,helsgaun,58,21429.000000000004,21546.800000000007
helsgaun,59,helsgaun,59,21493.000000000004,21546.800000000007
helsgaun,60,helsgaun,60,21455.400000000009,21546.800000000007
helsgaun,61,helsgaun,61,21550.000000000004,21550.000000000004
helsgaun,62,helsgaun,62,21396.200000000004,21550.000000000004
helsgaun,63,helsgaun,63,21578.000000000004,21578.000000000004
helsgaun,64,helsgaun,64,21345.200000000008,21578.000000000004
helsgaun,65,helsgaun,65,21533.000000000004,21578.000000000004
helsgaun,66,helsgaun,66,21469.200000000001,21578.000000000004
helsgaun,67,helsgaun,67,21467.000000000007,21578.000000000004
helsgaun,68,helsgaun,68,21436.200000000004,21578.000000000004
helsgaun,69,helsgaun,69,21354.600000000002,21578.000000000004
helsgaun,70,helsgaun,70,21499.400000000005,21578.000000000004
helsgaun,71,helsgaun,71,21367.800000000007,21578.000000000004
helsgaun,72,helsgaun,72,21440.200000000004,21578.000000000004
helsgaun,73,helsgaun,73,21460.600000000002,21578.000000000004
helsgaun,74,helsgaun,74,21501.800000000003,21578.000000000004
helsgaun,75,helsgaun,75,21388.799999999999,21578.000000000004
helsgaun,76,helsgaun,76,21470.600000000009,21578.000000000004
helsgaun,77,helsgaun,77,21594.200000000004,21594.200000000004
helsgaun,78,helsgaun,78,21697.400000000005,21697.400000000005
helsgaun,79,helsgaun,79,21693.000000000007,21697.400000000005
helsgaun,80,helsgaun,80,21712.000000000004,21712.000000000004
helsgaun,81,helsgaun,81,21696.200000000012,21712.000000000004
