strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,23036,23036
polyak,2,polyak,2,20947.700000000001,23036
polyak,3,polyak,3,22541.356122448989,23036
polyak,4,polyak,4,21642.527237048678,23036
polyak,5,polyak,5,23031.877943053816,23036
polyak,6,polyak,6,23351.710951784262,23351.710951784262
polyak,7,polyak,7,23378.390428679922,23378.390428679922
polyak,8,polyak,8,22586.759235561854,23378.390428679922
polyak,9,polyak,9,23347.841905736845,23378.390428679922
polyak,10,polyak,10,23344.923105985763,23378.390428679922
polyak,11,polyak,11,23516.189765389507,23516.189765389507
polyak,12,polyak,12,23735.442223939244,23735.442223939244
polyak,13,polyak,13,23335.633646671387,23735.442223939244
polyak,14,polyak,14,23667.379123483544,23735.442223939244
polyak,15,polyak,15,23108.180504286665,23735.442223939244
polyak,16,polyak,16,23998.252753754121,23998.252753754121
polyak,17,polyak,17,23830.616051811117,23998.252753754121
polyak,18,polyak,18,23970.282286581107,23998.252753754121
polyak,19,polyak,19,23820.92155062711,23998.252753754121
polyak,20,polyak,20,23725.483130113738,23998.252753754121
polyak,21,polyak,21,23977.191623286471,23998.252753754121
polyak,22,polyak,22,23820.270288362142,23998.252753754121
polyak,23,polyak,23,23954.515784133459,23998.252753754121
polyak,24,polyak,24,23933.536875613387,23998.252753754121
polyak,25,polyak,25,23820.436773509198,23998.252753754121
polyak,26,polyak,26,24343.083984463185,24343.083984463185
polyak,27,polyak,27,23161.562012736307,24343.083984463185
polyak,28,polyak,28,23760.37374089225,24343.083984463185
polyak,29,polyak,29,23169.062361783446,24343.083984463185
polyak,30,polyak,30,23879.920219017338,24343.083984463185
polyak,31,polyak,31,23882.928451178719,24343.083984463185
polyak,32,polyak,32,23824.431860459827,24343.083984463185
polyak,33,polyak,33,23815.296823540782,24343.083984463185
polyak,34,polyak,34,24080.384238090453,24343.083984463185
polyak,35,polyak,35,23762.430679720073,24343.083984463185
polyak,36,polyak,36,23385.592878212145,24343.083984463185
polyak,37,polyak,37,24144.336566949565,24343.083984463185
polyak,38,polyak,38,23579.516719348794,24343.083984463185
polyak,39,polyak,39,23080.716935223936,24343.083984463185
polyak,40,polyak,40,24697.109139423424,24697.109139423424
polyak,41,polyak,41,25054.989586981559,25054.989586981559
polyak,42,polyak,42,25218.43525645668,25218.43525645668
polyak,43,polyak,43,25224.590473488657,25224.590473488657
polyak,44,polyak,44,25327.809440495046,25327.809440495046
polyak,45,polyak,45,25180.801381297821,25327.809440495046
polyak,46,polyak,46,25365.206288881403,25365.206288881403
polyak,47,polyak,47,25080.111244867836,25365.206288881403
polyak,48,polyak,48,25225.628736355869,25365.206288881403
polyak,49,polyak,49,25321.902626486441,25365.206288881403
polyak,50,polyak,50,25273.388449372276,25365.206288881403
polyak,51,polyak,51,25101.957168127643,25365.206288881403
polyak,52,polyak,52,25291.112080519979,25365.206288881403
polyak,53,polyak,53,25174.163967437813,25365.206288881403
polyak,54,polyak,54,25436.831533377004,25436.831533377004
polyak,55,polyak,55,25247.29578312072,25436.831533377004
polyak,56,polyak,56,25288.918221244541,25436.831533377004
polyak,57,polyak,57,25313.208820599833,25436.831533377004
polyak,58,polyak,58,25371.377105701064,25436.831533377004
polyak,59,polyak,59,25222.968773564782,25436.831533377004
polyak,60,polyak,60,25266.958259631567,25436.831533377004
polyak,61,polyak,61,25382.376476083773,25436.831533377004
polyak,62,polyak,62,25261.928539526434,25436.831533377004
polyak,63,polyak,63,25285.065560143081,25436.831533377004
polyak,64,polyak,64,25307.739467618339,25436.831533377004
polyak,65,polyak,65,25307.141942222566,25436.831533377004
polyak,66,polyak,66,25361.533504848467,25436.831533377004
polyak,67,polyak,67,25271.614111296618,25436.831533377004
polyak,68,polyak,68,25552.55110211506,25552.55110211506
polyak,69,polyak,69,25482.379107247252,25552.55110211506
polyak,70,polyak,70,25593.650556272281,25593.650556272281
polyak,71,polyak,71,25496.710993860899,25593.650556272281
polyak,72,polyak,72,25579.791449571279,25593.650556272281
polyak,73,polyak,73,25405.265148784732,25593.650556272281
polyak,74,polyak,74,25561.216975118459,25593.650556272281
polyak,75,polyak,75,25549.990804041008,25593.650556272281
polyak,76,polyak,76,25504.73705600993,25593.650556272281
polyak,77,polyak,77,25570.317920664933,25593.650556272281
polyak,78,polyak,78,25527.923258102357,25593.650556272281
polyak,79,polyak,79,25524.292397533518,25593.650556272281
polyak,80,polyak,80,25537.662582656936,25593.650556272281
polyak,81,polyak,81,25513.231309521561,25593.650556272281
polyak,82,polyak,82,25547.396202014435,25593.650556272281
polyak,83,polyak,83,25475.468303909416,25593.650556272281
polyak,84,polyak,84,25622.800138102222,25622.800138102222
polyak,85,polyak,85,25655.869727965779,25655.869727965779
polyak,86,polyak,86,25626.309684907257,25655.869727965779
polyak,87,polyak,87,25630.91509498451,25655.869727965779
polyak,88,polyak,88,25659.164177656381,25659.164177656381
polyak,89,polyak,89,25621.325194804962,25659.164177656381
polyak,90,polyak,90,25644.727610386934,25659.164177656381
polyak,91,polyak,91,25638.985050749183,25659.164177656381
polyak,92,polyak,92,25628.89342070364,25659.164177656381
polyak,93,polyak,93,25640.873551981262,25659.164177656381
polyak,94,polyak,94,25648.829690358682,25659.164177656381
polyak,95,polyak,95,25616.647909599898,25659.164177656381
polyak,96,polyak,96,25649.014067800075,25659.164177656381
polyak,97,polyak,97,25624.739449149947,25659.164177656381
polyak,98,polyak,98,25642.945413137535,25659.164177656381
polyak,99,polyak,99,25629.290940146846,25659.164177656381
polyak,100,polyak,100,25639.53179488987,25659.164177656381
polyak,101,polyak,101,25631.851153832598,25659.164177656381
polyak,102,polyak,102,25696.944526249616,25696.944526249616
polyak,103,polyak,103,25674.043435310501,25696.944526249616
polyak,104,polyak,104,25681.173034699063,25696.944526249616
polyak,105,polyak,105,25700.361917903636,25700.361917903636
polyak,106,polyak,106,25666.232352040734,25700.361917903636
polyak,107,polyak,107,25683.587604663342,25700.361917903636
polyak,108,polyak,108,25686.170455518564,25700.361917903636
polyak,109,polyak,109,25681.707766547359,25700.361917903636
polyak,110,polyak,110,25686.277760965346,25700.361917903636
polyak,111,polyak,111,25681.812508553987,25700.361917903636
polyak,112,polyak,112,25692.383903832488,25700.361917903636
polyak,113,polyak,113,25679.114644926736,25700.361917903636
polyak,114,polyak,114,25688.446524636736,25700.361917903636
polyak,115,polyak,115,25679.808160505076,25700.361917903636
polyak,116,polyak,116,25688.696297319682,25700.361917903636
polyak,117,polyak,117,25679.61915191001,25700.361917903636
polyak,118,polyak,118,25691.16860494763,25700.361917903636
polyak,119,polyak,119,25715.560842888353,25715.560842888353
polyak,120,polyak,120,25688.264451907766,25715.560842888353
polyak,121,polyak,121,25712.156857444646,25715.560842888353
polyak,122,polyak,122,25699.067542323217,25715.560842888353
polyak,123,polyak,123,25716.802488994545,25716.802488994545
polyak,124,polyak,124,25699.137919061181,25716.802488994545
polyak,125,polyak,125,25716.673772824794,25716.802488994545
polyak,126,polyak,126,25700.49333797675,25716.802488994545
polyak,127,polyak,127,25715.662495646793,25716.802488994545
polyak,128,polyak,128,25701.441410331139,25716.802488994545
polyak,129,polyak,129,25714.773677814563,25716.802488994545
polyak,130,polyak,130,25702.274677048845,25716.802488994545
polyak,131,polyak,131,25713.992490266712,25716.802488994545
polyak,132,polyak,132,25702.983312795059,25716.802488994545
polyak,133,polyak,133,25713.247653582737,25716.802488994545
polyak,134,polyak,134,25703.705324766186,25716.802488994545
polyak,135,polyak,135,25712.651258031696,25716.802488994545
polyak,136,polyak,136,25704.26444559528,25716.802488994545
polyak,137,polyak,137,25720.861567649492,25720.861567649492
polyak,138,polyak,138,25719.748097668191,25720.861567649492
polyak,139,polyak,139,25720.429685826792,25720.861567649492
polyak,140,polyak,140,25720.771241855298,25720.861567649492
polyak,141,polyak,141,25720.440359452681,25720.861567649492
polyak,142,polyak,142,25720.760901780217,25720.861567649492
polyak,143,polyak,143,25720.450376400418,25720.861567649492
polyak,144,polyak,144,25720.751197862097,25720.861567649492
polyak,145,polyak,145,25720.45977707109,25720.861567649492
polyak,146,polyak,146,25720.742090962376,25720.861567649492
polyak,147,polyak,147,25720.468599380201,25720.861567649492
polyak,148,polyak,148,25720.733544350434,25720.861567649492
polyak,149,polyak,149,25720.476878910518,25720.861567649492
polyak,150,polyak,150,25720.725523555433,25720.861567649492
polyak,151,polyak,151,25727.976104070276,25727.976104070276
polyak,152,polyak,152,25722.984060645904,25727.976104070276
polyak,153,polyak,153,25728.98019682923,25728.98019682923
polyak,154,polyak,154,25724.018241632573,25728.98019682923
polyak,155,polyak,155,25728.474567328693,25728.98019682923
polyak,156,polyak,156,25724.380516451452,25728.98019682923
polyak,157,polyak,157,25729.197927149205,25729.197927149205
polyak,158,polyak,158,25723.295167203378,25729.197927149205
polyak,159,polyak,159,25728.756815828223,25729.197927149205
polyak,160,polyak,160,25724.366111300635,25729.197927149205
polyak,161,polyak,161,25728.70298735904,25729.197927149205
polyak,162,polyak,162,25724.526746818432,25729.197927149205
polyak,163,polyak,163,25728.637733600593,25729.197927149205
polyak,164,polyak,164,25724.590980986908,25729.197927149205
polyak,165,polyak,165,25728.574503091011,25729.197927149205
polyak,166,polyak,166,25724.653223519788,25729.197927149205
polyak,167,polyak,167,25728.513233097703,25729.197927149205
polyak,168,polyak,168,25724.713536169438,25729.197927149205
polyak,169,polyak,169,25728.453862833208,25729.197927149205
polyak,170,polyak,170,25724.771978773559,25729.197927149205
polyak,171,polyak,171,25729.591835622701,25729.591835622701
polyak,172,polyak,172,25729.146904424219,25729.591835622701
polyak,173,polyak,173,25729.85644041446,25729.85644041446
polyak,174,polyak,174,25729.264125130067,25729.85644041446
polyak,175,polyak,175,25729.797721607174,25729.85644041446
polyak,176,polyak,176,25729.067902544961,25729.85644041446
polyak,177,polyak,177,25730.580989545753,25730.580989545753
polyak,178,polyak,178,25728.329281629009,25730.580989545753
polyak,179,polyak,179,25730.569518450011,25730.580989545753
polyak,180,polyak,180,25728.700317330669,25730.580989545753
polyak,181,polyak,181,25729.993226139759,25730.580989545753
polyak,182,polyak,182,25729.094006262665,25730.580989545753
polyak,183,polyak,183,25730.023915661262,25730.580989545753
polyak,184,polyak,184,25729.101271179832,25730.580989545753
polyak,185,polyak,185,25730.016707501258,25730.580989545753
polyak,186,polyak,186,25729.108423026104,25730.580989545753
polyak,187,polyak,187,25730.009611528789,25730.580989545753
polyak,188,polyak,188,25729.115463561277,25730.580989545753
polyak,189,polyak,189,25730.002625997793,25730.580989545753
polyak,190,polyak,190,25729.122394517806,25730.580989545753
polyak,191,polyak,191,25731.234898261759,25731.234898261759
polyak,192,polyak,192,25730.685288372766,25731.234898261759
polyak,193,polyak,193,25731.365546337722,25731.365546337722
polyak,194,polyak,194,25730.702287827658,25731.365546337722
polyak,195,polyak,195,25731.362955484165,25731.365546337722
polyak,196,polyak,196,25730.704868560693,25731.365546337722
polyak,197,polyak,197,25731.360384832125,25731.365546337722
polyak,198,polyak,198,25730.707429171125,25731.365546337722
polyak,199,polyak,199,25731.357834224076,25731.365546337722
polyak,200,polyak,200,25730.70996981586,25731.365546337722
polyak,201,polyak,201,25731.355303503726,25731.365546337722
polyak,202,polyak,202,25730.712490650581,25731.365546337722
polyak,203,polyak,203,25731.35279251602,25731.365546337722
polyak,204,polyak,204,25730.71499182974,25731.365546337722
polyak,205,polyak,205,25731.35030110709,25731.365546337722
polyak,206,polyak,206,25730.717473506607,25731.365546337722
polyak,207,polyak,207,25731.888696021157,25731.888696021157
polyak,208,polyak,208,25731.646242838266,25731.888696021157
polyak,209,polyak,209,25731.888222479782,25731.888696021157
polyak,210,polyak,210,25731.64671545475,25731.888696021157
polyak,211,polyak,211,25731.887750786369,25731.888696021157
polyak,212,polyak,212,25731.647186226877,25731.888696021157
polyak,213,polyak,213,25731.887280933726,25731.888696021157
polyak,214,polyak,214,25731.647655161851,25731.888696021157
polyak,215,polyak,215,25731.886812914639,25731.888696021157
polyak,216,polyak,216,25731.648122266841,25731.888696021157
polyak,217,polyak,217,25731.886346721971,25731.888696021157
polyak,218,polyak,218,25731.648587548974,25731.888696021157
polyak,219,polyak,219,25731.885882348575,25731.888696021157
polyak,220,polyak,220,25731.649051015385,25731.888696021157
polyak,221,polyak,221,25732.060192917339,25732.060192917339
polyak,222,polyak,222,25732.168297208606,25732.168297208606
polyak,223,polyak,223,25732.099445269141,25732.168297208606
polyak,224,polyak,224,25732.168229970364,25732.168297208606
polyak,225,polyak,225,25732.099512441706,25732.168297208606
polyak,226,polyak,226,25732.168162863407,25732.168297208606
polyak,227,polyak,227,25732.099579483132,25732.168297208606
polyak,228,polyak,228,25732.168095887457,25732.168297208606
polyak,229,polyak,229,25732.099646393686,25732.168297208606
polyak,230,polyak,230,25732.168029042256,25732.168297208606
polyak,231,polyak,231,25732.099713173619,25732.168297208606
polyak,232,polyak,232,25732.167962327545,25732.168297208606
polyak,233,polyak,233,25732.099779823177,25732.168297208606
polyak,234,polyak,234,25732.167895743063,25732.168297208606
polyak,235,polyak,235,25732.099846342629,25732.168297208606
polyak,236,polyak,236,25732.328493713991,25732.328493713991
polyak,237,polyak,237,25732.25566749286,25732.328493713991
polyak,238,polyak,238,25732.333047462012,25732.333047462012
polyak,239,polyak,239,25732.250840887671,25732.333047462012
polyak,240,polyak,240,25732.356772121333,25732.356772121333
polyak,241,polyak,241,25732.266726640788,25732.356772121333
polyak,242,polyak,242,25732.351143424879,25732.356772121333
polyak,243,polyak,243,25732.271228471142,25732.356772121333
polyak,244,polyak,244,25732.350147750389,25732.356772121333
polyak,245,polyak,245,25732.275603105561,25732.356772121333
polyak,246,polyak,246,25732.344600113422,25732.356772121333
polyak,247,polyak,247,25732.283688514533,25732.356772121333
polyak,248,polyak,248,25732.350239067757,25732.356772121333
polyak,249,polyak,249,25732.283721009928,25732.356772121333
polyak,250,polyak,250,25732.350206588235,25732.356772121333
polyak,251,polyak,251,25732.283753473588,25732.356772121333
polyak,252,polyak,252,25732.350174140422,25732.356772121333
polyak,253,polyak,253,25732.283785905547,25732.356772121333
polyak,254,polyak,254,25732.415503255965,25732.415503255965
polyak,255,polyak,255,25732.397139095585,25732.415503255965
polyak,256,polyak,256,25732.416935621757,25732.416935621757
polyak,257,polyak,257,25732.400060700413,25732.416935621757
polyak,258,polyak,258,25732.416931501913,25732.416935621757
polyak,259,polyak,259,25732.400064819256,25732.416935621757
polyak,260,polyak,260,25732.416927384063,25732.416935621757
polyak,261,polyak,261,25732.400068936098,25732.416935621757
polyak,262,polyak,262,25732.416923268229,25732.416935621757
polyak,263,polyak,263,25732.400073050921,25732.416935621757
polyak,264,polyak,264,25732.416919154406,25732.416935621757
polyak,265,polyak,265,25732.400077163744,25732.416935621757
polyak,266,polyak,266,25732.416915042606,25732.416935621757
polyak,267,polyak,267,25732.400081274551,25732.416935621757
polyak,268,polyak,268,25732.416910932792,25732.416935621757
polyak,269,polyak,269,25732.400085383357,25732.416935621757
polyak,270,polyak,270,25732.450494874021,25732.450494874021
polyak,271,polyak,271,25732.446528593475,25732.450494874021
polyak,272,polyak,272,25732.454025303781,25732.454025303781
polyak,273,polyak,273,25732.449453155128,25732.454025303781
polyak,274,polyak,274,25732.455248127229,25732.455248127229
polyak,275,polyak,275,25732.453226746245,25732.455248127229
polyak,276,polyak,276,25732.45527584491,25732.45527584491
