strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,18637,18637
helsgaun,2,helsgaun,2,18677,18677
helsgaun,3,helsgaun,3,18756.999999999996,18756.999999999996
helsgaun,4,helsgaun,4,18889.599999999999,18889.599999999999
helsgaun,5,helsgaun,5,19126.400000000005,19126.400000000005
helsgaun,6,helsgaun,6,19334.800000000003,19334.800000000003
helsgaun,7,helsgaun,7,19579.400000000001,19579.400000000001
helsgaun,8,helsgaun,8,19528.999999999996,19579.400000000001
helsgaun,9,helsgaun,9,19661.400000000001,19661.400000000001
helsgaun,10,helsgaun,10,19601.000000000004,19661.400000000001
helsgaun,11,helsgaun,11,19520.600000000002,19661.400000000001
helsgaun,12,helsgaun,12,19722.000000000004,19722.000000000004
helsgaun,13,helsgaun,13,19685.599999999999,19722.000000000004
helsgaun,14,helsgaun,14,19366.400000000005,19722.000000000004
helsgaun,15,helsgaun,15,19690,19722.000000000004
helsgaun,16,helsgaun,16,19423.800000000007,19722.000000000004
helsgaun,17,helsgaun,17,19797.400000000001,19797.400000000001
helsgaun,18,helsgaun,18,19405.800000000003,19797.400000000001
helsgaun,19,helsgaun,19,19753.000000000004,19797.400000000001
helsgaun,20,helsgaun,20,19765,19797.400000000001
helsgaun,21,helsgaun,21,19627,19797.400000000001
helsgaun,22,helsgaun,22,19654.000000000007,19797.400000000001
helsgaun,23,helsgaun,23,19781.200000000008,19797.400000000001
helsgaun,24,helsgaun,24,19376.000000000004,19797.400000000001
helsgaun,25,helsgaun,25,19588.000000000004,19797.400000000001
helsgaun,26,helsgaun,26,19554.000000000004,19797.400000000001
helsgaun,27,helsgaun,27,19864.000000000007,19864.000000000007
helsgaun,28,helsgaun,28,19507.200000000001,19864.000000000007
helsgaun,29,helsgaun,29,19397.000000000004,19864.000000000007
helsgaun,30,helsgaun,30,19682.599999999999,19864.000000000007
helsgaun,31,helsgaun,31,19563.000000000004,19864.000000000007
helsgaun,32,helsgaun,32,19647.200000000001,19864.000000000007
helsgaun,33,helsgaun,33,19412.800000000007,19864.000000000007
