strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,18991,18991
hybrid,2,polyak,2,16619.142857142859,18991
hybrid,3,polyak,3,18305.249128919862,18991
hybrid,4,polyak,4,18142.446663093011,18991
hybrid,5,polyak,5,18036.127255874213,18991
hybrid,6,polyak,6,18033.621676341954,18991
hybrid,7,polyak,7,18645.680775346133,18991
hybrid,8,polyak,8,18732.006687955025,18991
hybrid,9,polyak,9,18574.281613932391,18991
hybrid,10,polyak,10,18508.056611019445,18991
hybrid,11,polyak,11,18280.772206838785,18991
hybrid,12,polyak,12,19209.90033199593,19209.90033199593
hybrid,13,polyak,13,18399.720381872485,19209.90033199593
hybrid,14,polyak,14,18701.209684071644,19209.90033199593
hybrid,15,polyak,15,18918.861881007251,19209.90033199593
hybrid,16,polyak,16,18926.227956910636,19209.90033199593
hybrid,17,polyak,17,18697.907372144113,19209.90033199593
hybrid,18,polyak,18,19073.404638522636,19209.90033199593
hybrid,19,polyak,19,18897.673300926719,19209.90033199593
hybrid,20,polyak,20,19016.037076447185,19209.90033199593
hybrid,21,polyak,21,18291.589775133099,19209.90033199593
hybrid,22,polyak,22,19181.141115208033,19209.90033199593
hybrid,23,polyak,23,17944.33929274281,19209.90033199593
hybrid,24,polyak,24,18726.800142178108,19209.90033199593
hybrid,25,polyak,25,18883.710767153505,19209.90033199593
hybrid,26,polyak,26,19954.87703170731,19954.87703170731
hybrid,27,polyak,27,20162.086204850628,20162.086204850628
hybrid,28,polyak,28,20333.597510324096,20333.597510324096
hybrid,29,polyak,29,20521.25317845045,20521.25317845045
hybrid,30,polyak,30,20713.498686874143,20713.498686874143
hybrid,31,polyak,31,20611.731000945831,20713.498686874143
hybrid,32,polyak,32,20678.961777993558,20713.498686874143
hybrid,33,polyak,33,20632.026524021832,20713.498686874143
hybrid,34,polyak,34,20706.508215637317,20713.498686874143
hybrid,35,polyak,35,20736.73412330163,20736.73412330163
hybrid,36,polyak,36,20733.484843234881,20736.73412330163
hybrid,37,polyak,37,20617.867082279794,20736.73412330163
hybrid,38,polyak,38,20831.169329366392,20831.169329366392
hybrid,39,polyak,39,20739.95158526607,20831.169329366392
hybrid,40,polyak,40,20729.020557756121,20831.169329366392
hybrid,41,polyak,41,20638.793664307399,20831.169329366392
hybrid,42,polyak,42,20782.056168542662,20831.169329366392
hybrid,43,polyak,43,20583.789153999849,20831.169329366392
hybrid,44,polyak,44,20808.899426277938,20831.169329366392
hybrid,45,polyak,45,20656.852156703426,20831.169329366392
hybrid,46,polyak,46,20782.260127525504,20831.169329366392
hybrid,47,polyak,47,20669.158909918751,20831.169329366392
hybrid,48,polyak,48,20678.063195719558,20831.169329366392
hybrid,49,polyak,49,20829.35676814078,20831.169329366392
hybrid,50,polyak,50,20635.906712949269,20831.169329366392
hybrid,51,polyak,51,20727.271634064073,20831.169329366392
hybrid,52,polyak,52,20968.520067908776,20968.520067908776
hybrid,53,polyak,53,20931.306438023777,20968.520067908776
hybrid,54,polyak,54,21031.486908079598,21031.486908079598
hybrid,55,polyak,55,20960.656048963418,21031.486908079598
hybrid,56,polyak,56,21027.645941919691,21031.486908079598
hybrid,57,polyak,57,20922.969487966759,21031.486908079598
hybrid,58,polyak,58,21012.519428644158,21031.486908079598
hybrid,59,polyak,59,21008.670211707238,21031.486908079598
hybrid,60,polyak,60,20963.440041304581,21031.486908079598
hybrid,61,polyak,61,20923.723164474541,21031.486908079598
hybrid,62,polyak,62,20959.412659178481,21031.486908079598
hybrid,63,polyak,63,20986.235081686245,21031.486908079598
hybrid,64,polyak,64,20956.97495522254,21031.486908079598
hybrid,65,polyak,65,20997.041887416322,21031.486908079598
hybrid,66,polyak,66,21008.126102163093,21031.486908079598
hybrid,67,polyak,67,20929.636776413699,21031.486908079598
hybrid,68,polyak,68,21057.141738110298,21057.141738110298
hybrid,69,polyak,69,21048.268188116166,21057.141738110298
