strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,18991,18991
polyak,2,polyak,2,16619.142857142859,18991
polyak,3,polyak,3,18305.249128919862,18991
polyak,4,polyak,4,18142.446663093011,18991
polyak,5,polyak,5,18036.127255874213,18991
polyak,6,polyak,6,18033.621676341954,18991
polyak,7,polyak,7,18645.680775346133,18991
polyak,8,polyak,8,18732.006687955025,18991
polyak,9,polyak,9,18574.281613932391,18991
polyak,10,polyak,10,18508.056611019445,18991
polyak,11,polyak,11,18280.772206838785,18991
polyak,12,polyak,12,19209.90033199593,19209.90033199593
polyak,13,polyak,13,18399.720381872485,19209.90033199593
polyak,14,polyak,14,18701.209684071644,19209.90033199593
polyak,15,polyak,15,18918.861881007251,19209.90033199593
polyak,16,polyak,16,18926.227956910636,19209.90033199593
polyak,17,polyak,17,18697.907372144113,19209.90033199593
polyak,18,polyak,18,19073.404638522636,19209.90033199593
polyak,19,polyak,19,18897.673300926719,19209.90033199593
polyak,20,polyak,20,19016.037076447185,19209.90033199593
polyak,21,polyak,21,18291.589775133099,19209.90033199593
polyak,22,polyak,22,19181.141115208033,19209.90033199593
polyak,23,polyak,23,17944.33929274281,19209.90033199593
polyak,24,polyak,24,18726.800142178108,19209.90033199593
polyak,25,polyak,25,18883.710767153505,19209.90033199593
polyak,26,polyak,26,19954.87703170731,19954.87703170731
polyak,27,polyak,27,20162.086204850628,20162.086204850628
polyak,28,polyak,28,20333.597510324096,20333.597510324096
polyak,29,polyak,29,20521.25317845045,20521.25317845045
polyak,30,polyak,30,20713.498686874143,20713.498686874143
polyak,31,polyak,31,20611.731000945831,20713.498686874143
polyak,32,polyak,32,20678.961777993558,20713.498686874143
polyak,33,polyak,33,20632.026524021832,20713.498686874143
polyak,34,polyak,34,20706.508215637317,20713.498686874143
polyak,35,polyak,35,20736.73412330163,20736.73412330163
polyak,36,polyak,36,20733.484843234881,20736.73412330163
polyak,37,polyak,37,20617.867082279794,20736.73412330163
polyak,38,polyak,38,20831.169329366392,20831.169329366392
polyak,39,polyak,39,20739.95158526607,20831.169329366392
polyak,40,polyak,40,20729.020557756121,20831.169329366392
polyak,41,polyak,41,20638.793664307399,20831.169329366392
polyak,42,polyak,42,20782.056168542662,20831.169329366392
polyak,43,polyak,43,20583.789153999849,20831.169329366392
polyak,44,polyak,44,20808.899426277938,20831.169329366392
polyak,45,polyak,45,20656.852156703426,20831.169329366392
polyak,46,polyak,46,20782.260127525504,20831.169329366392
polyak,47,polyak,47,20669.158909918751,20831.169329366392
polyak,48,polyak,48,20678.063195719558,20831.169329366392
polyak,49,polyak,49,20829.35676814078,20831.169329366392
polyak,50,polyak,50,20635.906712949269,20831.169329366392
polyak,51,polyak,51,20727.271634064073,20831.169329366392
polyak,52,polyak,52,20968.520067908776,20968.520067908776
polyak,53,polyak,53,20931.306438023777,20968.520067908776
polyak,54,polyak,54,21031.486908079598,21031.486908079598
polyak,55,polyak,55,20960.656048963418,21031.486908079598
polyak,56,polyak,56,21027.645941919691,21031.486908079598
polyak,57,polyak,57,20922.969487966759,21031.486908079598
polyak,58,polyak,58,21012.519428644158,21031.486908079598
polyak,59,polyak,59,21008.670211707238,21031.486908079598
polyak,60,polyak,60,20963.440041304581,21031.486908079598
polyak,61,polyak,61,20923.723164474541,21031.486908079598
polyak,62,polyak,62,20959.412659178481,21031.486908079598
polyak,63,polyak,63,20986.235081686245,21031.486908079598
polyak,64,polyak,64,20956.97495522254,21031.486908079598
polyak,65,polyak,65,20997.041887416322,21031.486908079598
polyak,66,polyak,66,21008.126102163093,21031.486908079598
polyak,67,polyak,67,20929.636776413699,21031.486908079598
polyak,68,polyak,68,21057.141738110298,21057.141738110298
polyak,69,polyak,69,21048.268188116166,21057.141738110298
polyak,70,polyak,70,21086.667941712352,21086.667941712352
polyak,71,polyak,71,21074.730145730409,21086.667941712352
polyak,72,polyak,72,21050.74031291746,21086.667941712352
polyak,73,polyak,73,21073.724480857571,21086.667941712352
polyak,74,polyak,74,21000.412518211142,21086.667941712352
polyak,75,polyak,75,21082.658171599152,21086.667941712352
polyak,76,polyak,76,21023.362419832418,21086.667941712352
polyak,77,polyak,77,21098.493406674479,21098.493406674479
polyak,78,polyak,78,20955.981021533113,21098.493406674479
polyak,79,polyak,79,21061.852444397016,21098.493406674479
polyak,80,polyak,80,21085.865009721903,21098.493406674479
polyak,81,polyak,81,21032.45313927313,21098.493406674479
polyak,82,polyak,82,21074.732189790739,21098.493406674479
polyak,83,polyak,83,21051.234244258187,21098.493406674479
polyak,84,polyak,84,21068.305026795402,21098.493406674479
polyak,85,polyak,85,21058.040842649327,21098.493406674479
polyak,86,polyak,86,21065.571066049433,21098.493406674479
polyak,87,polyak,87,21050.209244364734,21098.493406674479
polyak,88,polyak,88,21068.00757472586,21098.493406674479
polyak,89,polyak,89,21031.274798024398,21098.493406674479
polyak,90,polyak,90,21066.674628477653,21098.493406674479
polyak,91,polyak,91,21089.966013614616,21098.493406674479
polyak,92,polyak,92,21103.494657430987,21103.494657430987
polyak,93,polyak,93,21071.027726847504,21103.494657430987
polyak,94,polyak,94,21112.007967486283,21112.007967486283
polyak,95,polyak,95,21098.477282691441,21112.007967486283
polyak,96,polyak,96,21096.880267424513,21112.007967486283
polyak,97,polyak,97,21111.509795787704,21112.007967486283
polyak,98,polyak,98,21094.178200773582,21112.007967486283
polyak,99,polyak,99,21105.845798250113,21112.007967486283
polyak,100,polyak,100,21105.517924888067,21112.007967486283
polyak,101,polyak,101,21088.29043239732,21112.007967486283
polyak,102,polyak,102,21111.0992254095,21112.007967486283
polyak,103,polyak,103,21072.486999598117,21112.007967486283
polyak,104,polyak,104,21113.751290432094,21113.751290432094
polyak,105,polyak,105,21092.479339286685,21113.751290432094
polyak,106,polyak,106,21085.826829988455,21113.751290432094
polyak,107,polyak,107,21125.536230324673,21125.536230324673
polyak,108,polyak,108,21072.052086325817,21125.536230324673
polyak,109,polyak,109,21113.013303417334,21125.536230324673
polyak,110,polyak,110,21100.104551176071,21125.536230324673
polyak,111,polyak,111,21093.94655207064,21125.536230324673
polyak,112,polyak,112,21090.616327691892,21125.536230324673
polyak,113,polyak,113,21111.59263604931,21125.536230324673
polyak,114,polyak,114,21077.91295618844,21125.536230324673
polyak,115,polyak,115,21121.533022982196,21125.536230324673
polyak,116,polyak,116,21056.609227274854,21125.536230324673
polyak,117,polyak,117,21105.235399736681,21125.536230324673
polyak,118,polyak,118,21088.603997616578,21125.536230324673
polyak,119,polyak,119,21103.597446208223,21125.536230324673
polyak,120,polyak,120,21099.233131523844,21125.536230324673
polyak,121,polyak,121,21126.571475342658,21126.571475342658
polyak,122,polyak,122,21106.066212665995,21126.571475342658
polyak,123,polyak,123,21127.00146631672,21127.00146631672
polyak,124,polyak,124,21102.255516242636,21127.00146631672
polyak,125,polyak,125,21134.762515147562,21134.762515147562
polyak,126,polyak,126,21102.732797282177,21134.762515147562
polyak,127,polyak,127,21122.433339098803,21134.762515147562
polyak,128,polyak,128,21115.656249717078,21134.762515147562
polyak,129,polyak,129,21127.481528451317,21134.762515147562
polyak,130,polyak,130,21119.047499153388,21134.762515147562
polyak,131,polyak,131,21117.146716307372,21134.762515147562
polyak,132,polyak,132,21122.462018054066,21134.762515147562
polyak,133,polyak,133,21123.596952677839,21134.762515147562
polyak,134,polyak,134,21113.898355924026,21134.762515147562
polyak,135,polyak,135,21123.070934447274,21134.762515147562
polyak,136,polyak,136,21115.844762166627,21134.762515147562
polyak,137,polyak,137,21128.22326138445,21134.762515147562
polyak,138,polyak,138,21110.541314893155,21134.762515147562
polyak,139,polyak,139,21126.81446109026,21134.762515147562
polyak,140,polyak,140,21134.018538796667,21134.762515147562
polyak,141,polyak,141,21131.513172838262,21134.762515147562
polyak,142,polyak,142,21128.634717617657,21134.762515147562
polyak,143,polyak,143,21133.041367307902,21134.762515147562
polyak,144,polyak,144,21128.772425420473,21134.762515147562
polyak,145,polyak,145,21132.90796287392,21134.762515147562
polyak,146,polyak,146,21128.884250524174,21134.762515147562
polyak,147,polyak,147,21132.782221862995,21134.762515147562
polyak,148,polyak,148,21129.023472570225,21134.762515147562
polyak,149,polyak,149,21132.664760947591,21134.762515147562
polyak,150,polyak,150,21129.137262832024,21134.762515147562
polyak,151,polyak,151,21138.231639767779,21138.231639767779
polyak,152,polyak,152,21134.18471816403,21138.231639767779
polyak,153,polyak,153,21137.747634575775,21138.231639767779
polyak,154,polyak,154,21134.465198205769,21138.231639767779
polyak,155,polyak,155,21137.745166032793,21138.231639767779
polyak,156,polyak,156,21133.994739209335,21138.231639767779
polyak,157,polyak,157,21138.29386524867,21138.29386524867
polyak,158,polyak,158,21133.085471660768,21138.29386524867
polyak,159,polyak,159,21138.270455236558,21138.29386524867
polyak,160,polyak,160,21135.501824598108,21138.29386524867
polyak,161,polyak,161,21135.791448375072,21138.29386524867
polyak,162,polyak,162,21136.325246601125,21138.29386524867
polyak,163,polyak,163,21134.878067999438,21138.29386524867
polyak,164,polyak,164,21137.984320908272,21138.29386524867
polyak,165,polyak,165,21134.141116675422,21138.29386524867
polyak,166,polyak,166,21139.345107230674,21139.345107230674
polyak,167,polyak,167,21131.444629280621,21139.345107230674
polyak,168,polyak,168,21137.970550670059,21139.345107230674
polyak,169,polyak,169,21135.627256733107,21139.345107230674
polyak,170,polyak,170,21135.94766674014,21139.345107230674
polyak,171,polyak,171,21135.967225678334,21139.345107230674
polyak,172,polyak,172,21136.478790243847,21139.345107230674
polyak,173,polyak,173,21136.957009531961,21139.345107230674
polyak,174,polyak,174,21134.876330221738,21139.345107230674
polyak,175,polyak,175,21136.979259695217,21139.345107230674
polyak,176,polyak,176,21134.758381969867,21139.345107230674
polyak,177,polyak,177,21137.74977226738,21139.345107230674
polyak,178,polyak,178,21134.269109435339,21139.345107230674
polyak,179,polyak,179,21137.538775366636,21139.345107230674
polyak,180,polyak,180,21139.044422432842,21139.345107230674
polyak,181,polyak,181,21138.226794495866,21139.345107230674
polyak,182,polyak,182,21138.735048464237,21139.345107230674
polyak,183,polyak,183,21139.379480882533,21139.379480882533
polyak,184,polyak,184,21138.225860709226,21139.379480882533
polyak,185,polyak,185,21139.227710433279,21139.379480882533
polyak,186,polyak,186,21139.21772909999,21139.379480882533
polyak,187,polyak,187,21138.277669612384,21139.379480882533
polyak,188,polyak,188,21139.421854044336,21139.421854044336
polyak,189,polyak,189,21138.745274222321,21139.421854044336
polyak,190,polyak,190,21138.79860677274,21139.421854044336
polyak,191,polyak,191,21138.949819842674,21139.421854044336
polyak,192,polyak,192,21138.799788124852,21139.421854044336
polyak,193,polyak,193,21138.948647719884,21139.421854044336
polyak,194,polyak,194,21138.800951090434,21139.421854044336
polyak,195,polyak,195,21138.947493839962,21139.421854044336
polyak,196,polyak,196,21138.802095955663,21139.421854044336
polyak,197,polyak,197,21138.946357918991,21139.421854044336
polyak,198,polyak,198,21138.803223002251,21139.421854044336
polyak,199,polyak,199,21138.945239677454,21139.421854044336
polyak,200,polyak,200,21138.804332507523,21139.421854044336
polyak,201,polyak,201,21138.944138840194,21139.421854044336
polyak,202,polyak,202,21140.527239232313,21140.527239232313
polyak,203,polyak,203,21139.679462638993,21140.527239232313
polyak,204,polyak,204,21140.687234716621,21140.687234716621
polyak,205,polyak,205,21139.602236789302,21140.687234716621
polyak,206,polyak,206,21140.750756871435,21140.750756871435
polyak,207,polyak,207,21139.504647317917,21140.750756871435
polyak,208,polyak,208,21140.877917673017,21140.877917673017
polyak,209,polyak,209,21139.367865438609,21140.877917673017
polyak,210,polyak,210,21140.721575107102,21140.877917673017
polyak,211,polyak,211,21139.622857327577,21140.877917673017
polyak,212,polyak,212,21140.713635311222,21140.877917673017
polyak,213,polyak,213,21139.21642908216,21140.877917673017
polyak,214,polyak,214,21140.673819540327,21140.877917673017
polyak,215,polyak,215,21140.0488776942,21140.877917673017
polyak,216,polyak,216,21140.13828910048,21140.877917673017
polyak,217,polyak,217,21140.053406392264,21140.877917673017
polyak,218,polyak,218,21140.416747370156,21140.877917673017
polyak,219,polyak,219,21139.834112536231,21140.877917673017
polyak,220,polyak,220,21140.510533622481,21140.877917673017
polyak,221,polyak,221,21140.215747310427,21140.877917673017
polyak,222,polyak,222,21140.86412728703,21140.877917673017
polyak,223,polyak,223,21140.664799687514,21140.877917673017
polyak,224,polyak,224,21140.994662819121,21140.994662819121
polyak,225,polyak,225,21140.597161644546,21140.994662819121
polyak,226,polyak,226,21141.151979007962,21141.151979007962
polyak,227,polyak,227,21140.489543584732,21141.151979007962
polyak,228,polyak,228,21141.18192672544,21141.18192672544
polyak,229,polyak,229,21140.647096005388,21141.18192672544
polyak,230,polyak,230,21140.975448497822,21141.18192672544
polyak,231,polyak,231,21140.709512815069,21141.18192672544
polyak,232,polyak,232,21140.918634388137,21141.18192672544
polyak,233,polyak,233,21140.866219263393,21141.18192672544
polyak,234,polyak,234,21140.800377444662,21141.18192672544
polyak,235,polyak,235,21140.853346872493,21141.18192672544
polyak,236,polyak,236,21141.080955225261,21141.18192672544
polyak,237,polyak,237,21140.49827042421,21141.18192672544
polyak,238,polyak,238,21141.141945092586,21141.18192672544
polyak,239,polyak,239,21140.717580353554,21141.18192672544
polyak,240,polyak,240,21140.904754731277,21141.18192672544
polyak,241,polyak,241,21140.687143097512,21141.18192672544
polyak,242,polyak,242,21141.241298798624,21141.241298798624
polyak,243,polyak,243,21141.030438859896,21141.241298798624
polyak,244,polyak,244,21141.305014823745,21141.305014823745
polyak,245,polyak,245,21141.01272218482,21141.305014823745
polyak,246,polyak,246,21141.246458213172,21141.305014823745
polyak,247,polyak,247,21141.165055738409,21141.305014823745
polyak,248,polyak,248,21141.131823652664,21141.305014823745
polyak,249,polyak,249,21141.193057304332,21141.305014823745
polyak,250,polyak,250,21141.239178954398,21141.305014823745
polyak,251,polyak,251,21141.092573634214,21141.305014823745
polyak,252,polyak,252,21141.253219894734,21141.305014823745
polyak,253,polyak,253,21141.092730515331,21141.305014823745
polyak,254,polyak,254,21141.253063166823,21141.305014823745
polyak,255,polyak,255,21141.092887090181,21141.305014823745
polyak,256,polyak,256,21141.252906744874,21141.305014823745
polyak,257,polyak,257,21141.093043359382,21141.305014823745
polyak,258,polyak,258,21141.303270063232,21141.305014823745
polyak,259,polyak,259,21141.33348648018,21141.33348648018
polyak,260,polyak,260,21141.313282568706,21141.33348648018
polyak,261,polyak,261,21141.356993706242,21141.356993706242
polyak,262,polyak,262,21141.309575837335,21141.356993706242
polyak,263,polyak,263,21141.380202734927,21141.380202734927
polyak,264,polyak,264,21141.280571616542,21141.380202734927
polyak,265,polyak,265,21141.379525072578,21141.380202734927
polyak,266,polyak,266,21141.267825877498,21141.380202734927
polyak,267,polyak,267,21141.375642937262,21141.380202734927
polyak,268,polyak,268,21141.317631284928,21141.380202734927
polyak,269,polyak,269,21141.327357256498,21141.380202734927
polyak,270,polyak,270,21141.344885083519,21141.380202734927
polyak,271,polyak,271,21141.301655608415,21141.380202734927
polyak,272,polyak,272,21141.387832311579,21141.387832311579
polyak,273,polyak,273,21141.27762176788,21141.387832311579
polyak,274,polyak,274,21141.38169882723,21141.387832311579
polyak,275,polyak,275,21141.332980279076,21141.387832311579
polyak,276,polyak,276,21141.325641524829,21141.387832311579
polyak,277,polyak,277,21141.347369042331,21141.387832311579
polyak,278,polyak,278,21141.325652133964,21141.387832311579
polyak,279,polyak,279,21141.347358438376,21141.387832311579
polyak,280,polyak,280,21141.325662732746,21141.387832311579
polyak,281,polyak,281,21141.347347844763,21141.387832311579
polyak,282,polyak,282,21141.325673321182,21141.387832311579
polyak,283,polyak,283,21141.347337261508,21141.387832311579
polyak,284,polyak,284,21141.325683899275,21141.387832311579
polyak,285,polyak,285,21141.347326688574,21141.387832311579
polyak,286,polyak,286,21141.451417911303,21141.451417911303
polyak,287,polyak,287,21141.364074099787,21141.451417911303
polyak,288,polyak,288,21141.457468717472,21141.457468717472
polyak,289,polyak,289,21141.372759145292,21141.457468717472
polyak,290,polyak,290,21141.433125532712,21141.457468717472
polyak,291,polyak,291,21141.388274036111,21141.457468717472
polyak,292,polyak,292,21141.429256303545,21141.457468717472
polyak,293,polyak,293,21141.425373287057,21141.457468717472
polyak,294,polyak,294,21141.407077293366,21141.457468717472
polyak,295,polyak,295,21141.415427913289,21141.457468717472
polyak,296,polyak,296,21141.434324798072,21141.457468717472
polyak,297,polyak,297,21141.40220701951,21141.457468717472
polyak,298,polyak,298,21141.434316956824,21141.457468717472
polyak,299,polyak,299,21141.402214858852,21141.457468717472
polyak,300,polyak,300,21141.434309119395,21141.457468717472
polyak,301,polyak,301,21141.40222269436,21141.457468717472
polyak,302,polyak,302,21141.457413710526,21141.457468717472
polyak,303,polyak,303,21141.451858394608,21141.457468717472
polyak,304,polyak,304,21141.469753440517,21141.469753440517
polyak,305,polyak,305,21141.444110952398,21141.469753440517
polyak,306,polyak,306,21141.466398057564,21141.469753440517
polyak,307,polyak,307,21141.462763860098,21141.469753440517
polyak,308,polyak,308,21141.451815580935,21141.469753440517
polyak,309,polyak,309,21141.463733564902,21141.469753440517
polyak,310,polyak,310,21141.450052677556,21141.469753440517
polyak,311,polyak,311,21141.470168122607,21141.470168122607
polyak,312,polyak,312,21141.444163708507,21141.470168122607
polyak,313,polyak,313,21141.47044592573,21141.47044592573
polyak,314,polyak,314,21141.443118450123,21141.47044592573
polyak,315,polyak,315,21141.466698263903,21141.47044592573
polyak,316,polyak,316,21141.44923850098,21141.47044592573
polyak,317,polyak,317,21141.471768285195,21141.471768285195
polyak,318,polyak,318,21141.436390664097,21141.471768285195
polyak,319,polyak,319,21141.469387736986,21141.471768285195
polyak,320,polyak,320,21141.454031987858,21141.471768285195
polyak,321,polyak,321,21141.464236326596,21141.471768285195
polyak,322,polyak,322,21141.454033233502,21141.471768285195
polyak,323,polyak,323,21141.464235081105,21141.471768285195
polyak,324,polyak,324,21141.454034478851,21141.471768285195
polyak,325,polyak,325,21141.464233835915,21141.471768285195
polyak,326,polyak,326,21141.454035723888,21141.471768285195
polyak,327,polyak,327,21141.464232591024,21141.471768285195
polyak,328,polyak,328,21141.454036968622,21141.471768285195
polyak,329,polyak,329,21141.464231346443,21141.471768285195
polyak,330,polyak,330,21141.454038213054,21141.471768285195
polyak,331,polyak,331,21141.488774391793,21141.488774391793
polyak,332,polyak,332,21141.468715009614,21141.488774391793
polyak,333,polyak,333,21141.485628481056,21141.488774391793
polyak,334,polyak,334,21141.475952592758,21141.488774391793
polyak,335,polyak,335,21141.480269516484,21141.488774391793
polyak,336,polyak,336,21141.478332817289,21141.488774391793
polyak,337,polyak,337,21141.484444071993,21141.488774391793
polyak,338,polyak,338,21141.467696653352,21141.488774391793
polyak,339,polyak,339,21141.484434376511,21141.488774391793
polyak,340,polyak,340,21141.476741106871,21141.488774391793
polyak,341,polyak,341,21141.481135161208,21141.488774391793
polyak,342,polyak,342,21141.475813220994,21141.488774391793
polyak,343,polyak,343,21141.486970721795,21141.488774391793
polyak,344,polyak,344,21141.471879051445,21141.488774391793
polyak,345,polyak,345,21141.486952296498,21141.488774391793
polyak,346,polyak,346,21141.493659311898,21141.493659311898
polyak,347,polyak,347,21141.484160780936,21141.493659311898
polyak,348,polyak,348,21141.493772179016,21141.493772179016
polyak,349,polyak,349,21141.485352767388,21141.493772179016
polyak,350,polyak,350,21141.495784852319,21141.495784852319
polyak,351,polyak,351,21141.482467310871,21141.495784852319
polyak,352,polyak,352,21141.491608358578,21141.495784852319
polyak,353,polyak,353,21141.490243904522,21141.495784852319
polyak,354,polyak,354,21141.488024442693,21141.495784852319
polyak,355,polyak,355,21141.490408150363,21141.495784852319
polyak,356,polyak,356,21141.489907672181,21141.495784852319
polyak,357,polyak,357,21141.488625250284,21141.495784852319
polyak,358,polyak,358,21141.493817848637,21141.495784852319
polyak,359,polyak,359,21141.484183302106,21141.495784852319
polyak,360,polyak,360,21141.49231537732,21141.495784852319
polyak,361,polyak,361,21141.489386089466,21141.495784852319
polyak,362,polyak,362,21141.489287616005,21141.495784852319
polyak,363,polyak,363,21141.489041770736,21141.495784852319
polyak,364,polyak,364,21141.496750011356,21141.496750011356
polyak,365,polyak,365,21141.491663615747,21141.496750011356
polyak,366,polyak,366,21141.497700646847,21141.497700646847
polyak,367,polyak,367,21141.492055165625,21141.497700646847
polyak,368,polyak,368,21141.496923970637,21141.497700646847
polyak,369,polyak,369,21141.491788232437,21141.497700646847
polyak,370,polyak,370,21141.495250696738,21141.497700646847
