strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,13205,13205
helsgaun,2,helsgaun,2,13231,13231
helsgaun,3,helsgaun,3,13281.600000000002,13281.600000000002
helsgaun,4,helsgaun,4,13350.800000000005,13350.800000000005
helsgaun,5,helsgaun,5,13447.400000000001,13447.400000000001
helsgaun,6,helsgaun,6,13504.400000000001,13504.400000000001
helsgaun,7,helsgaun,7,13453.800000000001,13504.400000000001
helsgaun,8,helsgaun,8,13479.999999999996,13504.400000000001
helsgaun,9,helsgaun,9,13407.000000000002,13504.400000000001
helsgaun,10,helsgaun,10,13563.799999999997,13563.799999999997
helsgaun,11,helsgaun,11,13682.599999999999,13682.599999999999
helsgaun,12,helsgaun,12,13663.000000000002,13682.599999999999
helsgaun,13,helsgaun,13,13703.400000000001,13703.400000000001
helsgaun,14,helsgaun,14,13664.400000000003,13703.400000000001
helsgaun,15,helsgaun,15,13580.6,13703.400000000001
helsgaun,16,helsgaun,16,13553.800000000001,13703.400000000001
helsgaun,17,helsgaun,17,13521.399999999998,13703.400000000001
helsgaun,18,helsgaun,18,13751.800000000003,13751.800000000003
helsgaun,19,helsgaun,19,13478.800000000003,13751.800000000003
helsgaun,20,helsgaun,20,13591.399999999998,13751.800000000003
helsgaun,21,helsgaun,21,13669.800000000003,13751.800000000003
helsgaun,22,helsgaun,22,13730.000000000002,13751.800000000003
helsgaun,23,helsgaun,23,13845.200000000003,13845.200000000003
helsgaun,24,helsgaun,24,13574.600000000002,13845.200000000003
helsgaun,25,helsgaun,25,13728.799999999997,13845.200000000003
helsgaun,26,helsgaun,26,13575.000000000004,13845.200000000003
helsgaun,27,helsgaun,27,13816.199999999999,13845.200000000003
helsgaun,28,helsgaun,28,13772.400000000001,13845.200000000003
helsgaun,29,helsgaun,29,13701.199999999995,13845.200000000003
helsgaun,30,helsgaun,30,13840.800000000003,13845.200000000003
helsgaun,31,helsgaun,31,13809.199999999997,13845.200000000003
helsgaun,32,helsgaun,32,13732.600000000002,13845.200000000003
helsgaun,33,helsgaun,33,13897.200000000003,13897.200000000003
helsgaun,34,helsgaun,34,13824.000000000002,13897.200000000003
helsgaun,35,helsgaun,35,13853.199999999999,13897.200000000003
helsgaun,36,helsgaun,36,13749.200000000004,13897.200000000003
helsgaun,37,helsgaun,37,13875.599999999999,13897.200000000003
helsgaun,38,helsgaun,38,13857.399999999998,13897.200000000003
helsgaun,39,helsgaun,39,13866.4,13897.200000000003
helsgaun,40,helsgaun,40,13836.000000000004,13897.200000000003
helsgaun,41,helsgaun,41,13658.6,13897.200000000003
helsgaun,42,helsgaun,42,13895.000000000002,13897.200000000003
helsgaun,43,helsgaun,43,13874.999999999995,13897.200000000003
helsgaun,44,helsgaun,44,13961.999999999996,13961.999999999996
helsgaun,45,helsgaun,45,13906.600000000004,13961.999999999996
helsgaun,46,helsgaun,46,13895.6,13961.999999999996
helsgaun,47,helsgaun,47,13840.4,13961.999999999996
helsgaun,48,helsgaun,48,14026.800000000003,14026.800000000003
helsgaun,49,helsgaun,49,13970.800000000001,14026.800000000003
helsgaun,50,helsgaun,50,13819.000000000002,14026.800000000003
helsgaun,51,helsgaun,51,13823.600000000004,14026.800000000003
helsgaun,52,helsgaun,52,13837.800000000001,14026.800000000003
helsgaun,53,helsgaun,53,13885.800000000001,14026.800000000003
helsgaun,54,helsgaun,54,14157.200000000001,14157.200000000001
helsgaun,55,helsgaun,55,14196.399999999998,14196.399999999998
helsgaun,56,helsgaun,56,14279.799999999996,14279.799999999996
helsgaun,57,helsgaun,57,14254.600000000002,14279.799999999996
helsgaun,58,helsgaun,58,14273.6,14279.799999999996
helsgaun,59,helsgaun,59,14272.399999999996,14279.799999999996
helsgaun,60,helsgaun,60,14227.4,14279.799999999996
helsgaun,61,helsgaun,61,14261.200000000001,14279.799999999996
helsgaun,62,helsgaun,62,14264.799999999997,14279.799999999996
helsgaun,63,helsgaun,63,14242.600000000004,14279.799999999996
helsgaun,64,helsgaun,64,14272.799999999999,14279.799999999996
helsgaun,65,helsgaun,65,14256.800000000003,14279.799999999996
helsgaun,66,helsgaun,66,14248.599999999999,14279.799999999996
helsgaun,67,helsgaun,67,14229.000000000004,14279.799999999996
helsgaun,68,helsgaun,68,14244.200000000003,14279.799999999996
helsgaun,69,helsgaun,69,14294.599999999999,14294.599999999999
helsgaun,70,helsgaun,70,14254.400000000001,14294.599999999999
helsgaun,71,helsgaun,71,14212.4,14294.599999999999
helsgaun,72,helsgaun,72,14228.799999999997,14294.599999999999
helsgaun,73,helsgaun,73,14286.199999999999,14294.599999999999
helsgaun,74,helsgaun,74,14176.599999999999,14294.599999999999
helsgaun,75,helsgaun,75,14295.6,14295.6
helsgaun,76,helsgaun,76,14247.599999999999,14295.6
helsgaun,77,helsgaun,77,14267.199999999997,14295.6
helsgaun,78,helsgaun,78,14227.4,14295.6
helsgaun,79,helsgaun,79,14211.4,14295.6
helsgaun,80,helsgaun,80,14290.199999999997,14295.6
helsgaun,81,helsgaun,81,14310.399999999998,14310.399999999998
helsgaun,82,helsgaun,82,14342.599999999999,14342.599999999999
helsgaun,83,helsgaun,83,14313.6,14342.599999999999
helsgaun,84,helsgaun,84,14344.399999999998,14344.399999999998
helsgaun,85,helsgaun,85,14343.599999999999,14344.399999999998
helsgaun,86,helsgaun,86,14342.800000000003,14344.399999999998
helsgaun,87,helsgaun,87,14333.200000000001,14344.399999999998
helsgaun,88,helsgaun,88,14339,14344.399999999998
helsgaun,89,helsgaun,89,14322.6,14344.399999999998
helsgaun,90,helsgaun,90,14330.400000000001,14344.399999999998
helsgaun,91,helsgaun,91,14326.599999999997,14344.399999999998
helsgaun,92,helsgaun,92,14345.6,14345.6
helsgaun,93,helsgaun,93,14350.600000000002,14350.600000000002
helsgaun,94,helsgaun,94,14360.600000000002,14360.600000000002
helsgaun,95,helsgaun,95,14360.400000000003,14360.600000000002
helsgaun,96,helsgaun,96,14361.000000000002,14361.000000000002
helsgaun,97,helsgaun,97,14361.200000000003,14361.200000000003
helsgaun,98,helsgaun,98,14363.600000000002,14363.600000000002
helsgaun,99,helsgaun,99,14365.600000000002,14365.600000000002
helsgaun,100,helsgaun,100,14368.400000000003,14368.400000000003
helsgaun,101,helsgaun,101,14367.800000000003,14368.400000000003
helsgaun,102,helsgaun,102,14368.400000000003,14368.400000000003
helsgaun,103,helsgaun,103,14368.400000000003,14368.400000000003
helsgaun,104,helsgaun,104,14369.000000000004,14369.000000000004
helsgaun,105,helsgaun,105,14369.500000000004,14369.500000000004
helsgaun,106,helsgaun,106,14369.100000000006,14369.500000000004
helsgaun,107,helsgaun,107,14369.800000000007,14369.800000000007
