strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,89606,89606
helsgaun,2,helsgaun,2,89635,89635
helsgaun,3,helsgaun,3,89691.799999999959,89691.799999999959
helsgaun,4,helsgaun,4,89771.400000000038,89771.400000000038
helsgaun,5,helsgaun,5,89963.999999999971,89963.999999999971
helsgaun,6,helsgaun,6,90210.000000000029,90210.000000000029
helsgaun,7,helsgaun,7,90744.800000000003,90744.800000000003
helsgaun,8,helsgaun,8,90019.600000000006,90744.800000000003
helsgaun,9,helsgaun,9,90913.199999999997,90913.199999999997
helsgaun,10,helsgaun,10,91396.199999999953,91396.199999999953
helsgaun,11,helsgaun,11,92166.999999999985,92166.999999999985
helsgaun,12,helsgaun,12,92092.800000000017,92166.999999999985
helsgaun,13,helsgaun,13,92212.799999999974,92212.799999999974
helsgaun,14,helsgaun,14,92514.200000000026,92514.200000000026
helsgaun,15,helsgaun,15,92534.599999999977,92534.599999999977
helsgaun,16,helsgaun,16,92497.600000000006,92534.599999999977
helsgaun,17,helsgaun,17,92612.199999999983,92612.199999999983
helsgaun,18,helsgaun,18,92425.39999999998,92612.199999999983
helsgaun,19,helsgaun,19,92612.999999999985,92612.999999999985
helsgaun,20,helsgaun,20,92208.60000000002,92612.999999999985
helsgaun,21,helsgaun,21,92561.200000000012,92612.999999999985
helsgaun,22,helsgaun,22,92372.999999999985,92612.999999999985
helsgaun,23,helsgaun,23,92679.599999999991,92679.599999999991
helsgaun,24,helsgaun,24,92263.799999999988,92679.599999999991
helsgaun,25,helsgaun,25,92432.199999999997,92679.599999999991
helsgaun,26,helsgaun,26,92538.199999999968,92679.599999999991
helsgaun,27,helsgaun,27,92714.199999999997,92714.199999999997
helsgaun,28,helsgaun,28,92725.800000000017,92725.800000000017
helsgaun,29,helsgaun,29,92604.399999999965,92725.800000000017
helsgaun,30,helsgaun,30,92858.800000000003,92858.800000000003
helsgaun,31,helsgaun,31,92703.199999999997,92858.800000000003
helsgaun,32,helsgaun,32,92666,92858.800000000003
helsgaun,33,helsgaun,33,92748,92858.800000000003
helsgaun,34,helsgaun,34,92824.999999999985,92858.800000000003
helsgaun,35,helsgaun,35,92606.200000000012,92858.800000000003
helsgaun,36,helsgaun,36,92689.400000000023,92858.800000000003
helsgaun,37,helsgaun,37,92818.599999999991,92858.800000000003
helsgaun,38,helsgaun,38,92429.199999999953,92858.800000000003
helsgaun,39,helsgaun,39,92916.600000000006,92916.600000000006
helsgaun,40,helsgaun,40,92681.399999999994,92916.600000000006
helsgaun,41,helsgaun,41,92834.599999999962,92916.600000000006
helsgaun,42,helsgaun,42,92412.800000000017,92916.600000000006
helsgaun,43,helsgaun,43,92955.60000000002,92955.60000000002
helsgaun,44,helsgaun,44,92610.799999999959,92955.60000000002
helsgaun,45,helsgaun,45,92913.799999999974,92955.60000000002
helsgaun,46,helsgaun,46,92605.200000000012,92955.60000000002
helsgaun,47,helsgaun,47,93066.599999999991,93066.599999999991
helsgaun,48,helsgaun,48,92391.199999999997,93066.599999999991
helsgaun,49,helsgaun,49,92731.800000000017,93066.599999999991
helsgaun,50,helsgaun,50,92619.799999999988,93066.599999999991
helsgaun,51,helsgaun,51,92963.400000000023,93066.599999999991
helsgaun,52,helsgaun,52,92646.199999999983,93066.599999999991
helsgaun,53,helsgaun,53,92962.199999999997,93066.599999999991
helsgaun,54,helsgaun,54,92976.199999999983,93066.599999999991
helsgaun,55,helsgaun,55,92651.400000000009,93066.599999999991
helsgaun,56,helsgaun,56,92871.400000000009,93066.599999999991
helsgaun,57,helsgaun,57,93035.39999999998,93066.599999999991
helsgaun,58,helsgaun,58,92966.199999999953,93066.599999999991
