strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,8396,8396
polyak,2,polyak,2,6793.5744680851049,8396
polyak,3,polyak,3,7626.0210401891209,8396
polyak,4,polyak,4,7363.0460197912053,8396
polyak,5,polyak,5,7996.636965535632,8396
polyak,6,polyak,6,7922.403303110078,8396
polyak,7,polyak,7,7988.4493292692487,8396
polyak,8,polyak,8,8164.3898312510692,8396
polyak,9,polyak,9,7191.1334784374476,8396
polyak,10,polyak,10,6717.5252963086123,8396
polyak,11,polyak,11,7352.2859450687738,8396
polyak,12,polyak,12,7698.2399353804485,8396
polyak,13,polyak,13,7478.2137228400316,8396
polyak,14,polyak,14,6879.3057438919923,8396
polyak,15,polyak,15,7765.8263524611639,8396
polyak,16,polyak,16,8013.6590841010029,8396
polyak,17,polyak,17,8264.0758214194702,8396
polyak,18,polyak,18,8411.6677549412143,8411.6677549412143
polyak,19,polyak,19,8569.7418889076216,8569.7418889076216
polyak,20,polyak,20,8694.2247035486016,8694.2247035486016
polyak,21,polyak,21,8652.0415267137669,8694.2247035486016
polyak,22,polyak,22,8707.7992612796716,8707.7992612796716
polyak,23,polyak,23,8875.2873384526938,8875.2873384526938
polyak,24,polyak,24,8727.8942743714706,8875.2873384526938
polyak,25,polyak,25,8919.735638579592,8919.735638579592
polyak,26,polyak,26,8912.8855833496273,8919.735638579592
polyak,27,polyak,27,8998.4999264964717,8998.4999264964717
polyak,28,polyak,28,8909.3940133850392,8998.4999264964717
polyak,29,polyak,29,9010.9933180181088,9010.9933180181088
polyak,30,polyak,30,8997.1227817910512,9010.9933180181088
polyak,31,polyak,31,9021.0144690907255,9021.0144690907255
polyak,32,polyak,32,8922.6257860583501,9021.0144690907255
polyak,33,polyak,33,8888.3822603298504,9021.0144690907255
polyak,34,polyak,34,9038.4243809512591,9038.4243809512591
polyak,35,polyak,35,8915.2233611451229,9038.4243809512591
polyak,36,polyak,36,8958.7472693916534,9038.4243809512591
polyak,37,polyak,37,9002.0115630938144,9038.4243809512591
polyak,38,polyak,38,8968.7060113965126,9038.4243809512591
polyak,39,polyak,39,9008.5901533325887,9038.4243809512591
polyak,40,polyak,40,8888.9384539939001,9038.4243809512591
polyak,41,polyak,41,9027.3933952383195,9038.4243809512591
polyak,42,polyak,42,8888.4240750642293,9038.4243809512591
polyak,43,polyak,43,8997.4857365494954,9038.4243809512591
polyak,44,polyak,44,9032.162110152789,9038.4243809512591
polyak,45,polyak,45,9013.7048503212191,9038.4243809512591
polyak,46,polyak,46,8920.5367883751987,9038.4243809512591
polyak,47,polyak,47,9071.3936095615136,9071.3936095615136
polyak,48,polyak,48,9114.9404195755087,9114.9404195755087
polyak,49,polyak,49,9133.1913346827459,9133.1913346827459
polyak,50,polyak,50,9119.6999950161553,9133.1913346827459
polyak,51,polyak,51,9159.640850108126,9159.640850108126
polyak,52,polyak,52,9136.9559226262772,9159.640850108126
polyak,53,polyak,53,9167.5815827410952,9167.5815827410952
polyak,54,polyak,54,9164.2798613828454,9167.5815827410952
polyak,55,polyak,55,9151.5578158007847,9167.5815827410952
polyak,56,polyak,56,9172.5998191763701,9172.5998191763701
polyak,57,polyak,57,9172.9918489140346,9172.9918489140346
polyak,58,polyak,58,9152.2160701457688,9172.9918489140346
polyak,59,polyak,59,9164.3672413832719,9172.9918489140346
polyak,60,polyak,60,9166.999498977726,9172.9918489140346
polyak,61,polyak,61,9167.7899128312274,9172.9918489140346
polyak,62,polyak,62,9179.9279443388459,9179.9279443388459
polyak,63,polyak,63,9151.7791708197183,9179.9279443388459
polyak,64,polyak,64,9156.5563559580332,9179.9279443388459
polyak,65,polyak,65,9192.5304016444406,9192.5304016444406
polyak,66,polyak,66,9117.6736525761735,9192.5304016444406
polyak,67,polyak,67,9170.8553222452138,9192.5304016444406
polyak,68,polyak,68,9152.7265232071968,9192.5304016444406
polyak,69,polyak,69,9183.5084428439441,9192.5304016444406
polyak,70,polyak,70,9152.966985863115,9192.5304016444406
polyak,71,polyak,71,9159.3099884279418,9192.5304016444406
polyak,72,polyak,72,9177.3448371301511,9192.5304016444406
polyak,73,polyak,73,9148.7355405346643,9192.5304016444406
polyak,74,polyak,74,9158.8128236762168,9192.5304016444406
polyak,75,polyak,75,9156.0374694217098,9192.5304016444406
polyak,76,polyak,76,9185.2654048809236,9192.5304016444406
polyak,77,polyak,77,9158.3075412416201,9192.5304016444406
polyak,78,polyak,78,9166.0278608646549,9192.5304016444406
polyak,79,polyak,79,9210.830325446148,9210.830325446148
polyak,80,polyak,80,9217.0506288944998,9217.0506288944998
polyak,81,polyak,81,9202.3669709441147,9217.0506288944998
polyak,82,polyak,82,9227.3864733152041,9227.3864733152041
polyak,83,polyak,83,9204.5944693473484,9227.3864733152041
polyak,84,polyak,84,9228.180966460779,9228.180966460779
polyak,85,polyak,85,9214.1014884734741,9228.180966460779
polyak,86,polyak,86,9210.6909859638672,9228.180966460779
polyak,87,polyak,87,9217.2352981307813,9228.180966460779
polyak,88,polyak,88,9225.5216404892508,9228.180966460779
polyak,89,polyak,89,9214.2775656797694,9228.180966460779
polyak,90,polyak,90,9218.4122553563448,9228.180966460779
polyak,91,polyak,91,9226.7516546416082,9228.180966460779
polyak,92,polyak,92,9201.0617009485395,9228.180966460779
polyak,93,polyak,93,9233.8271481600132,9233.8271481600132
polyak,94,polyak,94,9177.1724580480786,9233.8271481600132
polyak,95,polyak,95,9221.8762741605788,9233.8271481600132
polyak,96,polyak,96,9216.3318091284109,9233.8271481600132
polyak,97,polyak,97,9220.1372593483266,9233.8271481600132
polyak,98,polyak,98,9224.6670884512641,9233.8271481600132
polyak,99,polyak,99,9214.0797547876718,9233.8271481600132
polyak,100,polyak,100,9226.8859513875432,9233.8271481600132
polyak,101,polyak,101,9219.3206345101335,9233.8271481600132
polyak,102,polyak,102,9220.642029867593,9233.8271481600132
polyak,103,polyak,103,9210.9227630531459,9233.8271481600132
polyak,104,polyak,104,9233.6323902091644,9233.8271481600132
polyak,105,polyak,105,9199.3510191119858,9233.8271481600132
polyak,106,polyak,106,9226.1963111872865,9233.8271481600132
polyak,107,polyak,107,9246.1537099078851,9246.1537099078851
polyak,108,polyak,108,9233.5375214207725,9246.1537099078851
polyak,109,polyak,109,9246.4043300988469,9246.4043300988469
polyak,110,polyak,110,9239.6637893012849,9246.4043300988469
polyak,111,polyak,111,9235.1690892861989,9246.4043300988469
polyak,112,polyak,112,9244.2808210629482,9246.4043300988469
polyak,113,polyak,113,9232.9547564106215,9246.4043300988469
polyak,114,polyak,114,9248.8737181336182,9248.8737181336182
polyak,115,polyak,115,9240.8968498509294,9248.8737181336182
polyak,116,polyak,116,9240.0225580859678,9248.8737181336182
polyak,117,polyak,117,9244.7874804709772,9248.8737181336182
polyak,118,polyak,118,9239.2670868512905,9248.8737181336182
polyak,119,polyak,119,9240.4550300123192,9248.8737181336182
polyak,120,polyak,120,9247.4007215099282,9248.8737181336182
polyak,121,polyak,121,9234.3828732405,9248.8737181336182
polyak,122,polyak,122,9248.9763131867785,9248.9763131867785
polyak,123,polyak,123,9231.5101550527816,9248.9763131867785
polyak,124,polyak,124,9245.758068796662,9248.9763131867785
polyak,125,polyak,125,9242.8156700708569,9248.9763131867785
polyak,126,polyak,126,9242.1316647617077,9248.9763131867785
polyak,127,polyak,127,9240.9712170841194,9248.9763131867785
polyak,128,polyak,128,9244.9924535524315,9248.9763131867785
polyak,129,polyak,129,9240.0023453330323,9248.9763131867785
polyak,130,polyak,130,9242.0238362402833,9248.9763131867785
polyak,131,polyak,131,9239.4304362024122,9248.9763131867785
polyak,132,polyak,132,9239.5699695137318,9248.9763131867785
polyak,133,polyak,133,9239.1363713088995,9248.9763131867785
polyak,134,polyak,134,9248.301286771657,9248.9763131867785
polyak,135,polyak,135,9231.7638181385209,9248.9763131867785
polyak,136,polyak,136,9248.4276712398714,9248.9763131867785
polyak,137,polyak,137,9253.603921064212,9253.603921064212
polyak,138,polyak,138,9254.3559509088736,9254.3559509088736
polyak,139,polyak,139,9254.1815586638186,9254.3559509088736
polyak,140,polyak,140,9251.8504967838198,9254.3559509088736
polyak,141,polyak,141,9257.8961564258843,9257.8961564258843
polyak,142,polyak,142,9248.465733868612,9257.8961564258843
polyak,143,polyak,143,9257.4754989845533,9257.8961564258843
polyak,144,polyak,144,9248.1821905595571,9257.8961564258843
polyak,145,polyak,145,9255.0854333772422,9257.8961564258843
polyak,146,polyak,146,9251.4850867385812,9257.8961564258843
polyak,147,polyak,147,9253.3630522386575,9257.8961564258843
polyak,148,polyak,148,9251.8162978273576,9257.8961564258843
polyak,149,polyak,149,9254.14288725199,9257.8961564258843
polyak,150,polyak,150,9251.4653052135764,9257.8961564258843
