strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,2175,2175
hybrid,2,polyak,2,2108.2222222222226,2175
hybrid,3,polyak,3,2130.2107279693487,2175
hybrid,4,polyak,4,2087.5867086298126,2175
hybrid,5,polyak,5,2115.0963822635367,2175
hybrid,6,polyak,6,2091.6782044056667,2175
hybrid,7,polyak,7,2100.2561794517401,2175
hybrid,8,polyak,8,2103.211673500798,2175
hybrid,9,polyak,9,2085.1789178479785,2175
hybrid,10,polyak,10,2141.5741630831621,2175
hybrid,11,polyak,11,2095.4848394906853,2175
hybrid,12,polyak,12,2134.2363072748035,2175
hybrid,13,polyak,13,2075.2305612829114,2175
hybrid,14,polyak,14,2098.4749159639473,2175
hybrid,15,polyak,15,2205.8939561841603,2205.8939561841603
hybrid,16,polyak,16,2235.5213484395526,2235.5213484395526
hybrid,17,polyak,17,2241.3852084642667,2241.3852084642667
hybrid,18,polyak,18,2235.6579292716415,2241.3852084642667
hybrid,19,polyak,19,2249.9009263206326,2249.9009263206326
hybrid,20,polyak,20,2230.7229157536099,2249.9009263206326
hybrid,21,polyak,21,2250.0252916866639,2250.0252916866639
hybrid,22,polyak,22,2238.1735171837763,2250.0252916866639
hybrid,23,polyak,23,2248.5456825285564,2250.0252916866639
hybrid,24,polyak,24,2245.7646298130303,2250.0252916866639
hybrid,25,polyak,25,2248.0708296658077,2250.0252916866639
hybrid,26,polyak,26,2245.9228331255035,2250.0252916866639
hybrid,27,polyak,27,2247.2231119402718,2250.0252916866639
hybrid,28,polyak,28,2239.9523189905917,2250.0252916866639
hybrid,29,polyak,29,2243.078892728317,2250.0252916866639
hybrid,30,polyak,30,2243.5019805790207,2250.0252916866639
hybrid,31,polyak,31,2249.0910334847608,2250.0252916866639
hybrid,32,polyak,32,2239.1146485050526,2250.0252916866639
hybrid,33,polyak,33,2251.0290992255341,2251.0290992255341
hybrid,34,polyak,34,2245.5521272064866,2251.0290992255341
hybrid,35,polyak,35,2236.3355727902149,2251.0290992255341
hybrid,36,polyak,36,2253.6174037339683,2253.6174037339683
hybrid,37,polyak,37,2243.1325342820542,2253.6174037339683
hybrid,38,polyak,38,2249.0763688780908,2253.6174037339683
hybrid,39,polyak,39,2249.1976472191905,2253.6174037339683
hybrid,40,polyak,40,2247.0631627664657,2253.6174037339683
hybrid,41,polyak,41,2239.2775982510316,2253.6174037339683
hybrid,42,polyak,42,2251.7517675465833,2253.6174037339683
hybrid,43,polyak,43,2246.0583508516502,2253.6174037339683
hybrid,44,polyak,44,2249.2795384016604,2253.6174037339683
hybrid,45,polyak,45,2241.9412244259975,2253.6174037339683
hybrid,46,polyak,46,2245.3071881726551,2253.6174037339683
hybrid,47,polyak,47,2250.3864812676661,2253.6174037339683
hybrid,48,polyak,48,2250.7461057330656,2253.6174037339683
hybrid,49,polyak,49,2251.4662815832903,2253.6174037339683
hybrid,50,polyak,50,2263.1667691049383,2263.1667691049383
hybrid,51,polyak,51,2264.1200360429229,2264.1200360429229
hybrid,52,polyak,52,2262.7923092019996,2264.1200360429229
hybrid,53,polyak,53,2267.9061991435865,2267.9061991435865
hybrid,54,polyak,54,2269.4167845120346,2269.4167845120346
hybrid,55,polyak,55,2269.7687423570469,2269.7687423570469
hybrid,56,polyak,56,2271.6194704689747,2271.6194704689747
hybrid,57,polyak,57,2270.0661879193963,2271.6194704689747
hybrid,58,polyak,58,2271.9503456067159,2271.9503456067159
hybrid,59,polyak,59,2266.6776295231321,2271.9503456067159
hybrid,60,polyak,60,2271.0848352543012,2271.9503456067159
hybrid,61,polyak,61,2269.5298657485496,2271.9503456067159
hybrid,62,polyak,62,2267.4715812450627,2271.9503456067159
hybrid,63,polyak,63,2273.374914548901,2273.374914548901
hybrid,64,polyak,64,2265.4817099102993,2273.374914548901
hybrid,65,polyak,65,2271.9352493566048,2273.374914548901
hybrid,66,polyak,66,2269.3098024423275,2273.374914548901
hybrid,67,polyak,67,2267.7365282842438,2273.374914548901
hybrid,68,polyak,68,2268.0877584316631,2273.374914548901
hybrid,69,polyak,69,2271.4869247010365,2273.374914548901
hybrid,70,polyak,70,2272.9711142619553,2273.374914548901
hybrid,71,polyak,71,2263.8874920577605,2273.374914548901
hybrid,72,polyak,72,2276.0438041030384,2276.0438041030384
hybrid,73,polyak,73,2271.6644293462482,2276.0438041030384
hybrid,74,polyak,74,2269.6967206512954,2276.0438041030384
hybrid,75,polyak,75,2270.8469958988194,2276.0438041030384
hybrid,76,polyak,76,2271.5084536509867,2276.0438041030384
hybrid,77,polyak,77,2269.6020666974127,2276.0438041030384
hybrid,78,polyak,78,2273.4530063102457,2276.0438041030384
hybrid,79,polyak,79,2269.6556924143865,2276.0438041030384
hybrid,80,polyak,80,2273.6226560645382,2276.0438041030384
hybrid,81,polyak,81,2271.8205477337824,2276.0438041030384
hybrid,82,polyak,82,2276.2302358622678,2276.2302358622678
hybrid,83,polyak,83,2267.7367909734508,2276.2302358622678
hybrid,84,polyak,84,2271.8240319999236,2276.2302358622678
hybrid,85,polyak,85,2274.7349602734957,2276.2302358622678
hybrid,86,polyak,86,2269.3339980328328,2276.2302358622678
hybrid,87,polyak,87,2273.024779990762,2276.2302358622678
hybrid,88,polyak,88,2269.2937121815676,2276.2302358622678
hybrid,89,polyak,89,2271.3428915025725,2276.2302358622678
hybrid,90,polyak,90,2265.9831343471456,2276.2302358622678
hybrid,91,polyak,91,2272.9736408188146,2276.2302358622678
hybrid,92,polyak,92,2272.7047899905838,2276.2302358622678
hybrid,93,polyak,93,2272.0577817530848,2276.2302358622678
hybrid,94,polyak,94,2272.9789485955389,2276.2302358622678
hybrid,95,polyak,95,2273.4788935061542,2276.2302358622678
hybrid,96,polyak,96,2278.9457032773171,2278.9457032773171
hybrid,97,polyak,97,2278.6262713833744,2278.9457032773171
hybrid,98,polyak,98,2280.1162953324565,2280.1162953324565
hybrid,99,polyak,99,2278.370135116541,2280.1162953324565
hybrid,100,polyak,100,2279.3906372271472,2280.1162953324565
hybrid,101,polyak,101,2279.5108611699625,2280.1162953324565
hybrid,102,polyak,102,2281.0881096455182,2281.0881096455182
hybrid,103,polyak,103,2280.4087026922657,2281.0881096455182
hybrid,104,polyak,104,2276.9815761314271,2281.0881096455182
hybrid,105,polyak,105,2281.2285489282312,2281.2285489282312
hybrid,106,polyak,106,2277.7574935057269,2281.2285489282312
hybrid,107,polyak,107,2281.6984676704378,2281.6984676704378
hybrid,108,polyak,108,2278.1908727098371,2281.6984676704378
hybrid,109,polyak,109,2280.743321684718,2281.6984676704378
hybrid,110,polyak,110,2280.5920870048058,2281.6984676704378
hybrid,111,polyak,111,2280.6701418817106,2281.6984676704378
hybrid,112,polyak,112,2277.174796528589,2281.6984676704378
hybrid,113,polyak,113,2280.4185383054009,2281.6984676704378
hybrid,114,polyak,114,2277.9337462511471,2281.6984676704378
hybrid,115,polyak,115,2281.4959000876688,2281.6984676704378
hybrid,116,polyak,116,2277.2536305493809,2281.6984676704378
hybrid,117,polyak,117,2280.0861640428202,2281.6984676704378
hybrid,118,polyak,118,2278.9757830624967,2281.6984676704378
hybrid,119,polyak,119,2281.448498525202,2281.6984676704378
hybrid,120,polyak,120,2276.3087461659684,2281.6984676704378
hybrid,121,polyak,121,2280.6426909670818,2281.6984676704378
hybrid,122,polyak,122,2283.1830444560251,2283.1830444560251
hybrid,123,polyak,123,2282.8494485197293,2283.1830444560251
hybrid,124,polyak,124,2284.2475702051524,2284.2475702051524
hybrid,125,polyak,125,2281.8910517493223,2284.2475702051524
hybrid,126,polyak,126,2284.7167333408688,2284.7167333408688
hybrid,127,polyak,127,2283.1559090099904,2284.7167333408688
hybrid,128,polyak,128,2283.4869444106498,2284.7167333408688
