strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,20924,20924
helsgaun,2,helsgaun,2,20934,20934
helsgaun,3,helsgaun,3,20991.199999999997,20991.199999999997
helsgaun,4,helsgaun,4,21006.799999999999,21006.799999999999
helsgaun,5,helsgaun,5,20975.800000000014,21006.799999999999
helsgaun,6,helsgaun,6,21007,21007
helsgaun,7,helsgaun,7,20985.400000000005,21007
helsgaun,8,helsgaun,8,20958.999999999989,21007
helsgaun,9,helsgaun,9,20998.400000000005,21007
helsgaun,10,helsgaun,10,21029.799999999992,21029.799999999992
helsgaun,11,helsgaun,11,21031.399999999991,21031.399999999991
helsgaun,12,helsgaun,12,21097.999999999993,21097.999999999993
helsgaun,13,helsgaun,13,21062.199999999993,21097.999999999993
helsgaun,14,helsgaun,14,21027.400000000005,21097.999999999993
helsgaun,15,helsgaun,15,21064.200000000008,21097.999999999993
helsgaun,16,helsgaun,16,20989.599999999999,21097.999999999993
helsgaun,17,helsgaun,17,21042.800000000007,21097.999999999993
helsgaun,18,helsgaun,18,21018.399999999991,21097.999999999993
helsgaun,19,helsgaun,19,21086.600000000009,21097.999999999993
helsgaun,20,helsgaun,20,21090.399999999991,21097.999999999993
helsgaun,21,helsgaun,21,21023.599999999995,21097.999999999993
helsgaun,22,helsgaun,22,21028.000000000004,21097.999999999993
helsgaun,23,helsgaun,23,21075.799999999992,21097.999999999993
helsgaun,24,helsgaun,24,21024.799999999996,21097.999999999993
helsgaun,25,helsgaun,25,21041.200000000001,21097.999999999993
helsgaun,26,helsgaun,26,21124.999999999985,21124.999999999985
helsgaun,27,helsgaun,27,21096.400000000009,21124.999999999985
helsgaun,28,helsgaun,28,21079.200000000015,21124.999999999985
helsgaun,29,helsgaun,29,21086.799999999999,21124.999999999985
helsgaun,30,helsgaun,30,21075.200000000001,21124.999999999985
helsgaun,31,helsgaun,31,21076.199999999993,21124.999999999985
helsgaun,32,helsgaun,32,21002.000000000004,21124.999999999985
helsgaun,33,helsgaun,33,21105.199999999997,21124.999999999985
helsgaun,34,helsgaun,34,21055.400000000005,21124.999999999985
helsgaun,35,helsgaun,35,21087.599999999995,21124.999999999985
helsgaun,36,helsgaun,36,21067.400000000005,21124.999999999985
helsgaun,37,helsgaun,37,21099.400000000012,21124.999999999985
helsgaun,38,helsgaun,38,21083.799999999996,21124.999999999985
helsgaun,39,helsgaun,39,21102.200000000001,21124.999999999985
helsgaun,40,helsgaun,40,21056.80000000001,21124.999999999985
helsgaun,41,helsgaun,41,21091.200000000004,21124.999999999985
helsgaun,42,helsgaun,42,21004.600000000013,21124.999999999985
helsgaun,43,helsgaun,43,21070.999999999996,21124.999999999985
helsgaun,44,helsgaun,44,21055.600000000006,21124.999999999985
helsgaun,45,helsgaun,45,21053.400000000001,21124.999999999985
helsgaun,46,helsgaun,46,21059.799999999992,21124.999999999985
helsgaun,47,helsgaun,47,21095.200000000004,21124.999999999985
helsgaun,48,helsgaun,48,21116.599999999995,21124.999999999985
helsgaun,49,helsgaun,49,21039.400000000009,21124.999999999985
helsgaun,50,helsgaun,50,21079.600000000006,21124.999999999985
helsgaun,51,helsgaun,51,21115.199999999993,21124.999999999985
helsgaun,52,helsgaun,52,21068.399999999991,21124.999999999985
helsgaun,53,helsgaun,53,21013.000000000011,21124.999999999985
helsgaun,54,helsgaun,54,21065.80000000001,21124.999999999985
helsgaun,55,helsgaun,55,21049.799999999996,21124.999999999985
helsgaun,56,helsgaun,56,21047.600000000002,21124.999999999985
helsgaun,57,helsgaun,57,21064.399999999998,21124.999999999985
helsgaun,58,helsgaun,58,21051.199999999986,21124.999999999985
helsgaun,59,helsgaun,59,21083.400000000012,21124.999999999985
helsgaun,60,helsgaun,60,21029.800000000003,21124.999999999985
helsgaun,61,helsgaun,61,21122.799999999999,21124.999999999985
helsgaun,62,helsgaun,62,21053.200000000001,21124.999999999985
helsgaun,63,helsgaun,63,21096.400000000005,21124.999999999985
helsgaun,64,helsgaun,64,21076.999999999996,21124.999999999985
helsgaun,65,helsgaun,65,21121.200000000001,21124.999999999985
helsgaun,66,helsgaun,66,21071.600000000002,21124.999999999985
helsgaun,67,helsgaun,67,21101.599999999991,21124.999999999985
helsgaun,68,helsgaun,68,21022.19999999999,21124.999999999985
helsgaun,69,helsgaun,69,21066.799999999992,21124.999999999985
helsgaun,70,helsgaun,70,21073.399999999994,21124.999999999985
helsgaun,71,helsgaun,71,21096.999999999996,21124.999999999985
helsgaun,72,helsgaun,72,21096.199999999997,21124.999999999985
helsgaun,73,helsgaun,73,21099.200000000001,21124.999999999985
helsgaun,74,helsgaun,74,21109.599999999995,21124.999999999985
helsgaun,75,helsgaun,75,21101.999999999993,21124.999999999985
helsgaun,76,helsgaun,76,21059.399999999998,21124.999999999985
helsgaun,77,helsgaun,77,21131.399999999998,21131.399999999998
helsgaun,78,helsgaun,78,21074.799999999999,21131.399999999998
helsgaun,79,helsgaun,79,21097.399999999998,21131.399999999998
helsgaun,80,helsgaun,80,21101.199999999993,21131.399999999998
helsgaun,81,helsgaun,81,21063.999999999996,21131.399999999998
helsgaun,82,helsgaun,82,21078.80000000001,21131.399999999998
helsgaun,83,helsgaun,83,21034.799999999992,21131.399999999998
helsgaun,84,helsgaun,84,21081.199999999997,21131.399999999998
helsgaun,85,helsgaun,85,21109.000000000007,21131.399999999998
helsgaun,86,helsgaun,86,21089.599999999999,21131.399999999998
helsgaun,87,helsgaun,87,21093.600000000002,21131.399999999998
helsgaun,88,helsgaun,88,21086.199999999997,21131.399999999998
helsgaun,89,helsgaun,89,21185.799999999992,21185.799999999992
helsgaun,90,helsgaun,90,21222.399999999983,21222.399999999983
helsgaun,91,helsgaun,91,21268.800000000007,21268.800000000007
helsgaun,92,helsgaun,92,21234.400000000005,21268.800000000007
helsgaun,93,helsgaun,93,21260.199999999997,21268.800000000007
helsgaun,94,helsgaun,94,21236.399999999994,21268.800000000007
helsgaun,95,helsgaun,95,21263.800000000003,21268.800000000007
helsgaun,96,helsgaun,96,21246.800000000007,21268.800000000007
helsgaun,97,helsgaun,97,21248.599999999995,21268.800000000007
helsgaun,98,helsgaun,98,21229.399999999998,21268.800000000007
helsgaun,99,helsgaun,99,21260.600000000006,21268.800000000007
helsgaun,100,helsgaun,100,21253.199999999997,21268.800000000007
helsgaun,101,helsgaun,101,21250.200000000008,21268.800000000007
helsgaun,102,helsgaun,102,21237.999999999996,21268.800000000007
helsgaun,103,helsgaun,103,21257.200000000008,21268.800000000007
helsgaun,104,helsgaun,104,21264.000000000004,21268.800000000007
helsgaun,105,helsgaun,105,21250.999999999993,21268.800000000007
helsgaun,106,helsgaun,106,21266.000000000004,21268.800000000007
helsgaun,107,helsgaun,107,21255,21268.800000000007
helsgaun,108,helsgaun,108,21273.199999999993,21273.199999999993
helsgaun,109,helsgaun,109,21270.800000000003,21273.199999999993
helsgaun,110,helsgaun,110,21246.800000000007,21273.199999999993
helsgaun,111,helsgaun,111,21267.399999999994,21273.199999999993
helsgaun,112,helsgaun,112,21265.600000000002,21273.199999999993
helsgaun,113,helsgaun,113,21265.000000000007,21273.199999999993
helsgaun,114,helsgaun,114,21251.599999999999,21273.199999999993
helsgaun,115,helsgaun,115,21263.399999999991,21273.199999999993
helsgaun,116,helsgaun,116,21259.200000000008,21273.199999999993
helsgaun,117,helsgaun,117,21278.000000000004,21278.000000000004
helsgaun,118,helsgaun,118,21251.399999999998,21278.000000000004
helsgaun,119,helsgaun,119,21253.799999999999,21278.000000000004
helsgaun,120,helsgaun,120,21261.399999999994,21278.000000000004
helsgaun,121,helsgaun,121,21260.200000000004,21278.000000000004
helsgaun,122,helsgaun,122,21266.600000000006,21278.000000000004
helsgaun,123,helsgaun,123,21267.999999999993,21278.000000000004
helsgaun,124,helsgaun,124,21270.400000000005,21278.000000000004
helsgaun,125,helsgaun,125,21270.600000000006,21278.000000000004
helsgaun,126,helsgaun,126,21270.199999999997,21278.000000000004
helsgaun,127,helsgaun,127,21250,21278.000000000004
helsgaun,128,helsgaun,128,21270.600000000009,21278.000000000004
helsgaun,129,helsgaun,129,21240.400000000005,21278.000000000004
helsgaun,130,helsgaun,130,21273.800000000003,21278.000000000004
helsgaun,131,helsgaun,131,21261.200000000012,21278.000000000004
helsgaun,132,helsgaun,132,21306.999999999996,21306.999999999996
helsgaun,133,helsgaun,133,21314,21314
helsgaun,134,helsgaun,134,21317.999999999996,21317.999999999996
helsgaun,135,helsgaun,135,21320.600000000006,21320.600000000006
helsgaun,136,helsgaun,136,21320.999999999996,21320.999999999996
helsgaun,137,helsgaun,137,21320.200000000001,21320.999999999996
helsgaun,138,helsgaun,138,21319.999999999996,21320.999999999996
helsgaun,139,helsgaun,139,21323.200000000004,21323.200000000004
helsgaun,140,helsgaun,140,21326.19999999999,21326.19999999999
helsgaun,141,helsgaun,141,21322.599999999999,21326.19999999999
helsgaun,142,helsgaun,142,21317.999999999996,21326.19999999999
helsgaun,143,helsgaun,143,21325.599999999995,21326.19999999999
helsgaun,144,helsgaun,144,21319.800000000003,21326.19999999999
helsgaun,145,helsgaun,145,21314.599999999991,21326.19999999999
helsgaun,146,helsgaun,146,21325.199999999993,21326.19999999999
helsgaun,147,helsgaun,147,21316.400000000001,21326.19999999999
helsgaun,148,helsgaun,148,21327.599999999995,21327.599999999995
helsgaun,149,helsgaun,149,21329.600000000002,21329.600000000002
helsgaun,150,helsgaun,150,21313,21329.600000000002
helsgaun,151,helsgaun,151,21323.200000000001,21329.600000000002
helsgaun,152,helsgaun,152,21323.599999999999,21329.600000000002
helsgaun,153,helsgaun,153,21336.799999999999,21336.799999999999
helsgaun,154,helsgaun,154,21343.799999999996,21343.799999999996
helsgaun,155,helsgaun,155,21342.499999999993,21343.799999999996
helsgaun,156,helsgaun,156,21340.899999999994,21343.799999999996
helsgaun,157,helsgaun,157,21343.599999999999,21343.799999999996
helsgaun,158,helsgaun,158,21344.800000000007,21344.800000000007
helsgaun,159,helsgaun,159,21345,21345
helsgaun,160,helsgaun,160,21343.699999999993,21345
helsgaun,161,helsgaun,161,21346.799999999996,21346.799999999996
helsgaun,162,helsgaun,162,21349.000000000004,21349.000000000004
helsgaun,163,helsgaun,163,21352.450000000001,21352.450000000001
helsgaun,164,helsgaun,164,21358.700000000008,21358.700000000008
helsgaun,165,helsgaun,165,21357.499999999996,21358.700000000008
helsgaun,166,helsgaun,166,21356.950000000004,21358.700000000008
helsgaun,167,helsgaun,167,21356.100000000002,21358.700000000008
helsgaun,168,helsgaun,168,21358.44999999999,21358.700000000008
helsgaun,169,helsgaun,169,21357.999999999996,21358.700000000008
helsgaun,170,helsgaun,170,21358.599999999995,21358.700000000008
helsgaun,171,helsgaun,171,21356.800000000003,21358.700000000008
helsgaun,172,helsgaun,172,21357.800000000003,21358.700000000008
helsgaun,173,helsgaun,173,21361.400000000001,21361.400000000001
helsgaun,174,helsgaun,174,21362.349999999991,21362.349999999991
helsgaun,175,helsgaun,175,21362.824999999986,21362.824999999986
