strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,20924,20924
hybrid,2,polyak,2,20426.789473684199,20924
hybrid,3,polyak,3,20605.791497975701,20924
hybrid,4,polyak,4,20690.098363153535,20924
hybrid,5,polyak,5,20544.766251309196,20924
hybrid,6,polyak,6,20775.813591528073,20924
hybrid,7,polyak,7,20748.808538674617,20924
hybrid,8,polyak,8,20729.871623674851,20924
hybrid,9,polyak,9,20753.333606122222,20924
hybrid,10,polyak,10,20777.444630624697,20924
hybrid,11,polyak,11,20815.592413020477,20924
hybrid,12,polyak,12,20901.57492907047,20924
hybrid,13,polyak,13,20766.833275372104,20924
hybrid,14,polyak,14,20903.582308335182,20924
hybrid,15,polyak,15,21061.890658557317,21061.890658557317
hybrid,16,polyak,16,21128.917902920988,21128.917902920988
hybrid,17,polyak,17,21193.155424493834,21193.155424493834
hybrid,18,polyak,18,21220.229074829022,21220.229074829022
hybrid,19,polyak,19,21222.284039262708,21222.284039262708
hybrid,20,polyak,20,21229.879103479208,21229.879103479208
hybrid,21,polyak,21,21240.498610430815,21240.498610430815
hybrid,22,polyak,22,21237.622801292986,21240.498610430815
hybrid,23,polyak,23,21231.724399090159,21240.498610430815
hybrid,24,polyak,24,21243.226835946683,21243.226835946683
hybrid,25,polyak,25,21251.939554824894,21251.939554824894
hybrid,26,polyak,26,21245.986596299004,21251.939554824894
hybrid,27,polyak,27,21256.149228406346,21256.149228406346
hybrid,28,polyak,28,21255.953789297382,21256.149228406346
hybrid,29,polyak,29,21267.318301969794,21267.318301969794
hybrid,30,polyak,30,21237.574812662766,21267.318301969794
hybrid,31,polyak,31,21262.645659171267,21267.318301969794
hybrid,32,polyak,32,21255.664908577575,21267.318301969794
hybrid,33,polyak,33,21262.485334157409,21267.318301969794
hybrid,34,polyak,34,21247.998413767597,21267.318301969794
hybrid,35,polyak,35,21249.112297347019,21267.318301969794
hybrid,36,polyak,36,21276.233304406713,21276.233304406713
hybrid,37,polyak,37,21251.861053566026,21276.233304406713
hybrid,38,polyak,38,21262.273678945254,21276.233304406713
hybrid,39,polyak,39,21269.064130772764,21276.233304406713
hybrid,40,polyak,40,21262.756921811619,21276.233304406713
hybrid,41,polyak,41,21268.756911813125,21276.233304406713
hybrid,42,polyak,42,21269.326181905712,21276.233304406713
hybrid,43,polyak,43,21261.07350447763,21276.233304406713
hybrid,44,polyak,44,21269.274621139837,21276.233304406713
hybrid,45,polyak,45,21263.479793648075,21276.233304406713
hybrid,46,polyak,46,21258.342128641954,21276.233304406713
hybrid,47,polyak,47,21261.685439211415,21276.233304406713
hybrid,48,polyak,48,21285.336429660216,21285.336429660216
hybrid,49,polyak,49,21266.960302930049,21285.336429660216
hybrid,50,polyak,50,21251.674494826068,21285.336429660216
hybrid,51,polyak,51,21265.868546401136,21285.336429660216
hybrid,52,polyak,52,21260.044607374541,21285.336429660216
hybrid,53,polyak,53,21276.114050516753,21285.336429660216
hybrid,54,polyak,54,21259.66486640045,21285.336429660216
