strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,20924,20924
polyak,2,polyak,2,20426.789473684199,20924
polyak,3,polyak,3,20605.791497975701,20924
polyak,4,polyak,4,20690.098363153535,20924
polyak,5,polyak,5,20544.766251309196,20924
polyak,6,polyak,6,20775.813591528073,20924
polyak,7,polyak,7,20748.808538674617,20924
polyak,8,polyak,8,20729.871623674851,20924
polyak,9,polyak,9,20753.333606122222,20924
polyak,10,polyak,10,20777.444630624697,20924
polyak,11,polyak,11,20815.592413020477,20924
polyak,12,polyak,12,20901.57492907047,20924
polyak,13,polyak,13,20766.833275372104,20924
polyak,14,polyak,14,20903.582308335182,20924
polyak,15,polyak,15,21061.890658557317,21061.890658557317
polyak,16,polyak,16,21128.917902920988,21128.917902920988
polyak,17,polyak,17,21193.155424493834,21193.155424493834
polyak,18,polyak,18,21220.229074829022,21220.229074829022
polyak,19,polyak,19,21222.284039262708,21222.284039262708
polyak,20,polyak,20,21229.879103479208,21229.879103479208
polyak,21,polyak,21,21240.498610430815,21240.498610430815
polyak,22,polyak,22,21237.622801292986,21240.498610430815
polyak,23,polyak,23,21231.724399090159,21240.498610430815
polyak,24,polyak,24,21243.226835946683,21243.226835946683
polyak,25,polyak,25,21251.939554824894,21251.939554824894
polyak,26,polyak,26,21245.986596299004,21251.939554824894
polyak,27,polyak,27,21256.149228406346,21256.149228406346
polyak,28,polyak,28,21255.953789297382,21256.149228406346
polyak,29,polyak,29,21267.318301969794,21267.318301969794
polyak,30,polyak,30,21237.574812662766,21267.318301969794
polyak,31,polyak,31,21262.645659171267,21267.318301969794
polyak,32,polyak,32,21255.664908577575,21267.318301969794
polyak,33,polyak,33,21262.485334157409,21267.318301969794
polyak,34,polyak,34,21247.998413767597,21267.318301969794
polyak,35,polyak,35,21249.112297347019,21267.318301969794
polyak,36,polyak,36,21276.233304406713,21276.233304406713
polyak,37,polyak,37,21251.861053566026,21276.233304406713
polyak,38,polyak,38,21262.273678945254,21276.233304406713
polyak,39,polyak,39,21269.064130772764,21276.233304406713
polyak,40,polyak,40,21262.756921811619,21276.233304406713
polyak,41,polyak,41,21268.756911813125,21276.233304406713
polyak,42,polyak,42,21269.326181905712,21276.233304406713
polyak,43,polyak,43,21261.07350447763,21276.233304406713
polyak,44,polyak,44,21269.274621139837,21276.233304406713
polyak,45,polyak,45,21263.479793648075,21276.233304406713
polyak,46,polyak,46,21258.342128641954,21276.233304406713
polyak,47,polyak,47,21261.685439211415,21276.233304406713
polyak,48,polyak,48,21285.336429660216,21285.336429660216
polyak,49,polyak,49,21266.960302930049,21285.336429660216
polyak,50,polyak,50,21251.674494826068,21285.336429660216
polyak,51,polyak,51,21265.868546401136,21285.336429660216
polyak,52,polyak,52,21260.044607374541,21285.336429660216
polyak,53,polyak,53,21276.114050516753,21285.336429660216
polyak,54,polyak,54,21259.66486640045,21285.336429660216
polyak,55,polyak,55,21274.011097589271,21285.336429660216
polyak,56,polyak,56,21251.460379325075,21285.336429660216
polyak,57,polyak,57,21283.091994638726,21285.336429660216
polyak,58,polyak,58,21260.937147744073,21285.336429660216
polyak,59,polyak,59,21276.991295534692,21285.336429660216
polyak,60,polyak,60,21277.659684053229,21285.336429660216
polyak,61,polyak,61,21267.448986345731,21285.336429660216
polyak,62,polyak,62,21301.395644939315,21301.395644939315
polyak,63,polyak,63,21315.427998539682,21315.427998539682
polyak,64,polyak,64,21315.45260459396,21315.45260459396
polyak,65,polyak,65,21316.29366558529,21316.29366558529
polyak,66,polyak,66,21321.021756688911,21321.021756688911
polyak,67,polyak,67,21309.62715224503,21321.021756688911
polyak,68,polyak,68,21323.227512869824,21323.227512869824
polyak,69,polyak,69,21318.05792646336,21323.227512869824
polyak,70,polyak,70,21311.977008989772,21323.227512869824
polyak,71,polyak,71,21329.093274601153,21329.093274601153
polyak,72,polyak,72,21310.605604314744,21329.093274601153
polyak,73,polyak,73,21325.663328211209,21329.093274601153
polyak,74,polyak,74,21318.272515897253,21329.093274601153
polyak,75,polyak,75,21325.020788045404,21329.093274601153
polyak,76,polyak,76,21313.095049088766,21329.093274601153
polyak,77,polyak,77,21327.256443914262,21329.093274601153
polyak,78,polyak,78,21317.602885719069,21329.093274601153
polyak,79,polyak,79,21322.357929188653,21329.093274601153
polyak,80,polyak,80,21322.996814009821,21329.093274601153
polyak,81,polyak,81,21322.003276061387,21329.093274601153
polyak,82,polyak,82,21315.93154541044,21329.093274601153
polyak,83,polyak,83,21327.97281317526,21329.093274601153
polyak,84,polyak,84,21321.956628540785,21329.093274601153
polyak,85,polyak,85,21337.951880220033,21337.951880220033
polyak,86,polyak,86,21336.74039390466,21337.951880220033
polyak,87,polyak,87,21339.161633738,21339.161633738
polyak,88,polyak,88,21340.689342799131,21340.689342799131
polyak,89,polyak,89,21341.035195372158,21341.035195372158
polyak,90,polyak,90,21338.627501145853,21341.035195372158
polyak,91,polyak,91,21340.703750293771,21341.035195372158
polyak,92,polyak,92,21339.114295570394,21341.035195372158
polyak,93,polyak,93,21341.433140087305,21341.433140087305
polyak,94,polyak,94,21339.179765076093,21341.433140087305
polyak,95,polyak,95,21340.059165820268,21341.433140087305
polyak,96,polyak,96,21341.199525150991,21341.433140087305
polyak,97,polyak,97,21343.446917440055,21343.446917440055
polyak,98,polyak,98,21339.342617336864,21343.446917440055
polyak,99,polyak,99,21339.345121438953,21343.446917440055
polyak,100,polyak,100,21342.008305666888,21343.446917440055
