strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,4746,4746
helsgaun,2,helsgaun,2,4754,4754
helsgaun,3,helsgaun,3,4770,4770
helsgaun,4,helsgaun,4,4802,4802
helsgaun,5,helsgaun,5,4862,4862
helsgaun,6,helsgaun,6,4982.8000000000002,4982.8000000000002
helsgaun,7,helsgaun,7,5115.8000000000002,5115.8000000000002
helsgaun,8,helsgaun,8,5346.3999999999996,5346.3999999999996
helsgaun,9,helsgaun,9,5704.3999999999996,5704.3999999999996
helsgaun,10,helsgaun,10,5738.9999999999991,5738.9999999999991
helsgaun,11,helsgaun,11,5838.8000000000002,5838.8000000000002
helsgaun,12,helsgaun,12,5946.1999999999998,5946.1999999999998
helsgaun,13,helsgaun,13,6084.9999999999991,6084.9999999999991
helsgaun,14,helsgaun,14,6175.4000000000005,6175.4000000000005
helsgaun,15,helsgaun,15,6212.8000000000002,6212.8000000000002
helsgaun,16,helsgaun,16,6250.4000000000005,6250.4000000000005
helsgaun,17,helsgaun,17,6432.1999999999998,6432.1999999999998
helsgaun,18,helsgaun,18,6473.1999999999998,6473.1999999999998
helsgaun,19,helsgaun,19,6520.1999999999998,6520.1999999999998
helsgaun,20,helsgaun,20,6558.4000000000005,6558.4000000000005
helsgaun,21,helsgaun,21,6592.1999999999998,6592.1999999999998
helsgaun,22,helsgaun,22,6633.1999999999998,6633.1999999999998
helsgaun,23,helsgaun,23,6657,6657
helsgaun,24,helsgaun,24,6668.8000000000002,6668.8000000000002
helsgaun,25,helsgaun,25,6673.6000000000004,6673.6000000000004
helsgaun,26,helsgaun,26,6701.6000000000004,6701.6000000000004
helsgaun,27,helsgaun,27,6717.4000000000005,6717.4000000000005
helsgaun,28,helsgaun,28,6732.7999999999993,6732.7999999999993
helsgaun,29,helsgaun,29,6737.8000000000002,6737.8000000000002
helsgaun,30,helsgaun,30,6742.5999999999995,6742.5999999999995
helsgaun,31,helsgaun,31,6754.8000000000002,6754.8000000000002
helsgaun,32,helsgaun,32,6757.2000000000007,6757.2000000000007
helsgaun,33,helsgaun,33,6774.5999999999995,6774.5999999999995
helsgaun,34,helsgaun,34,6779.9999999999991,6779.9999999999991
helsgaun,35,helsgaun,35,6778.2000000000007,6779.9999999999991
helsgaun,36,helsgaun,36,6791.2000000000007,6791.2000000000007
helsgaun,37,helsgaun,37,6790.0000000000009,6791.2000000000007
helsgaun,38,helsgaun,38,6792.9999999999991,6792.9999999999991
helsgaun,39,helsgaun,39,6799.1999999999998,6799.1999999999998
helsgaun,40,helsgaun,40,6797,6799.1999999999998
helsgaun,41,helsgaun,41,6806.7999999999993,6806.7999999999993
helsgaun,42,helsgaun,42,6810.1999999999998,6810.1999999999998
helsgaun,43,helsgaun,43,6813.1999999999998,6813.1999999999998
helsgaun,44,helsgaun,44,6816.7999999999993,6816.7999999999993
helsgaun,45,helsgaun,45,6817.7999999999984,6817.7999999999984
helsgaun,46,helsgaun,46,6818.0000000000009,6818.0000000000009
helsgaun,47,helsgaun,47,6820.2000000000007,6820.2000000000007
helsgaun,48,helsgaun,48,6819.3999999999996,6820.2000000000007
helsgaun,49,helsgaun,49,6821.7999999999993,6821.7999999999993
helsgaun,50,helsgaun,50,6822.6999999999998,6822.6999999999998
helsgaun,51,helsgaun,51,6824.1999999999989,6824.1999999999989
helsgaun,52,helsgaun,52,6824.6500000000005,6824.6500000000005
helsgaun,53,helsgaun,53,6825.2000000000007,6825.2000000000007
helsgaun,54,helsgaun,54,6825.5500000000011,6825.5500000000011
helsgaun,55,helsgaun,55,6825.8999999999996,6825.8999999999996
helsgaun,56,helsgaun,56,6826.0750000000007,6826.0750000000007
helsgaun,57,helsgaun,57,6826.125,6826.125
helsgaun,58,helsgaun,58,6826.2124999999996,6826.2124999999996
helsgaun,59,helsgaun,59,6826.3374999999996,6826.3374999999996
helsgaun,60,helsgaun,60,6826.3562499999998,6826.3562499999998
helsgaun,61,helsgaun,61,6826.3843750000005,6826.3843750000005
helsgaun,62,helsgaun,62,6826.4015625000011,6826.4015625000011
helsgaun,63,helsgaun,63,6826.4218750000009,6826.4218750000009
helsgaun,64,helsgaun,64,6826.4304687499998,6826.4304687499998
helsgaun,65,helsgaun,65,6826.4382812499998,6826.4382812499998
helsgaun,66,helsgaun,66,6826.4406250000002,6826.4406250000002
helsgaun,67,helsgaun,67,6826.4460937500007,6826.4460937500007
helsgaun,68,helsgaun,68,6826.4472656250009,6826.4472656250009
helsgaun,69,helsgaun,69,6826.4499999999989,6826.4499999999989
helsgaun,70,helsgaun,70,6826.451171875,6826.451171875
helsgaun,71,helsgaun,71,6826.4523437500011,6826.4523437500011
helsgaun,72,helsgaun,72,6826.45263671875,6826.45263671875
helsgaun,73,helsgaun,73,6826.4532226562496,6826.4532226562496
helsgaun,74,helsgaun,74,6826.4534667968765,6826.4534667968765
helsgaun,75,helsgaun,75,6826.4536621093748,6826.4536621093748
helsgaun,76,helsgaun,76,6826.4537841796873,6826.4537841796873
helsgaun,77,helsgaun,77,6826.4539184570312,6826.4539184570312
helsgaun,78,helsgaun,78,6826.4539855957028,6826.4539855957028
helsgaun,79,helsgaun,79,6826.4540405273438,6826.4540405273438
helsgaun,80,helsgaun,80,6826.4540588378914,6826.4540588378914
helsgaun,81,helsgaun,81,6826.4541015625,6826.4541015625
helsgaun,82,helsgaun,82,6826.4541107177738,6826.4541107177738
