strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,9029,9029
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,8253.0000000000018,9029
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,8783.9200991467114,9029
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,9196.4317467031178,9196.4317467031178
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,9261.5126727209517,9261.5126727209517
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,9292.371452677191,9292.371452677191
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,9549.0540977154815,9549.0540977154815
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,9725.7057378539284,9725.7057378539284
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,9827.712976433726,9827.712976433726
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,9951.8919857056171,9951.8919857056171
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,9966.3582124660752,9966.3582124660752
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,9961.1820378381308,9966.3582124660752
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,10000.480010063209,10000.480010063209
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,10131.118744994572,10131.118744994572
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,10061.878656200317,10131.118744994572
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,10210.622014725281,10210.622014725281
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,9969.2751563686143,10210.622014725281
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,10228.078335741024,10228.078335741024
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,10164.176440342315,10228.078335741024
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,10195.112803642112,10228.078335741024
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,10284.549185257629,10284.549185257629
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,10169.439970126599,10284.549185257629
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,10296.890067085131,10296.890067085131
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,10315.791526484021,10315.791526484021
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,10167.946792463725,10315.791526484021
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,10326.922492157919,10326.922492157919
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,10286.007379914316,10326.922492157919
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,10260.971117397785,10326.922492157919
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,10269.76839038666,10326.922492157919
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,10398.717016121072,10398.717016121072
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,10250.083239687459,10398.717016121072
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,10231.612614243331,10398.717016121072
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,10299.902174513287,10398.717016121072
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,10355.77063573231,10398.717016121072
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,10321.685104177319,10398.717016121072
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,10363.500227099386,10398.717016121072
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,10351.089077411072,10398.717016121072
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,10363.986301042412,10398.717016121072
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,10448.083925876197,10448.083925876197
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,10398.736640694366,10448.083925876197
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,10365.071566065179,10448.083925876197
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,10357.510049470253,10448.083925876197
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,10435.700156954836,10448.083925876197
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,10319.018872286773,10448.083925876197
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,10432.382125262031,10448.083925876197
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,10410.455663976634,10448.083925876197
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,10435.086881577119,10448.083925876197
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,10455.115663660312,10455.115663660312
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,10448.727623507508,10455.115663660312
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,10466.915114478334,10466.915114478334
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,10475.414518722526,10475.414518722526
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,10476.659763938689,10476.659763938689
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,10428.880153204926,10476.659763938689
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,10478.115595507974,10478.115595507974
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,10385.858209562295,10478.115595507974
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,10381.618368840358,10478.115595507974
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,10484.240584798708,10484.240584798708
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,10478.148477707015,10484.240584798708
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,10462.516028428161,10484.240584798708
