strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,9029,9029
polyak-smoothed,2,polyak-smoothed,2,8253.0000000000018,9029
polyak-smoothed,3,polyak-smoothed,3,8923.5756302521022,9029
polyak-smoothed,4,polyak-smoothed,4,9411.2963585434172,9411.2963585434172
polyak-smoothed,5,polyak-smoothed,5,9522.1185415499549,9522.1185415499549
polyak-smoothed,6,polyak-smoothed,6,9601.4691272148066,9601.4691272148066
polyak-smoothed,7,polyak-smoothed,7,9861.9738683400665,9861.9738683400665
polyak-smoothed,8,polyak-smoothed,8,9729.6238288789227,9861.9738683400665
polyak-smoothed,9,polyak-smoothed,9,9997.810091996178,9997.810091996178
polyak-smoothed,10,polyak-smoothed,10,9762.4626939911686,9997.810091996178
polyak-smoothed,11,polyak-smoothed,11,9921.975669991798,9997.810091996178
polyak-smoothed,12,polyak-smoothed,12,9954.7443548208776,9997.810091996178
polyak-smoothed,13,polyak-smoothed,13,10010.8043514687,10010.8043514687
polyak-smoothed,14,polyak-smoothed,14,10156.326639901114,10156.326639901114
polyak-smoothed,15,polyak-smoothed,15,10142.306900407542,10156.326639901114
polyak-smoothed,16,polyak-smoothed,16,10057.563595735755,10156.326639901114
polyak-smoothed,17,polyak-smoothed,17,10093.581374304367,10156.326639901114
polyak-smoothed,18,polyak-smoothed,18,10222.703295992425,10222.703295992425
polyak-smoothed,19,polyak-smoothed,19,10170.448756201773,10222.703295992425
polyak-smoothed,20,polyak-smoothed,20,10102.036179856586,10222.703295992425
polyak-smoothed,21,polyak-smoothed,21,10355.402444066372,10355.402444066372
polyak-smoothed,22,polyak-smoothed,22,10188.074918073949,10355.402444066372
polyak-smoothed,23,polyak-smoothed,23,10237.976076196343,10355.402444066372
polyak-smoothed,24,polyak-smoothed,24,10276.894086545799,10355.402444066372
polyak-smoothed,25,polyak-smoothed,25,10312.81677640329,10355.402444066372
polyak-smoothed,26,polyak-smoothed,26,10254.082361066228,10355.402444066372
polyak-smoothed,27,polyak-smoothed,27,10218.840886639919,10355.402444066372
polyak-smoothed,28,polyak-smoothed,28,10294.206732645462,10355.402444066372
polyak-smoothed,29,polyak-smoothed,29,10130.194443923185,10355.402444066372
polyak-smoothed,30,polyak-smoothed,30,10309.189919527182,10355.402444066372
polyak-smoothed,31,polyak-smoothed,31,10323.939683703451,10355.402444066372
polyak-smoothed,32,polyak-smoothed,32,10393.260090235837,10393.260090235837
polyak-smoothed,33,polyak-smoothed,33,10372.688521746501,10393.260090235837
polyak-smoothed,34,polyak-smoothed,34,10196.369371428886,10393.260090235837
polyak-smoothed,35,polyak-smoothed,35,10336.620532232615,10393.260090235837
polyak-smoothed,36,polyak-smoothed,36,10346.312116707813,10393.260090235837
polyak-smoothed,37,polyak-smoothed,37,10420.836370722098,10420.836370722098
polyak-smoothed,38,polyak-smoothed,38,10430.517109038015,10430.517109038015
polyak-smoothed,39,polyak-smoothed,39,10352.834304560685,10430.517109038015
