strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,9029,9029
polyak,2,polyak,2,8253.0000000000018,9029
polyak,3,polyak,3,8713.3683473389392,9029
polyak,4,polyak,4,9226.5251252016023,9226.5251252016023
polyak,5,polyak,5,9132.4203189693471,9226.5251252016023
polyak,6,polyak,6,9342.499236647529,9342.499236647529
polyak,7,polyak,7,9191.5346133192397,9342.499236647529
polyak,8,polyak,8,9114.8861841169619,9342.499236647529
polyak,9,polyak,9,9544.5404427180219,9544.5404427180219
polyak,10,polyak,10,9564.2777078399995,9564.2777078399995
polyak,11,polyak,11,9662.2877960582773,9662.2877960582773
polyak,12,polyak,12,9441.1004014162409,9662.2877960582773
polyak,13,polyak,13,9705.7812092163804,9705.7812092163804
polyak,14,polyak,14,9555.0718325976504,9705.7812092163804
polyak,15,polyak,15,9528.7774894028535,9705.7812092163804
polyak,16,polyak,16,9857.0934313913494,9857.0934313913494
polyak,17,polyak,17,9993.9202358199491,9993.9202358199491
polyak,18,polyak,18,9912.6618585517899,9993.9202358199491
polyak,19,polyak,19,10106.234221105513,10106.234221105513
polyak,20,polyak,20,9802.2903055468432,10106.234221105513
polyak,21,polyak,21,10113.338131382056,10113.338131382056
polyak,22,polyak,22,10088.43311191578,10113.338131382056
polyak,23,polyak,23,10186.090039908824,10186.090039908824
polyak,24,polyak,24,10120.280782073853,10186.090039908824
polyak,25,polyak,25,10086.739503099978,10186.090039908824
polyak,26,polyak,26,10151.833453743075,10186.090039908824
polyak,27,polyak,27,10192.933524707661,10192.933524707661
polyak,28,polyak,28,10177.001502589752,10192.933524707661
polyak,29,polyak,29,10203.82649969713,10203.82649969713
polyak,30,polyak,30,10163.604270975595,10203.82649969713
polyak,31,polyak,31,10244.078543332587,10244.078543332587
polyak,32,polyak,32,10198.676046673987,10244.078543332587
polyak,33,polyak,33,10235.1275700888,10244.078543332587
polyak,34,polyak,34,10170.629158318683,10244.078543332587
polyak,35,polyak,35,10316.95040780926,10316.95040780926
polyak,36,polyak,36,10251.227764702027,10316.95040780926
polyak,37,polyak,37,10340.698047989092,10340.698047989092
polyak,38,polyak,38,10200.344338280122,10340.698047989092
polyak,39,polyak,39,10224.521374277349,10340.698047989092
polyak,40,polyak,40,10306.127843590781,10340.698047989092
polyak,41,polyak,41,10265.24933779088,10340.698047989092
polyak,42,polyak,42,10198.635051112145,10340.698047989092
polyak,43,polyak,43,10211.036796124687,10340.698047989092
polyak,44,polyak,44,10198.903161507695,10340.698047989092
polyak,45,polyak,45,10207.391266235329,10340.698047989092
polyak,46,polyak,46,10295.526738065437,10340.698047989092
