strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
helsgaun,1,helsgaun,1,1375,1375
helsgaun,2,helsgaun,2,1396,1396
helsgaun,3,helsgaun,3,1427,1427
helsgaun,4,helsgaun,4,1460.3999999999999,1460.3999999999999
helsgaun,5,helsgaun,5,1502.8,1502.8
helsgaun,6,helsgaun,6,1502.5999999999999,1502.8
helsgaun,7,helsgaun,7,1486.8,1502.8
helsgaun,8,helsgaun,8,1532.2,1532.2
helsgaun,9,helsgaun,9,1493.2,1532.2
helsgaun,10,helsgaun,10,1502.0000000000002,1532.2
helsgaun,11,helsgaun,11,1484.2000000000003,1532.2
helsgaun,12,helsgaun,12,1486.2000000000003,1532.2
helsgaun,13,helsgaun,13,1527.3999999999999,1532.2
helsgaun,14,helsgaun,14,1503.4000000000001,1532.2
helsgaun,15,helsgaun,15,1533,1533
helsgaun,16,helsgaun,16,1555,1555
helsgaun,17,helsgaun,17,1582.5999999999999,1582.5999999999999
helsgaun,18,helsgaun,18,1588.8,1588.8
helsgaun,19,helsgaun,19,1588.8000000000002,1588.8
helsgaun,20,helsgaun,20,1589.6000000000001,1589.6000000000001
helsgaun,21,helsgaun,21,1591.4000000000001,1591.4000000000001
helsgaun,22,helsgaun,22,1595.0000000000002,1595.0000000000002
helsgaun,23,helsgaun,23,1599.8000000000004,1599.8000000000004
helsgaun,24,helsgaun,24,1598.2,1599.8000000000004
helsgaun,25,helsgaun,25,1601.2,1601.2
helsgaun,26,helsgaun,26,1600.8000000000004,1601.2
helsgaun,27,helsgaun,27,1603.8000000000004,1603.8000000000004
helsgaun,28,helsgaun,28,1602.4000000000003,1603.8000000000004
helsgaun,29,helsgaun,29,1605.8000000000002,1605.8000000000002
helsgaun,30,helsgaun,30,1606.8000000000004,1606.8000000000004
helsgaun,31,helsgaun,31,1605.2000000000005,1606.8000000000004
helsgaun,32,helsgaun,32,1604.8000000000004,1606.8000000000004
helsgaun,33,helsgaun,33,1606.6000000000006,1606.8000000000004
helsgaun,34,helsgaun,34,1605.6000000000004,1606.8000000000004
helsgaun,35,helsgaun,35,1607.5000000000005,1607.5000000000005
helsgaun,36,helsgaun,36,1606.1000000000004,1607.5000000000005
helsgaun,37,helsgaun,37,1606.2000000000003,1607.5000000000005
