strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,1375,1375
hybrid-reverse,2,helsgaun,2,1396,1396
hybrid-reverse,3,helsgaun,3,1427,1427
hybrid-reverse,4,helsgaun,4,1460.3999999999999,1460.3999999999999
hybrid-reverse,5,helsgaun,5,1502.8,1502.8
hybrid-reverse,6,helsgaun,6,1502.5999999999999,1502.8
hybrid-reverse,7,helsgaun,7,1486.8,1502.8
hybrid-reverse,8,helsgaun,8,1532.2,1532.2
hybrid-reverse,9,helsgaun,9,1493.2,1532.2
hybrid-reverse,10,helsgaun,10,1502.0000000000002,1532.2
hybrid-reverse,11,helsgaun,11,1484.2000000000003,1532.2
hybrid-reverse,12,helsgaun,12,1486.2000000000003,1532.2
hybrid-reverse,13,helsgaun,13,1527.3999999999999,1532.2
hybrid-reverse,14,helsgaun,14,1503.4000000000001,1532.2
hybrid-reverse,15,helsgaun,15,1533,1533
hybrid-reverse,16,helsgaun,16,1555,1555
hybrid-reverse,17,helsgaun,17,1582.5999999999999,1582.5999999999999
hybrid-reverse,18,helsgaun,18,1588.8,1588.8
hybrid-reverse,19,helsgaun,19,1588.8000000000002,1588.8
hybrid-reverse,20,helsgaun,20,1589.6000000000001,1589.6000000000001
hybrid-reverse,21,helsgaun,21,1591.4000000000001,1591.4000000000001
hybrid-reverse,22,helsgaun,22,1595.0000000000002,1595.0000000000002
hybrid-reverse,23,helsgaun,23,1599.8000000000004,1599.8000000000004
hybrid-reverse,24,helsgaun,24,1598.2,1599.8000000000004
hybrid-reverse,25,helsgaun,25,1601.2,1601.2
hybrid-reverse,26,helsgaun,26,1600.8000000000004,1601.2
hybrid-reverse,27,helsgaun,27,1603.8000000000004,1603.8000000000004
hybrid-reverse,28,helsgaun,28,1602.4000000000003,1603.8000000000004
hybrid-reverse,29,helsgaun,29,1605.8000000000002,1605.8000000000002
hybrid-reverse,30,helsgaun,30,1606.8000000000004,1606.8000000000004
hybrid-reverse,31,helsgaun,31,1605.2000000000005,1606.8000000000004
hybrid-reverse,32,helsgaun,32,1604.8000000000004,1606.8000000000004
hybrid-reverse,33,helsgaun,33,1606.6000000000006,1606.8000000000004
hybrid-reverse,34,helsgaun,34,1605.6000000000004,1606.8000000000004
hybrid-reverse,35,helsgaun,35,1607.5000000000005,1607.5000000000005
hybrid-reverse,36,helsgaun,36,1606.1000000000004,1607.5000000000005
hybrid-reverse,37,helsgaun,37,1606.2000000000003,1607.5000000000005
hybrid-reverse,38,polyak,1,1607.5000000000005,1607.5000000000005
hybrid-reverse,39,polyak,2,1601.5000000000018,1607.5000000000005
hybrid-reverse,40,polyak,3,1604.0000000000014,1607.5000000000005
hybrid-reverse,41,polyak,4,1597.8666666666697,1607.5000000000005
hybrid-reverse,42,polyak,5,1597.4666666666706,1607.5000000000005
hybrid-reverse,43,polyak,6,1597.3333333333383,1607.5000000000005
hybrid-reverse,44,polyak,7,1597.4000000000055,1607.5000000000005
hybrid-reverse,45,polyak,8,1603.9611111111144,1607.5000000000005
hybrid-reverse,46,polyak,9,1602.7083333333364,1607.5000000000005
hybrid-reverse,47,polyak,10,1598.0138888888939,1607.5000000000005
hybrid-reverse,48,polyak,11,1600.9148148148201,1607.5000000000005
hybrid-reverse,49,polyak,12,1600.4625000000053,1607.5000000000005
hybrid-reverse,50,polyak,13,1602.2150077160522,1607.5000000000005
hybrid-reverse,51,polyak,14,1598.2150077160525,1607.5000000000005
hybrid-reverse,52,polyak,15,1605.0233314043221,1607.5000000000005
hybrid-reverse,53,polyak,16,1604.6820746527796,1607.5000000000005
hybrid-reverse,54,polyak,17,1606.0923562885807,1607.5000000000005
hybrid-reverse,55,polyak,18,1606.4532395351073,1607.5000000000005
hybrid-reverse,56,polyak,19,1606.0000000000005,1607.5000000000005
hybrid-reverse,57,polyak,20,1606.0000000000005,1607.5000000000005
hybrid-reverse,58,polyak,21,1606.0000000000005,1607.5000000000005
hybrid-reverse,59,polyak,22,1606.0000000000005,1607.5000000000005
hybrid-reverse,60,polyak,23,1606.0000000000005,1607.5000000000005
hybrid-reverse,61,polyak,24,1606.0000000000005,1607.5000000000005
hybrid-reverse,62,polyak,25,1606.0000000000005,1607.5000000000005
hybrid-reverse,63,polyak,26,1606.0000000000005,1607.5000000000005
hybrid-reverse,64,polyak,27,1607.3410373263898,1607.5000000000005
hybrid-reverse,65,polyak,28,1607.3294813368054,1607.5000000000005
hybrid-reverse,66,polyak,29,1607.3352593315976,1607.5000000000005
hybrid-reverse,67,polyak,30,1607.3323703342016,1607.5000000000005
hybrid-reverse,68,polyak,31,1607.3338148328996,1607.5000000000005
hybrid-reverse,69,polyak,32,1607.3330925835505,1607.5000000000005
