strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,1375,1375
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,1314.2727272727273,1375
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,1389.8263161034981,1389.8263161034981
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,1477.1426314114747,1477.1426314114747
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,1540.6935740471567,1540.6935740471567
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,1547.2064230800327,1547.2064230800327
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,1577.8901897834769,1577.8901897834769
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,1582.9244744124082,1582.9244744124082
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,1584.940022606276,1584.940022606276
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,1587.9492113527308,1587.9492113527308
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,1601.3402892588397,1601.3402892588397
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,1602.5632465446733,1602.5632465446733
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,1599.867594182138,1602.5632465446733
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,1599.5936732683854,1602.5632465446733
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,1603.7006117585738,1603.7006117585738
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,1604.0856650687394,1604.0856650687394
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,1602.595219065267,1604.0856650687394
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,1607.0054385408137,1607.0054385408137
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,1602.378870111718,1607.0054385408137
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,1603.3671355223462,1607.0054385408137
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,1601.8815143864501,1607.0054385408137
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,1603.1244070675725,1607.0054385408137
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,1603.2822321032347,1607.0054385408137
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,1604.5557363644587,1607.0054385408137
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,1604.7317940054529,1607.0054385408137
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,1604.1494844440551,1607.0054385408137
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,1607.1836734302713,1607.1836734302713
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,1603.9137299539079,1607.1836734302713
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,1607.1986069163404,1607.1986069163404
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,1606.8851211184813,1607.1986069163404
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,1601.158845725573,1607.1986069163404
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,1605.392207563172,1607.1986069163404
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,1603.2879737083258,1607.1986069163404
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,1601.2673692057576,1607.1986069163404
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,1605.231953270064,1607.1986069163404
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,1605.2133360643536,1607.1986069163404
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,1601.8042408074939,1607.1986069163404
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,1599.0007860941539,1607.1986069163404
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,1601.7157452951662,1607.1986069163404
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,1601.8855027739742,1607.1986069163404
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,1600.7849721819091,1607.1986069163404
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,1604.1324965767481,1607.1986069163404
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,1606.5932079169756,1607.1986069163404
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,1606.7296118720183,1607.1986069163404
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,1605.5428220207143,1607.1986069163404
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,1606.6366855204001,1607.1986069163404
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,1607.3530034374473,1607.3530034374473
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,1604.951235000274,1607.3530034374473
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,1606.2394213455827,1607.3530034374473
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,1607.3621594574493,1607.3621594574493
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,1607.1540552373663,1607.3621594574493
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,1607.1540552373663,1607.3621594574493
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,1606.0000000000002,1607.3621594574493
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,1607.516929207701,1607.516929207701
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,1607.2550787623106,1607.516929207701
polyak-smoothed-dynamic,67,polyak-smoothed-dynamic,67,1607.4081269221681,1607.516929207701
polyak-smoothed-dynamic,68,polyak-smoothed-dynamic,68,1607.006636881149,1607.516929207701
polyak-smoothed-dynamic,69,polyak-smoothed-dynamic,69,1607.4602152666773,1607.516929207701
polyak-smoothed-dynamic,70,polyak-smoothed-dynamic,70,1607.1837506072568,1607.516929207701
polyak-smoothed-dynamic,71,polyak-smoothed-dynamic,71,1607.4396413722043,1607.516929207701
polyak-smoothed-dynamic,72,polyak-smoothed-dynamic,72,1607.0624545169449,1607.516929207701
polyak-smoothed-dynamic,73,polyak-smoothed-dynamic,73,1607.4439171968384,1607.516929207701
polyak-smoothed-dynamic,74,polyak-smoothed-dynamic,74,1607.1425797230379,1607.516929207701
polyak-smoothed-dynamic,75,polyak-smoothed-dynamic,75,1607.4471473012834,1607.516929207701
polyak-smoothed-dynamic,76,polyak-smoothed-dynamic,76,1607.0914673704108,1607.516929207701
polyak-smoothed-dynamic,77,polyak-smoothed-dynamic,77,1607.4412143069471,1607.516929207701
polyak-smoothed-dynamic,78,polyak-smoothed-dynamic,78,1607.1229105013174,1607.516929207701
polyak-smoothed-dynamic,79,polyak-smoothed-dynamic,79,1607.555319844284,1607.555319844284
polyak-smoothed-dynamic,80,polyak-smoothed-dynamic,80,1607.7939956261416,1607.7939956261416
polyak-smoothed-dynamic,81,polyak-smoothed-dynamic,81,1607.7475818754667,1607.7939956261416
polyak-smoothed-dynamic,82,polyak-smoothed-dynamic,82,1607.7636431553201,1607.7939956261416
polyak-smoothed-dynamic,83,polyak-smoothed-dynamic,83,1607.6254332305016,1607.7939956261416
polyak-smoothed-dynamic,84,polyak-smoothed-dynamic,84,1607.7165349919665,1607.7939956261416
polyak-smoothed-dynamic,85,polyak-smoothed-dynamic,85,1607.5266553539814,1607.7939956261416
polyak-smoothed-dynamic,86,polyak-smoothed-dynamic,86,1607.7355713349532,1607.7939956261416
polyak-smoothed-dynamic,87,polyak-smoothed-dynamic,87,1607.6983214987856,1607.7939956261416
polyak-smoothed-dynamic,88,polyak-smoothed-dynamic,88,1607.6983214987856,1607.7939956261416
polyak-smoothed-dynamic,89,polyak-smoothed-dynamic,89,1607.7262588759111,1607.7939956261416
polyak-smoothed-dynamic,90,polyak-smoothed-dynamic,90,1607.7262588759111,1607.7939956261416
polyak-smoothed-dynamic,91,polyak-smoothed-dynamic,91,1607.705305843067,1607.7939956261416
polyak-smoothed-dynamic,92,polyak-smoothed-dynamic,92,1607.705305843067,1607.7939956261416
polyak-smoothed-dynamic,93,polyak-smoothed-dynamic,93,1607.7210206177003,1607.7939956261416
polyak-smoothed-dynamic,94,polyak-smoothed-dynamic,94,1607.7210206177003,1607.7939956261416
polyak-smoothed-dynamic,95,polyak-smoothed-dynamic,95,1607.9113195335301,1607.9113195335301
polyak-smoothed-dynamic,96,polyak-smoothed-dynamic,96,1607.7411980301149,1607.9113195335301
polyak-smoothed-dynamic,97,polyak-smoothed-dynamic,97,1607.8365951334097,1607.9113195335301
polyak-smoothed-dynamic,98,polyak-smoothed-dynamic,98,1607.8929792582669,1607.9113195335301
polyak-smoothed-dynamic,99,polyak-smoothed-dynamic,99,1607.8929792582669,1607.9113195335301
polyak-smoothed-dynamic,100,polyak-smoothed-dynamic,100,1607.8436431490168,1607.9113195335301
