strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,1375,1375
polyak-smoothed,2,polyak-smoothed,2,1314.2727272727273,1375
polyak-smoothed,3,polyak-smoothed,3,1409.4568181818183,1409.4568181818183
polyak-smoothed,4,polyak-smoothed,4,1448.1065734265733,1448.1065734265733
polyak-smoothed,5,polyak-smoothed,5,1529.688833757152,1529.688833757152
polyak-smoothed,6,polyak-smoothed,6,1537.5708181924133,1537.5708181924133
polyak-smoothed,7,polyak-smoothed,7,1574.3106149338666,1574.3106149338666
polyak-smoothed,8,polyak-smoothed,8,1583.1068394268884,1583.1068394268884
polyak-smoothed,9,polyak-smoothed,9,1591.9283135465575,1591.9283135465575
polyak-smoothed,10,polyak-smoothed,10,1595.2416801137247,1595.2416801137247
polyak-smoothed,11,polyak-smoothed,11,1600.6012926251387,1600.6012926251387
polyak-smoothed,12,polyak-smoothed,12,1600.837713438181,1600.837713438181
polyak-smoothed,13,polyak-smoothed,13,1601.6533450972192,1601.6533450972192
polyak-smoothed,14,polyak-smoothed,14,1597.8555264493966,1601.6533450972192
polyak-smoothed,15,polyak-smoothed,15,1602.689343466441,1602.689343466441
polyak-smoothed,16,polyak-smoothed,16,1603.1995085734559,1603.1995085734559
polyak-smoothed,17,polyak-smoothed,17,1605.161028564343,1605.161028564343
polyak-smoothed,18,polyak-smoothed,18,1606.1524666474672,1606.1524666474672
polyak-smoothed,19,polyak-smoothed,19,1605.615246664747,1606.1524666474672
polyak-smoothed,20,polyak-smoothed,20,1606.8769506670508,1606.8769506670508
polyak-smoothed,21,polyak-smoothed,21,1606.6246098665902,1606.8769506670508
polyak-smoothed,22,polyak-smoothed,22,1606.6750780266823,1606.8769506670508
polyak-smoothed,23,polyak-smoothed,23,1606.6649843946639,1606.8769506670508
polyak-smoothed,24,polyak-smoothed,24,1606.6670031210674,1606.8769506670508
polyak-smoothed,25,polyak-smoothed,25,1606.6665993757867,1606.8769506670508
polyak-smoothed,26,polyak-smoothed,26,1606.6666801248432,1606.8769506670508
polyak-smoothed,27,polyak-smoothed,27,1606.666663975032,1606.8769506670508
polyak-smoothed,28,polyak-smoothed,28,1606.6666672049939,1606.8769506670508
polyak-smoothed,29,polyak-smoothed,29,1606.6666665590014,1606.8769506670508
polyak-smoothed,30,polyak-smoothed,30,1606.6666666881999,1606.8769506670508
polyak-smoothed,31,polyak-smoothed,31,1606.6666666623603,1606.8769506670508
polyak-smoothed,32,polyak-smoothed,32,1606.6666666675285,1606.8769506670508
polyak-smoothed,33,polyak-smoothed,33,1606.6666666664948,1606.8769506670508
polyak-smoothed,34,polyak-smoothed,34,1607.250293335974,1607.250293335974
polyak-smoothed,35,polyak-smoothed,35,1606.5114162114223,1607.250293335974
polyak-smoothed,36,polyak-smoothed,36,1607.139906750233,1607.250293335974
polyak-smoothed,37,polyak-smoothed,37,1607.4502386354727,1607.4502386354727
polyak-smoothed,38,polyak-smoothed,38,1606.4230390491077,1607.4502386354727
polyak-smoothed,39,polyak-smoothed,39,1607.1274647880734,1607.4502386354727
polyak-smoothed,40,polyak-smoothed,40,1605.1420533112821,1607.4502386354727
polyak-smoothed,41,polyak-smoothed,41,1606.4916046153987,1607.4502386354727
polyak-smoothed,42,polyak-smoothed,42,1604.7850786753063,1607.4502386354727
polyak-smoothed,43,polyak-smoothed,43,1607.2502126908648,1607.4502386354727
polyak-smoothed,44,polyak-smoothed,44,1606.9751190074337,1607.4502386354727
polyak-smoothed,45,polyak-smoothed,45,1607.0790621662472,1607.4502386354727
polyak-smoothed,46,polyak-smoothed,46,1606.5196553180986,1607.4502386354727
polyak-smoothed,47,polyak-smoothed,47,1607.5723502865067,1607.5723502865067
polyak-smoothed,48,polyak-smoothed,48,1606.0000000000005,1607.5723502865067
polyak-smoothed,49,polyak-smoothed,49,1607.303606024549,1607.5723502865067
polyak-smoothed,50,polyak-smoothed,50,1606.1754749702532,1607.5723502865067
polyak-smoothed,51,polyak-smoothed,51,1607.0627476798522,1607.5723502865067
polyak-smoothed,52,polyak-smoothed,52,1605.5846424764954,1607.5723502865067
polyak-smoothed,53,polyak-smoothed,53,1607.2137493668001,1607.5723502865067
polyak-smoothed,54,polyak-smoothed,54,1606.0194059274504,1607.5723502865067
polyak-smoothed,55,polyak-smoothed,55,1607.104602463814,1607.5723502865067
polyak-smoothed,56,polyak-smoothed,56,1605.7011089207358,1607.5723502865067
polyak-smoothed,57,polyak-smoothed,57,1607.1844053080486,1607.5723502865067
polyak-smoothed,58,polyak-smoothed,58,1605.9340521957542,1607.5723502865067
polyak-smoothed,59,polyak-smoothed,59,1607.1260078578516,1607.5723502865067
polyak-smoothed,60,polyak-smoothed,60,1605.7635790799568,1607.5723502865067
polyak-smoothed,61,polyak-smoothed,61,1606.692146764166,1607.5723502865067
polyak-smoothed,62,polyak-smoothed,62,1607.7647520234063,1607.7647520234063
polyak-smoothed,63,polyak-smoothed,63,1607.7507754041326,1607.7647520234063
polyak-smoothed,64,polyak-smoothed,64,1607.6306878320047,1607.7647520234063
polyak-smoothed,65,polyak-smoothed,65,1607.6074977793724,1607.7647520234063
polyak-smoothed,66,polyak-smoothed,66,1607.389741425251,1607.7647520234063
polyak-smoothed,67,polyak-smoothed,67,1607.8924374666931,1607.8924374666931
polyak-smoothed,68,polyak-smoothed,68,1607.6860500266457,1607.8924374666931
polyak-smoothed,69,polyak-smoothed,69,1607.8511599786839,1607.8924374666931
polyak-smoothed,70,polyak-smoothed,70,1607.7190720170533,1607.8924374666931
polyak-smoothed,71,polyak-smoothed,71,1607.8247423863577,1607.8924374666931
polyak-smoothed,72,polyak-smoothed,72,1607.7402060909144,1607.8924374666931
polyak-smoothed,73,polyak-smoothed,73,1607.8078351272688,1607.8924374666931
polyak-smoothed,74,polyak-smoothed,74,1607.7537318981854,1607.8924374666931
polyak-smoothed,75,polyak-smoothed,75,1607.7970144814522,1607.8924374666931
polyak-smoothed,76,polyak-smoothed,76,1607.7623884148388,1607.8924374666931
polyak-smoothed,77,polyak-smoothed,77,1607.7900892681296,1607.8924374666931
polyak-smoothed,78,polyak-smoothed,78,1607.767928585497,1607.8924374666931
polyak-smoothed,79,polyak-smoothed,79,1607.7856571316029,1607.8924374666931
polyak-smoothed,80,polyak-smoothed,80,1607.7714742947178,1607.8924374666931
polyak-smoothed,81,polyak-smoothed,81,1607.9282951663586,1607.9282951663586
polyak-smoothed,82,polyak-smoothed,82,1607.4207349621233,1607.9282951663586
polyak-smoothed,83,polyak-smoothed,83,1607.7604308083869,1607.9282951663586
polyak-smoothed,84,polyak-smoothed,84,1607.4967561078947,1607.9282951663586
polyak-smoothed,85,polyak-smoothed,85,1607.8048390883159,1607.9282951663586
polyak-smoothed,86,polyak-smoothed,86,1607.4456205606439,1607.9282951663586
polyak-smoothed,87,polyak-smoothed,87,1607.7740896557316,1607.9282951663586
polyak-smoothed,88,polyak-smoothed,88,1607.4797314045577,1607.9282951663586
polyak-smoothed,89,polyak-smoothed,89,1607.795446187974,1607.9282951663586
polyak-smoothed,90,polyak-smoothed,90,1607.4572516746612,1607.9282951663586
polyak-smoothed,91,polyak-smoothed,91,1607.7805527752871,1607.9282951663586
polyak-smoothed,92,polyak-smoothed,92,1607.4718000825737,1607.9282951663586
polyak-smoothed,93,polyak-smoothed,93,1607.7909954144066,1607.9282951663586
polyak-smoothed,94,polyak-smoothed,94,1607.4626459384626,1607.9282951663586
polyak-smoothed,95,polyak-smoothed,95,1607.6370890301932,1607.9282951663586
