instance,strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound,concorde_optimum
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,1,polyak,1,1375,1375,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,2,polyak,2,1314.2727272727273,1375,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,3,polyak,3,1419.6272727272724,1419.6272727272724,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,4,polyak,4,1444.262121212121,1444.262121212121,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,5,polyak,5,1424.216801346801,1444.262121212121,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,6,polyak,6,1482.3040455840453,1482.3040455840453,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,7,polyak,7,1478.2480963480962,1482.3040455840453,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,8,polyak,8,1524.8842971282368,1524.8842971282368,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,9,polyak,9,1533.6563200597884,1533.6563200597884,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,10,polyak,10,1560.960905984382,1560.960905984382,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,11,polyak,11,1582.368924977533,1582.368924977533,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,12,polyak,12,1588.84245796098,1588.84245796098,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,13,polyak,13,1591.8616538849712,1591.8616538849712,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,14,polyak,14,1596.527417061724,1596.527417061724,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,15,polyak,15,1598.4832845301867,1598.4832845301867,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,16,polyak,16,1602.4960640224324,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,17,polyak,17,1600.1177086007951,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,18,polyak,18,1600.7560437123582,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,19,polyak,19,1596.7560437123586,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,20,polyak,20,1592.7560437123589,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,21,polyak,21,1587.1009966999843,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,22,polyak,22,1599.9551296454563,1602.4960640224324,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,23,polyak,23,1603.276106790433,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,24,polyak,24,1593.60992286739,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,25,polyak,25,1596.632018276475,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,26,polyak,26,1603.1512002984282,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,27,polyak,27,1600.9938813452125,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,28,polyak,28,1596.0641717140668,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,29,polyak,29,1601.5863332973711,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,30,polyak,30,1595.6464781168793,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,31,polyak,31,1599.6778988613255,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,32,polyak,32,1594.9138671070834,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,33,polyak,33,1597.59823714505,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,34,polyak,34,1590.6386363221318,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,35,polyak,35,1595.8176585784036,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,36,polyak,36,1594.5093680330681,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,37,polyak,37,1600.6140764499817,1603.276106790433,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,38,polyak,38,1604.0845287862337,1604.0845287862337,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,39,polyak,39,1604.4627837337559,1604.4627837337559,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,40,polyak,40,1605.7665155045322,1605.7665155045322,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,41,polyak,41,1606.3223902658353,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,42,polyak,42,1604.3587959056417,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,43,polyak,43,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,44,polyak,44,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,45,polyak,45,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,46,polyak,46,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,47,polyak,47,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,48,polyak,48,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,49,polyak,49,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,50,polyak,50,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,51,polyak,51,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,52,polyak,52,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,53,polyak,53,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,54,polyak,54,1606.0000000000005,1606.3223902658353,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,55,polyak,55,1607.7698604222387,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,56,polyak,56,1607.1150697888811,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,57,polyak,57,1607.4424651055599,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,58,polyak,58,1607.2787674472206,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,59,polyak,59,1607.3606162763904,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,60,polyak,60,1607.3196918618055,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,61,polyak,61,1607.3401540690979,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,62,polyak,62,1607.3299229654517,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,63,polyak,63,1607.3350385172748,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,64,polyak,64,1607.3324807413633,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,65,polyak,65,1607.333759629319,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,66,polyak,66,1607.3331201853412,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,67,polyak,67,1607.3334399073301,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,68,polyak,68,1607.3332800463356,1607.7698604222387,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,69,polyak,69,1607.8583071095325,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,70,polyak,70,1607.5419215212873,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,71,polyak,71,1607.8068218965502,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,72,polyak,72,1607.6448835775882,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,73,polyak,73,1607.7663373168095,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,74,polyak,74,1607.6752470123934,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,75,polyak,75,1607.7435647407056,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,76,polyak,76,1607.6923264444715,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,77,polyak,77,1607.730755166647,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,78,polyak,78,1607.7019336250153,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,79,polyak,79,1607.7235497812392,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,80,polyak,80,1607.7073376640712,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,81,polyak,81,1607.7194967519472,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,82,polyak,82,1607.7088661064702,1607.8583071095325,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,83,polyak,83,1607.930373264697,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,84,polyak,84,1607.8109233933906,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,85,polyak,85,1607.9154420307837,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,86,polyak,86,1607.8239882230648,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,87,polyak,87,1607.9040103048187,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,88,polyak,88,1607.8339909832841,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,89,polyak,89,1607.8952578896269,1607.930373264697,1610
/Users/a/Ayanami/code/TSP/data/classic/tsplib/bayg29.tsp,polyak,90,polyak,90,1607.8416493465768,1607.930373264697,1610
