strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,1622,1622
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,1545.1428571428573,1622
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,1639.4374022773643,1639.4374022773643
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,1794.9893713665456,1794.9893713665456
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,1832.2244978492929,1832.2244978492929
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,1916.1479982556307,1916.1479982556307
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,1930.3469791983459,1930.3469791983459
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,1956.4582403456961,1956.4582403456961
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,1949.2270704341136,1956.4582403456961
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,1984.3005502613028,1984.3005502613028
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,1978.912558933004,1984.3005502613028
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,1999.7559277628495,1999.7559277628495
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,2007.0494239212035,2007.0494239212035
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,1999.8700785781571,2007.0494239212035
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,2002.3656246039352,2007.0494239212035
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,2005.0482318966758,2007.0494239212035
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,2006.6140149469352,2007.0494239212035
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,1991.6056389333753,2007.0494239212035
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,2005.812081920501,2007.0494239212035
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,1999.2127066025002,2007.0494239212035
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,2001.1943251627679,2007.0494239212035
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,2003.9847335336983,2007.0494239212035
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,2000.7607288202455,2007.0494239212035
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,1998.2163107233446,2007.0494239212035
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,1996.4501793151851,2007.0494239212035
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,2003.5136229203456,2007.0494239212035
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,2005.9448675221815,2007.0494239212035
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,2006.2798264740441,2007.0494239212035
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,2007.1639265458307,2007.1639265458307
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,2009.6194244941316,2009.6194244941316
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,2006.9844235149537,2009.6194244941316
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,2009.2097447494973,2009.6194244941316
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,2009.3793158978874,2009.6194244941316
