strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid-reverse,1,helsgaun,1,6172,6172
hybrid-reverse,2,helsgaun,2,6198,6198
hybrid-reverse,3,helsgaun,3,6246,6246
hybrid-reverse,4,helsgaun,4,6325,6325
hybrid-reverse,5,helsgaun,5,6474.1999999999998,6474.1999999999998
hybrid-reverse,6,helsgaun,6,6660.2000000000007,6660.2000000000007
hybrid-reverse,7,helsgaun,7,6899.6000000000004,6899.6000000000004
hybrid-reverse,8,helsgaun,8,6214.3999999999987,6899.6000000000004
hybrid-reverse,9,helsgaun,9,6281.2000000000007,6899.6000000000004
hybrid-reverse,10,helsgaun,10,5926.3999999999996,6899.6000000000004
hybrid-reverse,11,helsgaun,11,5907.7999999999993,6899.6000000000004
hybrid-reverse,12,helsgaun,12,5596.2000000000007,6899.6000000000004
hybrid-reverse,13,helsgaun,13,5745,6899.6000000000004
hybrid-reverse,14,helsgaun,14,5728,6899.6000000000004
hybrid-reverse,15,helsgaun,15,6134.8000000000011,6899.6000000000004
hybrid-reverse,16,helsgaun,16,5848,6899.6000000000004
hybrid-reverse,17,helsgaun,17,5831.5999999999995,6899.6000000000004
hybrid-reverse,18,helsgaun,18,5594.0000000000009,6899.6000000000004
hybrid-reverse,19,helsgaun,19,5290.8000000000002,6899.6000000000004
hybrid-reverse,20,helsgaun,20,5169.8000000000002,6899.6000000000004
hybrid-reverse,21,helsgaun,21,4902.0000000000009,6899.6000000000004
hybrid-reverse,22,helsgaun,22,5276.2000000000007,6899.6000000000004
hybrid-reverse,23,helsgaun,23,5240.1999999999998,6899.6000000000004
hybrid-reverse,24,helsgaun,24,5279.1999999999998,6899.6000000000004
hybrid-reverse,25,helsgaun,25,5337.9999999999991,6899.6000000000004
hybrid-reverse,26,helsgaun,26,4819.5999999999985,6899.6000000000004
hybrid-reverse,27,helsgaun,27,4938.2000000000007,6899.6000000000004
hybrid-reverse,28,helsgaun,28,5894.7999999999993,6899.6000000000004
hybrid-reverse,29,helsgaun,29,6391.5999999999967,6899.6000000000004
hybrid-reverse,30,helsgaun,30,6692.7999999999993,6899.6000000000004
hybrid-reverse,31,helsgaun,31,6797.4000000000005,6899.6000000000004
hybrid-reverse,32,helsgaun,32,7011.6000000000004,7011.6000000000004
hybrid-reverse,33,helsgaun,33,7058.0000000000009,7058.0000000000009
hybrid-reverse,34,helsgaun,34,7321.6000000000013,7321.6000000000013
hybrid-reverse,35,helsgaun,35,7280.8000000000011,7321.6000000000013
hybrid-reverse,36,helsgaun,36,7304.6000000000004,7321.6000000000013
hybrid-reverse,37,helsgaun,37,7396.7999999999984,7396.7999999999984
hybrid-reverse,38,helsgaun,38,7276.5999999999995,7396.7999999999984
hybrid-reverse,39,helsgaun,39,7333.2000000000007,7396.7999999999984
hybrid-reverse,40,helsgaun,40,7292.3999999999996,7396.7999999999984
hybrid-reverse,41,helsgaun,41,7430.8000000000002,7430.8000000000002
hybrid-reverse,42,helsgaun,42,7487.3999999999987,7487.3999999999987
hybrid-reverse,43,helsgaun,43,7514.7999999999993,7514.7999999999993
hybrid-reverse,44,helsgaun,44,7502.7999999999993,7514.7999999999993
hybrid-reverse,45,helsgaun,45,7526.6000000000013,7526.6000000000013
hybrid-reverse,46,helsgaun,46,7494.6000000000013,7526.6000000000013
hybrid-reverse,47,helsgaun,47,7526.6000000000004,7526.6000000000013
hybrid-reverse,48,helsgaun,48,7525.1999999999989,7526.6000000000013
hybrid-reverse,49,helsgaun,49,7538.4000000000024,7538.4000000000024
hybrid-reverse,50,helsgaun,50,7526.1999999999989,7538.4000000000024
hybrid-reverse,51,helsgaun,51,7533.7999999999993,7538.4000000000024
hybrid-reverse,52,helsgaun,52,7535.9999999999991,7538.4000000000024
hybrid-reverse,53,helsgaun,53,7540.9999999999991,7540.9999999999991
hybrid-reverse,54,helsgaun,54,7535.3999999999996,7540.9999999999991
hybrid-reverse,55,helsgaun,55,7538.5999999999995,7540.9999999999991
hybrid-reverse,56,polyak,1,7540.9999999999991,7540.9999999999991
hybrid-reverse,57,polyak,2,7542,7542
