strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
hybrid,1,polyak,1,6172,6172
hybrid,2,polyak,2,5067.3076923076924,6172
hybrid,3,polyak,3,6034.0706691682308,6172
hybrid,4,polyak,4,6198.5780696268512,6198.5780696268512
hybrid,5,polyak,5,6441.9016416510331,6441.9016416510331
hybrid,6,polyak,6,6821.2455087889057,6821.2455087889057
hybrid,7,polyak,7,7030.2613129537203,7030.2613129537203
hybrid,8,polyak,8,7209.2717064714197,7209.2717064714197
hybrid,9,polyak,9,7299.5712639083522,7299.5712639083522
hybrid,10,polyak,10,7325.7173410364549,7325.7173410364549
hybrid,11,polyak,11,7419.1102933181819,7419.1102933181819
hybrid,12,polyak,12,7445.318428360667,7445.318428360667
hybrid,13,polyak,13,7475.1743192721606,7475.1743192721606
hybrid,14,polyak,14,7514.9029972422522,7514.9029972422522
hybrid,15,polyak,15,7519.5716818627398,7519.5716818627398
hybrid,16,polyak,16,7531.8460860021351,7531.8460860021351
hybrid,17,polyak,17,7541.3386226365456,7541.3386226365456
hybrid,18,polyak,18,7542,7542
hybrid,19,helsgaun,1,7542,7542
