strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,6172,6172
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,5067.3076923076924,6172
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,5941.8502770264522,6172
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,5874.7708917492509,6172
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,6623.652804706885,6623.652804706885
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,6637.9302898157603,6637.9302898157603
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,6998.7879797410906,6998.7879797410906
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,6998.9155253361541,6998.9155253361541
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,7172.6858271431074,7172.6858271431074
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,7306.2275505989928,7306.2275505989928
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,7381.1664417559277,7381.1664417559277
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,7453.1792427719274,7453.1792427719274
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,7462.3182954221547,7462.3182954221547
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,7493.0576721279594,7493.0576721279594
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,7512.3415240728327,7512.3415240728327
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,7524.6325005486206,7524.6325005486206
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,7529.6727613585836,7529.6727613585836
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,7539.6045271227513,7539.6045271227513
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,7541.2821393488166,7541.2821393488166
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,7541.7764772261144,7541.7764772261144
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,7542.0000000000018,7542.0000000000018
