strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,6172,6172
polyak-smoothed,2,polyak-smoothed,2,5067.3076923076924,6172
polyak-smoothed,3,polyak-smoothed,3,5984.8604752970596,6172
polyak-smoothed,4,polyak-smoothed,4,6024.0756267926072,6172
polyak-smoothed,5,polyak-smoothed,5,6501.0700478037425,6501.0700478037425
polyak-smoothed,6,polyak-smoothed,6,6842.3645598953817,6842.3645598953817
polyak-smoothed,7,polyak-smoothed,7,6617.0581527762934,6842.3645598953817
polyak-smoothed,8,polyak-smoothed,8,6916.676509312384,6916.676509312384
polyak-smoothed,9,polyak-smoothed,9,7024.996619225145,7024.996619225145
polyak-smoothed,10,polyak-smoothed,10,7222.1030011297107,7222.1030011297107
polyak-smoothed,11,polyak-smoothed,11,7385.650346002647,7385.650346002647
polyak-smoothed,12,polyak-smoothed,12,7466.92929256155,7466.92929256155
polyak-smoothed,13,polyak-smoothed,13,7505.419615222102,7505.419615222102
polyak-smoothed,14,polyak-smoothed,14,7516.9166744781778,7516.9166744781778
polyak-smoothed,15,polyak-smoothed,15,7526.6346918476884,7526.6346918476884
polyak-smoothed,16,polyak-smoothed,16,7538.5785539242597,7538.5785539242597
polyak-smoothed,17,polyak-smoothed,17,7541.9999999999991,7541.9999999999991
