strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,95331,95331
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,49022.657142857133,95331
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,73196.383945909925,95331
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,83463.258355251426,95331
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,95284.615520875115,95331
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,89804.303695994779,95331
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,89966.227600400816,95331
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,93002.151319562603,95331
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,94155.409741064374,95331
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,99814.182395415599,99814.182395415599
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,100422.20596129702,100422.20596129702
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,98917.068374940602,100422.20596129702
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,102894.33429750291,102894.33429750291
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,98989.871482777467,102894.33429750291
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,105948.0628327546,105948.0628327546
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,105789.34670199636,105948.0628327546
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,107074.36117166275,107074.36117166275
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,108794.92208465103,108794.92208465103
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,110385.9315346113,110385.9315346113
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,111286.4234671891,111286.4234671891
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,111837.54609283796,111837.54609283796
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,111215.25935794163,111837.54609283796
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,112147.67178546992,112147.67178546992
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,113516.25517640503,113516.25517640503
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,111931.46907824576,113516.25517640503
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,112632.63838925316,113516.25517640503
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,113325.18920911463,113516.25517640503
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,113303.048470735,113516.25517640503
polyak-smoothed-dynamic,29,polyak-smoothed-dynamic,29,112568.09048767283,113516.25517640503
polyak-smoothed-dynamic,30,polyak-smoothed-dynamic,30,111999.64903131465,113516.25517640503
polyak-smoothed-dynamic,31,polyak-smoothed-dynamic,31,114147.95590267031,114147.95590267031
polyak-smoothed-dynamic,32,polyak-smoothed-dynamic,32,112921.81335807663,114147.95590267031
polyak-smoothed-dynamic,33,polyak-smoothed-dynamic,33,113070.43855542286,114147.95590267031
polyak-smoothed-dynamic,34,polyak-smoothed-dynamic,34,113510.88315287053,114147.95590267031
polyak-smoothed-dynamic,35,polyak-smoothed-dynamic,35,113302.63215923886,114147.95590267031
polyak-smoothed-dynamic,36,polyak-smoothed-dynamic,36,113342.20065877798,114147.95590267031
polyak-smoothed-dynamic,37,polyak-smoothed-dynamic,37,112681.34643053084,114147.95590267031
polyak-smoothed-dynamic,38,polyak-smoothed-dynamic,38,114270.05165211695,114270.05165211695
polyak-smoothed-dynamic,39,polyak-smoothed-dynamic,39,113537.76150285036,114270.05165211695
polyak-smoothed-dynamic,40,polyak-smoothed-dynamic,40,113409.96642256575,114270.05165211695
polyak-smoothed-dynamic,41,polyak-smoothed-dynamic,41,114039.13408667478,114270.05165211695
polyak-smoothed-dynamic,42,polyak-smoothed-dynamic,42,113071.36390137297,114270.05165211695
polyak-smoothed-dynamic,43,polyak-smoothed-dynamic,43,113657.31009198209,114270.05165211695
polyak-smoothed-dynamic,44,polyak-smoothed-dynamic,44,112537.1260645514,114270.05165211695
polyak-smoothed-dynamic,45,polyak-smoothed-dynamic,45,113922.49307591506,114270.05165211695
polyak-smoothed-dynamic,46,polyak-smoothed-dynamic,46,112561.64292785441,114270.05165211695
polyak-smoothed-dynamic,47,polyak-smoothed-dynamic,47,112047.53150911728,114270.05165211695
polyak-smoothed-dynamic,48,polyak-smoothed-dynamic,48,112503.16970270657,114270.05165211695
polyak-smoothed-dynamic,49,polyak-smoothed-dynamic,49,111349.80876922487,114270.05165211695
polyak-smoothed-dynamic,50,polyak-smoothed-dynamic,50,112240.77889984343,114270.05165211695
polyak-smoothed-dynamic,51,polyak-smoothed-dynamic,51,113346.73978637492,114270.05165211695
polyak-smoothed-dynamic,52,polyak-smoothed-dynamic,52,114341.15513990888,114341.15513990888
polyak-smoothed-dynamic,53,polyak-smoothed-dynamic,53,115620.7586070126,115620.7586070126
polyak-smoothed-dynamic,54,polyak-smoothed-dynamic,54,115895.24742363184,115895.24742363184
polyak-smoothed-dynamic,55,polyak-smoothed-dynamic,55,115790.65290700256,115895.24742363184
polyak-smoothed-dynamic,56,polyak-smoothed-dynamic,56,115905.84860911155,115905.84860911155
polyak-smoothed-dynamic,57,polyak-smoothed-dynamic,57,116361.69412086648,116361.69412086648
polyak-smoothed-dynamic,58,polyak-smoothed-dynamic,58,116144.24620713867,116361.69412086648
polyak-smoothed-dynamic,59,polyak-smoothed-dynamic,59,116095.93302573143,116361.69412086648
polyak-smoothed-dynamic,60,polyak-smoothed-dynamic,60,116113.63536089371,116361.69412086648
polyak-smoothed-dynamic,61,polyak-smoothed-dynamic,61,116270.84564369376,116361.69412086648
polyak-smoothed-dynamic,62,polyak-smoothed-dynamic,62,115532.32999345213,116361.69412086648
polyak-smoothed-dynamic,63,polyak-smoothed-dynamic,63,116092.77916960767,116361.69412086648
polyak-smoothed-dynamic,64,polyak-smoothed-dynamic,64,115479.20767661721,116361.69412086648
polyak-smoothed-dynamic,65,polyak-smoothed-dynamic,65,116076.88127222063,116361.69412086648
polyak-smoothed-dynamic,66,polyak-smoothed-dynamic,66,115903.48594096424,116361.69412086648
polyak-smoothed-dynamic,67,polyak-smoothed-dynamic,67,116165.35044402676,116361.69412086648
polyak-smoothed-dynamic,68,polyak-smoothed-dynamic,68,115561.91389498946,116361.69412086648
polyak-smoothed-dynamic,69,polyak-smoothed-dynamic,69,115907.87361172932,116361.69412086648
polyak-smoothed-dynamic,70,polyak-smoothed-dynamic,70,115992.86221358253,116361.69412086648
polyak-smoothed-dynamic,71,polyak-smoothed-dynamic,71,116344.00117009465,116361.69412086648
polyak-smoothed-dynamic,72,polyak-smoothed-dynamic,72,116639.80731820727,116639.80731820727
polyak-smoothed-dynamic,73,polyak-smoothed-dynamic,73,116692.80536285942,116692.80536285942
