strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,18170,18170
polyak-smoothed,2,polyak-smoothed,2,1659.2142857142894,18170
polyak-smoothed,3,polyak-smoothed,3,11720.746153846154,18170
polyak-smoothed,4,polyak-smoothed,4,12297.645314685311,18170
polyak-smoothed,5,polyak-smoothed,5,15277.750689402905,18170
polyak-smoothed,6,polyak-smoothed,6,14435.028294324335,18170
polyak-smoothed,7,polyak-smoothed,7,15371.916183050918,18170
polyak-smoothed,8,polyak-smoothed,8,18091.622351714548,18170
polyak-smoothed,9,polyak-smoothed,9,18155.971733848492,18170
polyak-smoothed,10,polyak-smoothed,10,18691.016287661147,18691.016287661147
polyak-smoothed,11,polyak-smoothed,11,18888.16559835217,18888.16559835217
polyak-smoothed,12,polyak-smoothed,12,18310.293138825993,18888.16559835217
polyak-smoothed,13,polyak-smoothed,13,19461.510379819676,19461.510379819676
polyak-smoothed,14,polyak-smoothed,14,19764.307285936477,19764.307285936477
polyak-smoothed,15,polyak-smoothed,15,21106.432547717039,21106.432547717039
polyak-smoothed,16,polyak-smoothed,16,19581.504714600691,21106.432547717039
polyak-smoothed,17,polyak-smoothed,17,20404.108114912029,21106.432547717039
polyak-smoothed,18,polyak-smoothed,18,20856.577874409602,21106.432547717039
polyak-smoothed,19,polyak-smoothed,19,20931.245374351554,21106.432547717039
polyak-smoothed,20,polyak-smoothed,20,21449.553805392999,21449.553805392999
polyak-smoothed,21,polyak-smoothed,21,20767.853836345948,21449.553805392999
polyak-smoothed,22,polyak-smoothed,22,20901.217729926102,21449.553805392999
polyak-smoothed,23,polyak-smoothed,23,21572.960758900706,21572.960758900706
polyak-smoothed,24,polyak-smoothed,24,20459.192546564216,21572.960758900706
polyak-smoothed,25,polyak-smoothed,25,21286.611326058355,21572.960758900706
polyak-smoothed,26,polyak-smoothed,26,21689.518547448301,21689.518547448301
polyak-smoothed,27,polyak-smoothed,27,21784.554925015429,21784.554925015429
polyak-smoothed,28,polyak-smoothed,28,21682.290522888095,21784.554925015429
polyak-smoothed,29,polyak-smoothed,29,21258.31761031795,21784.554925015429
polyak-smoothed,30,polyak-smoothed,30,22559.970010458048,22559.970010458048
polyak-smoothed,31,polyak-smoothed,31,21677.009473768776,22559.970010458048
polyak-smoothed,32,polyak-smoothed,32,21464.230429193609,22559.970010458048
polyak-smoothed,33,polyak-smoothed,33,21965.411445173046,22559.970010458048
polyak-smoothed,34,polyak-smoothed,34,22451.281695936559,22559.970010458048
polyak-smoothed,35,polyak-smoothed,35,23004.822157100723,23004.822157100723
polyak-smoothed,36,polyak-smoothed,36,21745.346113743788,23004.822157100723
polyak-smoothed,37,polyak-smoothed,37,21932.404141365339,23004.822157100723
polyak-smoothed,38,polyak-smoothed,38,22568.295981687828,23004.822157100723
polyak-smoothed,39,polyak-smoothed,39,21768.071335311561,23004.822157100723
polyak-smoothed,40,polyak-smoothed,40,22608.796732031398,23004.822157100723
polyak-smoothed,41,polyak-smoothed,41,22944.936681838306,23004.822157100723
polyak-smoothed,42,polyak-smoothed,42,22905.17191770201,23004.822157100723
polyak-smoothed,43,polyak-smoothed,43,22934.698522316918,23004.822157100723
polyak-smoothed,44,polyak-smoothed,44,23089.976794149574,23089.976794149574
polyak-smoothed,45,polyak-smoothed,45,23071.780366429131,23089.976794149574
polyak-smoothed,46,polyak-smoothed,46,22955.67233657734,23089.976794149574
polyak-smoothed,47,polyak-smoothed,47,23270.596562277678,23270.596562277678
polyak-smoothed,48,polyak-smoothed,48,23596.815537861818,23596.815537861818
polyak-smoothed,49,polyak-smoothed,49,23302.950763181725,23596.815537861818
polyak-smoothed,50,polyak-smoothed,50,23743.223397853024,23743.223397853024
polyak-smoothed,51,polyak-smoothed,51,23223.777213401627,23743.223397853024
polyak-smoothed,52,polyak-smoothed,52,23548.224233701407,23743.223397853024
polyak-smoothed,53,polyak-smoothed,53,23602.607195206707,23743.223397853024
polyak-smoothed,54,polyak-smoothed,54,23848.370131976375,23848.370131976375
polyak-smoothed,55,polyak-smoothed,55,23122.412350713985,23848.370131976375
polyak-smoothed,56,polyak-smoothed,56,23915.098718199781,23915.098718199781
polyak-smoothed,57,polyak-smoothed,57,23797.915091389459,23915.098718199781
polyak-smoothed,58,polyak-smoothed,58,23297.87766272041,23915.098718199781
polyak-smoothed,59,polyak-smoothed,59,24068.371411291173,24068.371411291173
polyak-smoothed,60,polyak-smoothed,60,24030.44632166914,24068.371411291173
polyak-smoothed,61,polyak-smoothed,61,24088.057852101665,24088.057852101665
polyak-smoothed,62,polyak-smoothed,62,24410.277987848702,24410.277987848702
polyak-smoothed,63,polyak-smoothed,63,23877.941775978146,24410.277987848702
polyak-smoothed,64,polyak-smoothed,64,24241.628427982603,24410.277987848702
polyak-smoothed,65,polyak-smoothed,65,24341.993093621943,24410.277987848702
polyak-smoothed,66,polyak-smoothed,66,24504.342677086493,24504.342677086493
polyak-smoothed,67,polyak-smoothed,67,23913.119797676569,24504.342677086493
polyak-smoothed,68,polyak-smoothed,68,24391.395167227849,24504.342677086493
polyak-smoothed,69,polyak-smoothed,69,24321.827280537058,24504.342677086493
polyak-smoothed,70,polyak-smoothed,70,24332.585570503794,24504.342677086493
polyak-smoothed,71,polyak-smoothed,71,24687.27293185853,24687.27293185853
polyak-smoothed,72,polyak-smoothed,72,24643.802698096824,24687.27293185853
polyak-smoothed,73,polyak-smoothed,73,24554.074923281594,24687.27293185853
polyak-smoothed,74,polyak-smoothed,74,24588.759245285128,24687.27293185853
polyak-smoothed,75,polyak-smoothed,75,24577.189291347782,24687.27293185853
polyak-smoothed,76,polyak-smoothed,76,24660.465162300676,24687.27293185853
polyak-smoothed,77,polyak-smoothed,77,24475.375587277882,24687.27293185853
polyak-smoothed,78,polyak-smoothed,78,24666.258769193471,24687.27293185853
polyak-smoothed,79,polyak-smoothed,79,24539.940999262803,24687.27293185853
polyak-smoothed,80,polyak-smoothed,80,24753.915106508644,24753.915106508644
polyak-smoothed,81,polyak-smoothed,81,24798.052303040702,24798.052303040702
polyak-smoothed,82,polyak-smoothed,82,24869.64067100978,24869.64067100978
polyak-smoothed,83,polyak-smoothed,83,24994.506481626078,24994.506481626078
polyak-smoothed,84,polyak-smoothed,84,24908.043569465917,24994.506481626078
polyak-smoothed,85,polyak-smoothed,85,24996.7614149412,24996.7614149412
polyak-smoothed,86,polyak-smoothed,86,24985.533010515464,24996.7614149412
polyak-smoothed,87,polyak-smoothed,87,24995.001503194078,24996.7614149412
polyak-smoothed,88,polyak-smoothed,88,24987.878805258759,24996.7614149412
polyak-smoothed,89,polyak-smoothed,89,25024.142331153602,25024.142331153602
polyak-smoothed,90,polyak-smoothed,90,25113.680144614147,25113.680144614147
polyak-smoothed,91,polyak-smoothed,91,25059.816991978416,25113.680144614147
polyak-smoothed,92,polyak-smoothed,92,25068.916247679776,25113.680144614147
polyak-smoothed,93,polyak-smoothed,93,25145.888874598491,25145.888874598491
polyak-smoothed,94,polyak-smoothed,94,25155.72814562593,25155.72814562593
polyak-smoothed,95,polyak-smoothed,95,25010.269939988957,25155.72814562593
polyak-smoothed,96,polyak-smoothed,96,25134.871428565562,25155.72814562593
polyak-smoothed,97,polyak-smoothed,97,25113.715408254371,25155.72814562593
polyak-smoothed,98,polyak-smoothed,98,25140.018380559381,25155.72814562593
polyak-smoothed,99,polyak-smoothed,99,25157.240957012895,25157.240957012895
polyak-smoothed,100,polyak-smoothed,100,25076.189016297441,25157.240957012895
