strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,1940,1940
polyak-smoothed,2,polyak-smoothed,2,1929.2537313432847,1940
polyak-smoothed,3,polyak-smoothed,3,1920.3660644147678,1940
polyak-smoothed,4,polyak-smoothed,4,1910.3551997099526,1940
polyak-smoothed,5,polyak-smoothed,5,1905.4301009387138,1940
polyak-smoothed,6,polyak-smoothed,6,1898.9408077016865,1940
polyak-smoothed,7,polyak-smoothed,7,1898.3271756553659,1940
polyak-smoothed,8,polyak-smoothed,8,1889.8817265114515,1940
polyak-smoothed,9,polyak-smoothed,9,1882.1091312205187,1940
polyak-smoothed,10,polyak-smoothed,10,1868.5865951869791,1940
polyak-smoothed,11,polyak-smoothed,11,1873.3848066227204,1940
polyak-smoothed,12,polyak-smoothed,12,1870.0888165707936,1940
polyak-smoothed,13,polyak-smoothed,13,1860.6321983615642,1940
polyak-smoothed,14,polyak-smoothed,14,1850.1454381263595,1940
polyak-smoothed,15,polyak-smoothed,15,1877.5256586472547,1940
polyak-smoothed,16,polyak-smoothed,16,1891.3284223046678,1940
polyak-smoothed,17,polyak-smoothed,17,1896.1726774807153,1940
polyak-smoothed,18,polyak-smoothed,18,1901.1864400006959,1940
polyak-smoothed,19,polyak-smoothed,19,1908.6547287213236,1940
polyak-smoothed,20,polyak-smoothed,20,1910.5132239263287,1940
polyak-smoothed,21,polyak-smoothed,21,1918.7609852852722,1940
polyak-smoothed,22,polyak-smoothed,22,1919.424925564063,1940
polyak-smoothed,23,polyak-smoothed,23,1920.2485659978156,1940
polyak-smoothed,24,polyak-smoothed,24,1923.3597263701276,1940
polyak-smoothed,25,polyak-smoothed,25,1925.4162507850031,1940
polyak-smoothed,26,polyak-smoothed,26,1923.7135385071715,1940
polyak-smoothed,27,polyak-smoothed,27,1928.4680752498605,1940
polyak-smoothed,28,polyak-smoothed,28,1930.6758943631935,1940
polyak-smoothed,29,polyak-smoothed,29,1932.856870269055,1940
polyak-smoothed,30,polyak-smoothed,30,1933.8895417749591,1940
polyak-smoothed,31,polyak-smoothed,31,1935.0097949855344,1940
polyak-smoothed,32,polyak-smoothed,32,1935.1994016990011,1940
polyak-smoothed,33,polyak-smoothed,33,1935.6998633904393,1940
polyak-smoothed,34,polyak-smoothed,34,1935.311577128932,1940
polyak-smoothed,35,polyak-smoothed,35,1936.371932149204,1940
polyak-smoothed,36,polyak-smoothed,36,1937.3991797574593,1940
polyak-smoothed,37,polyak-smoothed,37,1937.14593619059,1940
polyak-smoothed,38,polyak-smoothed,38,1937.2868600719046,1940
polyak-smoothed,39,polyak-smoothed,39,1938.6022531248802,1940
polyak-smoothed,40,polyak-smoothed,40,1939.3255409423293,1940
polyak-smoothed,41,polyak-smoothed,41,1939.6481114073197,1940
polyak-smoothed,42,polyak-smoothed,42,1939.8181907810706,1940
polyak-smoothed,43,polyak-smoothed,43,1940.0026725936109,1940.0026725936109
polyak-smoothed,44,polyak-smoothed,44,1940.1629882909972,1940.1629882909972
polyak-smoothed,45,polyak-smoothed,45,1940.6235289701299,1940.6235289701299
polyak-smoothed,46,polyak-smoothed,46,1940.4388570764008,1940.6235289701299
polyak-smoothed,47,polyak-smoothed,47,1940.8694302670363,1940.8694302670363
polyak-smoothed,48,polyak-smoothed,48,1940.3568242741933,1940.8694302670363
polyak-smoothed,49,polyak-smoothed,49,1940.742511252738,1940.8694302670363
polyak-smoothed,50,polyak-smoothed,50,1940.6015691829391,1940.8694302670363
polyak-smoothed,51,polyak-smoothed,51,1940.7161172078872,1940.8694302670363
polyak-smoothed,52,polyak-smoothed,52,1940.7402068961496,1940.8694302670363
polyak-smoothed,53,polyak-smoothed,53,1940.7682299705284,1940.8694302670363
polyak-smoothed,54,polyak-smoothed,54,1940.7168245161397,1940.8694302670363
polyak-smoothed,55,polyak-smoothed,55,1941.0114787367038,1941.0114787367038
polyak-smoothed,56,polyak-smoothed,56,1941.2131397873698,1941.2131397873698
polyak-smoothed,57,polyak-smoothed,57,1941.1208380272401,1941.2131397873698
polyak-smoothed,58,polyak-smoothed,58,1940.9627458715579,1941.2131397873698
polyak-smoothed,59,polyak-smoothed,59,1941.1213372815741,1941.2131397873698
polyak-smoothed,60,polyak-smoothed,60,1940.9922003714757,1941.2131397873698
polyak-smoothed,61,polyak-smoothed,61,1940.9911328293379,1941.2131397873698
polyak-smoothed,62,polyak-smoothed,62,1940.9936733248292,1941.2131397873698
polyak-smoothed,63,polyak-smoothed,63,1941.1573944683857,1941.2131397873698
polyak-smoothed,64,polyak-smoothed,64,1941.2497950377747,1941.2497950377747
polyak-smoothed,65,polyak-smoothed,65,1941.1193564352627,1941.2497950377747
polyak-smoothed,66,polyak-smoothed,66,1941.3065840901052,1941.3065840901052
polyak-smoothed,67,polyak-smoothed,67,1941.2816410133603,1941.3065840901052
polyak-smoothed,68,polyak-smoothed,68,1941.0571742973291,1941.3065840901052
polyak-smoothed,69,polyak-smoothed,69,1941.2222797783281,1941.3065840901052
polyak-smoothed,70,polyak-smoothed,70,1941.2179729967988,1941.3065840901052
polyak-smoothed,71,polyak-smoothed,71,1941.2512720127377,1941.3065840901052
polyak-smoothed,72,polyak-smoothed,72,1941.2579152974754,1941.3065840901052
polyak-smoothed,73,polyak-smoothed,73,1941.442347909182,1941.442347909182
polyak-smoothed,74,polyak-smoothed,74,1941.4301837689259,1941.442347909182
polyak-smoothed,75,polyak-smoothed,75,1941.3401063834576,1941.442347909182
polyak-smoothed,76,polyak-smoothed,76,1941.2288012386036,1941.442347909182
polyak-smoothed,77,polyak-smoothed,77,1941.4051805271336,1941.442347909182
polyak-smoothed,78,polyak-smoothed,78,1941.282301241951,1941.442347909182
polyak-smoothed,79,polyak-smoothed,79,1941.2778207905296,1941.442347909182
polyak-smoothed,80,polyak-smoothed,80,1941.1474011941355,1941.442347909182
polyak-smoothed,81,polyak-smoothed,81,1941.3953519588615,1941.442347909182
polyak-smoothed,82,polyak-smoothed,82,1941.298814525564,1941.442347909182
polyak-smoothed,83,polyak-smoothed,83,1941.4237862637394,1941.442347909182
polyak-smoothed,84,polyak-smoothed,84,1941.3170231260333,1941.442347909182
polyak-smoothed,85,polyak-smoothed,85,1941.464367594815,1941.464367594815
polyak-smoothed,86,polyak-smoothed,86,1941.3468241137225,1941.464367594815
polyak-smoothed,87,polyak-smoothed,87,1941.5866231068644,1941.5866231068644
polyak-smoothed,88,polyak-smoothed,88,1941.6582642312678,1941.6582642312678
polyak-smoothed,89,polyak-smoothed,89,1941.3174442376403,1941.6582642312678
polyak-smoothed,90,polyak-smoothed,90,1941.1274562408125,1941.6582642312678
polyak-smoothed,91,polyak-smoothed,91,1941.3163246640479,1941.6582642312678
polyak-smoothed,92,polyak-smoothed,92,1941.4882180593299,1941.6582642312678
polyak-smoothed,93,polyak-smoothed,93,1941.6795736006966,1941.6795736006966
polyak-smoothed,94,polyak-smoothed,94,1941.3578391556603,1941.6795736006966
polyak-smoothed,95,polyak-smoothed,95,1941.4378765257882,1941.6795736006966
polyak-smoothed,96,polyak-smoothed,96,1941.5669779637401,1941.6795736006966
polyak-smoothed,97,polyak-smoothed,97,1941.55574288554,1941.6795736006966
polyak-smoothed,98,polyak-smoothed,98,1941.3378984525489,1941.6795736006966
polyak-smoothed,99,polyak-smoothed,99,1941.3543019348781,1941.6795736006966
polyak-smoothed,100,polyak-smoothed,100,1941.5380518043603,1941.6795736006966
