strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,2542,2542
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,2540.3333333333335,2542
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,2555.8503136872009,2555.8503136872009
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,2746.7537276471458,2746.7537276471458
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,3054.5411713574299,3054.5411713574299
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,3086.4953211053762,3086.4953211053762
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,3239.3604812955505,3239.3604812955505
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,3274.4418676017845,3274.4418676017845
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,3299.8961347637478,3299.8961347637478
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,3299.2077919118378,3299.8961347637478
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,3310.0035254413046,3310.0035254413046
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,3303.4866422060395,3310.0035254413046
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,3314.7602897743818,3314.7602897743818
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,3317.6727475282073,3317.6727475282073
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,3316.6503422940596,3317.6727475282073
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,3318.0540575129667,3318.0540575129667
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,3319.2921210938789,3319.2921210938789
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,3320.3114582020416,3320.3114582020416
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,3322.1246644021066,3322.1246644021066
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,3322.9874929991452,3322.9874929991452
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,3323,3323
