strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,2542,2542
polyak-smoothed,2,polyak-smoothed,2,2540.3333333333335,2542
polyak-smoothed,3,polyak-smoothed,3,2569.6523809523815,2569.6523809523815
polyak-smoothed,4,polyak-smoothed,4,2768.4656547619047,2768.4656547619047
polyak-smoothed,5,polyak-smoothed,5,3041.7695297619052,3041.7695297619052
polyak-smoothed,6,polyak-smoothed,6,3191.6039047619042,3191.6039047619042
polyak-smoothed,7,polyak-smoothed,7,3220.8477977380944,3220.8477977380944
polyak-smoothed,8,polyak-smoothed,8,3288.8118759353747,3288.8118759353747
polyak-smoothed,9,polyak-smoothed,9,3291.0101763934249,3291.0101763934249
polyak-smoothed,10,polyak-smoothed,10,3288.6524709388327,3291.0101763934249
polyak-smoothed,11,polyak-smoothed,11,3313.1221835654205,3313.1221835654205
polyak-smoothed,12,polyak-smoothed,12,3309.0858421020112,3313.1221835654205
polyak-smoothed,13,polyak-smoothed,13,3319.1310544872131,3319.1310544872131
polyak-smoothed,14,polyak-smoothed,14,3319.0640961069635,3319.1310544872131
polyak-smoothed,15,polyak-smoothed,15,3320.0127204610312,3320.0127204610312
polyak-smoothed,16,polyak-smoothed,16,3321.4383589038166,3321.4383589038166
polyak-smoothed,17,polyak-smoothed,17,3322.5560922296822,3322.5560922296822
polyak-smoothed,18,polyak-smoothed,18,3322.5757909321728,3322.5757909321728
polyak-smoothed,19,polyak-smoothed,19,3322.9999999999995,3322.9999999999995
