strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak,1,polyak,1,2542,2542
polyak,2,polyak,2,2540.3333333333335,2542
polyak,3,polyak,3,2511.8333333333339,2542
polyak,4,polyak,4,2927.2142857142867,2927.2142857142867
polyak,5,polyak,5,3100.4234693877556,3100.4234693877556
polyak,6,polyak,6,3165.6649659863947,3165.6649659863947
polyak,7,polyak,7,3173.6621315192747,3173.6621315192747
polyak,8,polyak,8,3260.6282312925177,3260.6282312925177
polyak,9,polyak,9,3262.6683106575974,3262.6683106575974
polyak,10,polyak,10,3293.5564625850343,3293.5564625850343
polyak,11,polyak,11,3298.4615873015878,3298.4615873015878
polyak,12,polyak,12,3299.0453401360546,3299.0453401360546
polyak,13,polyak,13,3301.4615873015873,3301.4615873015873
polyak,14,polyak,14,3303.87783446712,3303.87783446712
polyak,15,polyak,15,3304.4615873015869,3304.4615873015869
polyak,16,polyak,16,3305.0453401360537,3305.0453401360537
polyak,17,polyak,17,3307.4615873015864,3307.4615873015864
polyak,18,polyak,18,3309.8778344671191,3309.8778344671191
polyak,19,polyak,19,3310.461587301586,3310.461587301586
polyak,20,polyak,20,3310.6005895691601,3310.6005895691601
polyak,21,polyak,21,3312.294943310656,3312.294943310656
polyak,22,polyak,22,3312.4339455782301,3312.4339455782301
polyak,23,polyak,23,3312.5729478458043,3312.5729478458043
polyak,24,polyak,24,3313.6005895691596,3313.6005895691596
polyak,25,polyak,25,3314.628231292515,3314.628231292515
polyak,26,polyak,26,3315.4339455782297,3315.4339455782297
polyak,27,polyak,27,3316.4615873015846,3316.4615873015846
polyak,28,polyak,28,3318.2949433106542,3318.2949433106542
polyak,29,polyak,29,3317.8501927437619,3318.2949433106542
polyak,30,polyak,30,3319.0168367346914,3319.0168367346914
polyak,31,polyak,31,3319.6005895691583,3319.6005895691583
polyak,32,polyak,32,3320.1843424036251,3320.1843424036251
polyak,33,polyak,33,3321.4339455782283,3321.4339455782283
polyak,34,polyak,34,3322.4615873015832,3322.4615873015832
polyak,35,polyak,35,3322.8225510204061,3322.8225510204061
polyak,36,polyak,36,3323,3323
