strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed,1,polyak-smoothed,1,5231,5231
polyak-smoothed,2,polyak-smoothed,2,3970.1200000000003,5231
polyak-smoothed,3,polyak-smoothed,3,4825.5426141732287,5231
polyak-smoothed,4,polyak-smoothed,4,5012.4671929241758,5231
polyak-smoothed,5,polyak-smoothed,5,5383.339813035921,5383.339813035921
polyak-smoothed,6,polyak-smoothed,6,5403.3661809722253,5403.3661809722253
polyak-smoothed,7,polyak-smoothed,7,5597.9232247870141,5597.9232247870141
polyak-smoothed,8,polyak-smoothed,8,5674.4482056792076,5674.4482056792076
polyak-smoothed,9,polyak-smoothed,9,5744.7261230043605,5744.7261230043605
polyak-smoothed,10,polyak-smoothed,10,5761.4345457396148,5761.4345457396148
polyak-smoothed,11,polyak-smoothed,11,5794.0614037005216,5794.0614037005216
polyak-smoothed,12,polyak-smoothed,12,5789.2221572668104,5794.0614037005216
polyak-smoothed,13,polyak-smoothed,13,5740.0025887313786,5794.0614037005216
polyak-smoothed,14,polyak-smoothed,14,5773.3329889797033,5794.0614037005216
polyak-smoothed,15,polyak-smoothed,15,5792.0479492130053,5794.0614037005216
polyak-smoothed,16,polyak-smoothed,16,5845.1994636222198,5845.1994636222198
polyak-smoothed,17,polyak-smoothed,17,5779.2541423876946,5845.1994636222198
polyak-smoothed,18,polyak-smoothed,18,5823.9393470522655,5845.1994636222198
polyak-smoothed,19,polyak-smoothed,19,5768.5055560955434,5845.1994636222198
polyak-smoothed,20,polyak-smoothed,20,5840.9576113447074,5845.1994636222198
polyak-smoothed,21,polyak-smoothed,21,5733.7561121177541,5845.1994636222198
polyak-smoothed,22,polyak-smoothed,22,5842.530932273412,5845.1994636222198
polyak-smoothed,23,polyak-smoothed,23,5806.7729451192254,5845.1994636222198
polyak-smoothed,24,polyak-smoothed,24,5815.8321761150655,5845.1994636222198
polyak-smoothed,25,polyak-smoothed,25,5803.0656716812364,5845.1994636222198
polyak-smoothed,26,polyak-smoothed,26,5854.4255002866948,5854.4255002866948
polyak-smoothed,27,polyak-smoothed,27,5816.3147122248829,5854.4255002866948
polyak-smoothed,28,polyak-smoothed,28,5858.3872728080933,5858.3872728080933
polyak-smoothed,29,polyak-smoothed,29,5868.925471073876,5868.925471073876
polyak-smoothed,30,polyak-smoothed,30,5841.6600010682196,5868.925471073876
polyak-smoothed,31,polyak-smoothed,31,5839.9705277312542,5868.925471073876
polyak-smoothed,32,polyak-smoothed,32,5858.1016899361393,5868.925471073876
polyak-smoothed,33,polyak-smoothed,33,5851.7396865211467,5868.925471073876
polyak-smoothed,34,polyak-smoothed,34,5777.2368710744458,5868.925471073876
polyak-smoothed,35,polyak-smoothed,35,5880.9100355500868,5880.9100355500868
polyak-smoothed,36,polyak-smoothed,36,5766.4476343903498,5880.9100355500868
polyak-smoothed,37,polyak-smoothed,37,5802.558989129011,5880.9100355500868
polyak-smoothed,38,polyak-smoothed,38,5822.7628694822315,5880.9100355500868
polyak-smoothed,39,polyak-smoothed,39,5756.8253679657155,5880.9100355500868
polyak-smoothed,40,polyak-smoothed,40,5822.3544123952279,5880.9100355500868
polyak-smoothed,41,polyak-smoothed,41,5862.2363315598332,5880.9100355500868
polyak-smoothed,42,polyak-smoothed,42,5814.3753172446941,5880.9100355500868
polyak-smoothed,43,polyak-smoothed,43,5778.2953185023225,5880.9100355500868
polyak-smoothed,44,polyak-smoothed,44,5818.1837608156875,5880.9100355500868
polyak-smoothed,45,polyak-smoothed,45,5823.4659468634991,5880.9100355500868
polyak-smoothed,46,polyak-smoothed,46,5866.7443757478241,5880.9100355500868
polyak-smoothed,47,polyak-smoothed,47,5783.9446077363491,5880.9100355500868
polyak-smoothed,48,polyak-smoothed,48,5853.8517201315753,5880.9100355500868
polyak-smoothed,49,polyak-smoothed,49,5928.8290862846006,5928.8290862846006
polyak-smoothed,50,polyak-smoothed,50,5965.2987260289738,5965.2987260289738
polyak-smoothed,51,polyak-smoothed,51,5972.9217984708694,5972.9217984708694
polyak-smoothed,52,polyak-smoothed,52,5999.6357073849595,5999.6357073849595
polyak-smoothed,53,polyak-smoothed,53,5990.4698907580059,5999.6357073849595
polyak-smoothed,54,polyak-smoothed,54,6005.4429019263916,6005.4429019263916
polyak-smoothed,55,polyak-smoothed,55,5994.6177176329275,6005.4429019263916
polyak-smoothed,56,polyak-smoothed,56,6005.9789374095963,6005.9789374095963
polyak-smoothed,57,polyak-smoothed,57,6000.9531879718425,6005.9789374095963
polyak-smoothed,58,polyak-smoothed,58,5996.0758490066437,6005.9789374095963
polyak-smoothed,59,polyak-smoothed,59,6005.9197815562129,6005.9789374095963
polyak-smoothed,60,polyak-smoothed,60,5996.4103598088213,6005.9789374095963
polyak-smoothed,61,polyak-smoothed,61,6001.1200875708309,6005.9789374095963
polyak-smoothed,62,polyak-smoothed,62,6000.9354188661546,6005.9789374095963
polyak-smoothed,63,polyak-smoothed,63,5995.2691147104752,6005.9789374095963
polyak-smoothed,64,polyak-smoothed,64,5997.4183568253047,6005.9789374095963
polyak-smoothed,65,polyak-smoothed,65,6007.6516608404072,6007.6516608404072
polyak-smoothed,66,polyak-smoothed,66,6004.2671424141863,6007.6516608404072
polyak-smoothed,67,polyak-smoothed,67,5991.0632524338416,6007.6516608404072
polyak-smoothed,68,polyak-smoothed,68,6008.4644362352055,6008.4644362352055
polyak-smoothed,69,polyak-smoothed,69,5994.885765448752,6008.4644362352055
polyak-smoothed,70,polyak-smoothed,70,5991.0440544095609,6008.4644362352055
polyak-smoothed,71,polyak-smoothed,71,5988.3813287789244,6008.4644362352055
polyak-smoothed,72,polyak-smoothed,72,6016.0208131511445,6016.0208131511445
polyak-smoothed,73,polyak-smoothed,73,6005.2398466643699,6016.0208131511445
polyak-smoothed,74,polyak-smoothed,74,5982.9671190354848,6016.0208131511445
polyak-smoothed,75,polyak-smoothed,75,6017.9386527004617,6017.9386527004617
polyak-smoothed,76,polyak-smoothed,76,6003.5489901744595,6017.9386527004617
