strategy,iteration,phase,phase_iteration,lower_bound,best_lower_bound
polyak-smoothed-dynamic,1,polyak-smoothed-dynamic,1,5909,5909
polyak-smoothed-dynamic,2,polyak-smoothed-dynamic,2,5374.8181818181829,5909
polyak-smoothed-dynamic,3,polyak-smoothed-dynamic,3,5822.9449853460828,5909
polyak-smoothed-dynamic,4,polyak-smoothed-dynamic,4,5890.1250710935528,5909
polyak-smoothed-dynamic,5,polyak-smoothed-dynamic,5,5956.0808947786163,5956.0808947786163
polyak-smoothed-dynamic,6,polyak-smoothed-dynamic,6,6049.4554047187248,6049.4554047187248
polyak-smoothed-dynamic,7,polyak-smoothed-dynamic,7,6104.3381633643094,6104.3381633643094
polyak-smoothed-dynamic,8,polyak-smoothed-dynamic,8,6132.8395091652883,6132.8395091652883
polyak-smoothed-dynamic,9,polyak-smoothed-dynamic,9,6097.5912477733264,6132.8395091652883
polyak-smoothed-dynamic,10,polyak-smoothed-dynamic,10,6189.9374251813542,6189.9374251813542
polyak-smoothed-dynamic,11,polyak-smoothed-dynamic,11,6204.1187912708765,6204.1187912708765
polyak-smoothed-dynamic,12,polyak-smoothed-dynamic,12,6199.0227682642699,6204.1187912708765
polyak-smoothed-dynamic,13,polyak-smoothed-dynamic,13,6198.9783755183435,6204.1187912708765
polyak-smoothed-dynamic,14,polyak-smoothed-dynamic,14,6233.1546889245346,6233.1546889245346
polyak-smoothed-dynamic,15,polyak-smoothed-dynamic,15,6198.1447478349919,6233.1546889245346
polyak-smoothed-dynamic,16,polyak-smoothed-dynamic,16,6216.6109599998881,6233.1546889245346
polyak-smoothed-dynamic,17,polyak-smoothed-dynamic,17,6197.752975363629,6233.1546889245346
polyak-smoothed-dynamic,18,polyak-smoothed-dynamic,18,6249.5766236124437,6249.5766236124437
polyak-smoothed-dynamic,19,polyak-smoothed-dynamic,19,6148.8080736438369,6249.5766236124437
polyak-smoothed-dynamic,20,polyak-smoothed-dynamic,20,6252.2655499346047,6252.2655499346047
polyak-smoothed-dynamic,21,polyak-smoothed-dynamic,21,6173.2227710501584,6252.2655499346047
polyak-smoothed-dynamic,22,polyak-smoothed-dynamic,22,6222.9237140491023,6252.2655499346047
polyak-smoothed-dynamic,23,polyak-smoothed-dynamic,23,6208.9129438831887,6252.2655499346047
polyak-smoothed-dynamic,24,polyak-smoothed-dynamic,24,6140.3461753573129,6252.2655499346047
polyak-smoothed-dynamic,25,polyak-smoothed-dynamic,25,6238.7224119785114,6252.2655499346047
polyak-smoothed-dynamic,26,polyak-smoothed-dynamic,26,6196.8651174945517,6252.2655499346047
polyak-smoothed-dynamic,27,polyak-smoothed-dynamic,27,6098.8378926600453,6252.2655499346047
polyak-smoothed-dynamic,28,polyak-smoothed-dynamic,28,6164.9362032106701,6252.2655499346047
